"GeneID","GeneName","Spearman_Correlation_Coefficient","P_value","qvalue"
"ENSCAFG00000014219","KLHDC2",-0.773715415019763,2.27373731832669e-05,0.552326306320801
"ENSCAFG00000004263","LRRC41",-0.758893280632411,4.19843383585323e-05,0.552326306320801
"ENSCAFG00000016737","PRCC",-0.740118577075099,8.39029153183036e-05,0.665210785778995
"ENSCAFG00000011786","SPRTN",-0.731225296442688,0.000113341719771949,0.702564687961832
"ENSCAFG00000003734","TUT4",-0.725296442687747,0.000137354279836504,0.722787448896714
"ENSCAFG00000007679","HPF1",-0.702569169960474,0.000272119594886704,0.821213390221502
"ENSCAFG00000003903","FAF1",-0.700592885375494,0.000287774827256024,0.827461049193675
"ENSCAFG00000020872",NA,0.696640316205534,0.000321352504998771,0.839054716701599
"ENSCAFG00000011278","PUDP",-0.690711462450593,0.00037783211955957,0.854391173286065
"ENSCAFG00000003583","ZMYM4",-0.686758893280632,0.000419927753476154,0.863392268223341
"ENSCAFG00000016736","FBXL19",-0.686758893280632,0.000419927753476154,0.863392268223341
"ENSCAFG00000014399","RABGAP1L",-0.684782608695652,0.00044240835422044,0.867560817431292
"ENSCAFG00000012212","RAB4A",-0.683794466403162,0.000454022123588347,0.869566871391067
"ENSCAFG00000002451","ZNF451",-0.678853754940711,0.000516007723979668,0.878866169288634
"ENSCAFG00000012521","TLK1",-0.675889328063241,0.000556502727450907,0.883904338937293
"ENSCAFG00000011287","STS",-0.66600790513834,0.000711349401104316,0.898186376660408
"ENSCAFG00000014370",NA,-0.661067193675889,0.000801458849780505,0.904089075859381
"ENSCAFG00000031774","ATP13A5",0.645895469272047,0.000871282910810247,0.90786360987067
"ENSCAFG00000005177","HYI",-0.655138339920949,0.000922115589773139,0.910268278780553
"ENSCAFG00000029817","ZBTB5",-0.654150197628458,0.000943641960976997,0.911211978613948
"ENSCAFG00000003740","PRPF38A",-0.652173913043478,0.000987968599697478,0.91303120307759
"ENSCAFG00000044976",NA,-0.640524280979381,0.000992941719012958,0.913225601398905
"ENSCAFG00000019689","LUC7L",-0.648221343873518,0.00108190977886392,0.916413140602743
"ENSCAFG00000017894","YY1",-0.646245059288537,0.00113163726159863,0.917984558544232
"ENSCAFG00000041318","RAB40C",-0.644268774703557,0.00118328026389654,0.919481696842845
"ENSCAFG00000048654",NA,0.633009530641046,0.00118737841667201,0.919595124237079
"ENSCAFG00000031449","UBE2I",-0.643280632411067,0.00120983876270486,0.920203605516787
"ENSCAFG00000046185",NA,-0.643280632411067,0.00120983876270486,0.920203605516787
"ENSCAFG00000014506","FUNDC1",-0.638339920948617,0.00135030901872606,0.923564397694089
"ENSCAFG00000032163",NA,-0.636363636363636,0.00141022795590421,0.924800412418675
"ENSCAFG00000012867","PPP1R7",-0.635375494071146,0.00144101940939425,0.925396779786809
"ENSCAFG00000031099","STUB1",-0.635375494071146,0.00144101940939425,0.925396779786809
"ENSCAFG00000018694",NA,0.622902731991519,0.00149950347021446,0.926463974261663
"ENSCAFG00000017485","LCMT1",-0.632411067193676,0.00153682237276012,0.927103681684123
"ENSCAFG00000020357","DNAJB4",-0.632411067193676,0.00153682237276012,0.927103681684123
"ENSCAFG00000000751","TNXB",-0.629446640316205,0.00163794892985319,0.928694458247423
"ENSCAFG00000045777",NA,-0.616480218191855,0.00173215550528667,0.930013391662624
"ENSCAFG00000012151","NUP133",-0.626482213438735,0.00174463797055014,0.930177726689062
"ENSCAFG00000043965",NA,-0.624505928853755,0.00181897586525515,0.931110792185924
"ENSCAFG00000049135",NA,-0.623517786561265,0.00185713641106423,0.93156142574086
