"GeneID","GeneName","Spearman_Correlation_Coefficient","P_value","qvalue"
"ENSCAFG00000016508","KLF8",-0.766127161412006,3.22634971634578e-05,0.360907099196711
"ENSCAFG00000024131","FASTKD5",0.759457933370977,6.35966613629612e-05,0.360907099196711
"ENSCAFG00000048287",NA,-0.747075642251906,6.47347744039741e-05,0.360907099196711
"ENSCAFG00000031109",NA,0.742858599301271,7.49144537538099e-05,0.360907099196711
"ENSCAFG00000047873",NA,0.727324364178097,0.000125394596677768,0.409397543608226
"ENSCAFG00000006743","PCMTD1",-0.734613212874082,0.000150778215452417,0.42361737623515
"ENSCAFG00000045814",NA,0.732354601919819,0.000162005987278158,0.428715450845225
"ENSCAFG00000011914","CSTF1",0.727837380011293,0.000186507801280476,0.438015126173692
"ENSCAFG00000048856",NA,-0.708126452850743,0.000226519772249106,0.449400542029239
"ENSCAFG00000016143","SLC25A18",0.702737690341356,0.00026524341154568,0.457493045689347
"ENSCAFG00000029462",NA,-0.700429363193185,0.000283501704748325,0.460617862343167
"ENSCAFG00000048326",NA,-0.699977210986968,0.000287202240735039,0.46120751689704
"ENSCAFG00000032343","SMIM26",0.709768492377188,0.000316846780412275,0.467880565170383
"ENSCAFG00000012112","ACE2",-0.693634148820918,0.000343678406652199,0.473057584203252
"ENSCAFG00000018132","TAF4B",0.695087521174478,0.000471234524699955,0.542135048404909
"ENSCAFG00000041006",NA,0.679324038510226,0.000507197691721405,0.557692880909095
"ENSCAFG00000046379",NA,-0.676042517107795,0.000552919231348164,0.575590427067534
"ENSCAFG00000044902",NA,-0.674680847185902,0.000572903556420318,0.582828172704865
"ENSCAFG00000030884","COA8",-0.667043234732714,0.000696860540920183,0.621275987482184
"ENSCAFG00000009729","PUS7L",0.673630717108978,0.000805312013788052,0.647877467035867
"ENSCAFG00000009667","NUDT18",-0.65857105139572,0.000860537304850687,0.659522195626844
"ENSCAFG00000012578","HRH3",0.658532604086233,0.000861348974212272,0.659685124991138
"ENSCAFG00000006142","DCN",-0.670242800677583,0.000872737519606454,0.661947521212453
"ENSCAFG00000005520","SNRPB2",0.670242800677583,0.000872737519606458,0.661947521212454
"ENSCAFG00000012256","GOLT1B",0.664596273291925,0.000995577038301032,0.683833005012004
"ENSCAFG00000041407",NA,-0.651905147033695,0.00101140117177904,0.686355461661415
"ENSCAFG00000014429","CD300LG",-0.649978372457109,0.00105899481585688,0.693589591155479
