"GeneID","GeneName","Spearman_Correlation_Coefficient","P_value","qvalue"
"ENSCAFG00000031109",NA,0.77639751552795,3.19312234216908e-05,0.279849286409847
"ENSCAFG00000016110","CTDNEP1",0.769621682665161,4.25756242004139e-05,0.279849286409847
"ENSCAFG00000009729","PUS7L",0.760587238848108,6.09212720048383e-05,0.279849286409847
"ENSCAFG00000001474",NA,0.759457933370977,6.35966613629612e-05,0.279849286409847
"ENSCAFG00000000512","SRFBP1",0.758328627893845,6.6364780592628e-05,0.279849286409847
"ENSCAFG00000010702",NA,0.757199322416714,6.92281050222368e-05,0.279849286409847
"ENSCAFG00000006693","SNRPB",0.753811405985319,7.84148326139531e-05,0.279849286409847
"ENSCAFG00000024131","FASTKD5",0.731225296442688,0.000167869737836107,0.385051533147899
"ENSCAFG00000005520","SNRPB2",0.726708074534161,0.000193083000744118,0.402365668215057
"ENSCAFG00000041565",NA,-0.712938385979429,0.0001961694997625,0.404269950925263
"ENSCAFG00000013236","TMEM41A",0.71089779785432,0.000306961102825075,0.452638541652245
"ENSCAFG00000018684","NUP155",0.71089779785432,0.000306961102825075,0.452638541652245
"ENSCAFG00000001208",NA,0.701863354037267,0.000393674852584916,0.474793539097286
"ENSCAFG00000014331","NR2C2AP",0.701863354037267,0.000393674852584916,0.474793539097286
"ENSCAFG00000047241",NA,0.677798523954824,0.000528032104880606,0.496691467807275
"ENSCAFG00000007145","TM9SF4",0.690570299265951,0.000529668324961935,0.496898902097847
"ENSCAFG00000032343","SMIM26",0.690570299265951,0.000529668324961935,0.496898902097847
"ENSCAFG00000047873",NA,0.68944099378882,0.000545180451207514,0.498811748908411
"ENSCAFG00000040943",NA,0.674809491471952,0.000570989425408064,0.501793093551765
"ENSCAFG00000043574",NA,0.687182382834557,0.000577339466106453,0.50249087349357
"ENSCAFG00000010084","CCT5",0.686053077357425,0.000594001180045895,0.50425948236014
"ENSCAFG00000041006",NA,0.686053077357425,0.000594001180045895,0.50425948236014
"ENSCAFG00000003589","PRMT1",0.684923771880294,0.00061106110157982,0.505982314320698
"ENSCAFG00000023178","FGA",0.684923771880294,0.00061106110157982,0.505982314320698
"ENSCAFG00000010288","MYBPH",0.66944035814419,0.000655699597744561,0.510113460340938
"ENSCAFG00000032184","UBE2J2",0.681535855448899,0.000664707625219626,0.510887270478928
"ENSCAFG00000033591",NA,0.666822971910356,0.000700751144177096,0.513805402138956
"ENSCAFG00000014630","RPL27",0.672501411631846,0.000827285787282749,0.522219159024364
"ENSCAFG00000015544","RPAIN",0.672501411631846,0.000827285787282749,0.522219159024364
"ENSCAFG00000017334","ECSIT",0.672501411631846,0.000827285787282749,0.522219159024364
"ENSCAFG00000030858",NA,0.672501411631846,0.000827285787282749,0.522219159024364
"ENSCAFG00000031573",NA,0.672501411631846,0.000827285787282749,0.522219159024364
"ENSCAFG00000033677",NA,-0.659701816289744,0.000836955696699131,0.522766898043778
"ENSCAFG00000013172","ELP6",0.671372106154715,0.000849757907845914,0.523474582091609
"ENSCAFG00000000228","TMED9",0.669113495200452,0.000896233895017059,0.525888093783702
"ENSCAFG00000002643","STPG4",0.669113495200452,0.000896233895017059,0.525888093783702
"ENSCAFG00000004021","TUBE1",0.669113495200452,0.000896233895017059,0.525888093783702
"ENSCAFG00000018493","CD320",0.666854884246189,0.000944814675154884,0.528177475080016
"ENSCAFG00000032704","SCO1",0.664596273291925,0.000995577038301032,0.530349228797988
"ENSCAFG00000014404","ARMC6",0.663466967814794,0.00102180089103959,0.531392942773865
"ENSCAFG00000032626","SRM",0.663466967814794,0.00102180089103959,0.531392942773865
"ENSCAFG00000004901","STEAP3",0.662337662337662,0.00104859990171936,0.532409548886291
"ENSCAFG00000015648",NA,0.662337662337662,0.00104859990171936,0.532409548886291
"ENSCAFG00000015542","C1QBP",0.660079051383399,0.00110396434694121,0.534364328554174
"ENSCAFG00000045814",NA,0.660079051383399,0.00110396434694121,0.534364328554174
"ENSCAFG00000048940",NA,0.660079051383399,0.00110396434694121,0.534364328554174
"ENSCAFG00000018082","RBM22",0.658949745906268,0.00113255060161349,0.535303902337187
"ENSCAFG00000032597","MRPL50",0.658949745906268,0.00113255060161349,0.535303902337187
"ENSCAFG00000015190","PLAU",0.657820440429136,0.00116175365680019,0.536219169321968
"ENSCAFG00000048038",NA,0.657820440429136,0.00116175365680019,0.536219169321968
"ENSCAFG00000047847",NA,0.656691134952004,0.00119158427287967,0.537110785720158
"ENSCAFG00000007928","ATF1",0.655561829474873,0.00122205335243407,0.537979390757865
"ENSCAFG00000011914","CSTF1",0.655561829474873,0.00122205335243407,0.537979390757865
"ENSCAFG00000002585","RPL28",0.65330321852061,0.00128495123023098,0.539650040700578
"ENSCAFG00000010265","SLC35C2",0.65330321852061,0.00128495123023098,0.539650040700578
"ENSCAFG00000042272",NA,-0.64021828431302,0.00133047251147891,0.540766369790309
"ENSCAFG00000012578","HRH3",0.639784220595734,0.0013438043392554,0.541079819005405
"ENSCAFG00000008250","UTP15",0.651044607566347,0.00135053739869651,0.541235905798087
"ENSCAFG00000011453","PSMD12",0.651044607566347,0.00135053739869651,0.541235905798087
"ENSCAFG00000048026","STOML2",0.651044607566347,0.00135053739869651,0.541235905798087
"ENSCAFG00000043070",NA,0.639344670905578,0.00135742012570173,0.541393953458908
"ENSCAFG00000015462","USHBP1",0.639200851322366,0.00136190054041505,0.54149602757803
"ENSCAFG00000006651","NOP56",0.649915302089215,0.00138436739210759,0.541998471072635
"ENSCAFG00000048052",NA,0.637701043352418,0.00140937748005046,0.54253999141239
"ENSCAFG00000000128","MIP",-0.636580394404577,0.0014457625552947,0.543296155052999
"ENSCAFG00000004438","CHCHD4",0.647656691134952,0.0014541600982249,0.543465588889606
"ENSCAFG00000025937",NA,0.635902784040793,0.00146814746748156,0.543743732365087
"ENSCAFG00000005414","RBBP9",0.644268774703557,0.00156436218605889,0.545528965871161
"ENSCAFG00000007766","TAF9",0.644268774703557,0.00156436218605889,0.545528965871161
"ENSCAFG00000014172","ZDHHC8",0.644268774703557,0.00156436218605889,0.545528965871161
"ENSCAFG00000024887",NA,0.644268774703557,0.00156436218605889,0.545528965871161
"ENSCAFG00000035577",NA,0.632364118340987,0.00158988563894393,0.545968072221703
"ENSCAFG00000013839","SUPV3L1",0.643139469226426,0.00160261575518054,0.546182109893302
"ENSCAFG00000005241","NET1",0.642010163749294,0.00164165012851253,0.54681870963952
"ENSCAFG00000030763","FAM210B",0.642010163749294,0.00164165012851253,0.54681870963952
"ENSCAFG00000029331","AURKA",0.640880858272163,0.00168147816149289,0.54777431444236
"ENSCAFG00000004073",NA,0.639751552795031,0.00172211286770515,0.548706930014317
"ENSCAFG00000049448",NA,0.627529518083366,0.00176995823689471,0.549753914695154
"ENSCAFG00000005097","RHBDF2",0.637492941840768,0.00180585515157517,0.550505463914388
"ENSCAFG00000008236",NA,0.637492941840768,0.00180585515157517,0.550505463914388
"ENSCAFG00000032319",NA,0.637492941840768,0.00180585515157517,0.550505463914388
"ENSCAFG00000008308","NFS1",0.634105025409373,0.00193785318303446,0.553044692545244
"ENSCAFG00000019705","QSOX2",0.634105025409373,0.00193785318303446,0.553044692545244
"ENSCAFG00000006639","IDH3B",0.632975719932242,0.00198361021003519,0.553850905857192
"ENSCAFG00000010926","TMEM39A",0.632975719932242,0.00198361021003519,0.553850905857192
"ENSCAFG00000005587","ESF1",0.630717108977979,0.00207784545114947,0.555406024393426
"ENSCAFG00000019565","CLCN7",0.630717108977979,0.00207784545114947,0.555406024393426
"ENSCAFG00000004495","CCDC174",0.629587803500847,0.0021263524703252,0.556155883178011
"ENSCAFG00000043522",NA,0.629587803500847,0.0021263524703252,0.556155883178011
"ENSCAFG00000001614","BYSL",0.628458498023715,0.00217580523971717,0.556887891344088
"ENSCAFG00000011951",NA,0.627329192546584,0.00222621858509897,0.557602497005498
"ENSCAFG00000048220",NA,-0.616724035347404,0.00223566813633368,0.557733054981736
"ENSCAFG00000004009","GRWD1",0.626199887069452,0.00227760750345099,0.558300137215971
"ENSCAFG00000006825","PRR5L",0.626199887069452,0.00227760750345099,0.558300137215971
"ENSCAFG00000005969","TRMT6",0.625070581592321,0.00232998716401146,0.558981238194939
"ENSCAFG00000006460","PTPRA",0.625070581592321,0.00232998716401146,0.558981238194939
"ENSCAFG00000019378","THOP1",0.625070581592321,0.00232998716401146,0.558981238194939
"ENSCAFG00000004090","ADCY3",0.623941276115189,0.00238337290932046,0.559646215552753
"ENSCAFG00000010657","HYAL2",0.622811970638058,0.00243778025625716,0.560295474514973
"ENSCAFG00000014350","MEF2B",0.622811970638058,0.00243778025625716,0.560295474514973
"ENSCAFG00000049344",NA,0.612299443123986,0.00245417363660838,0.560485742899275
"ENSCAFG00000007872","LETMD1",0.621682665160926,0.0024932248970696,0.560929410145379
"ENSCAFG00000013791","DDX21",0.621682665160926,0.0024932248970696,0.560929410145379
"ENSCAFG00000004085","CENPO",0.620553359683794,0.0025497227003971,0.561548407567414
"ENSCAFG00000007571","PIGU",0.620553359683794,0.0025497227003971,0.561548407567414
"ENSCAFG00000019254","SSU72",0.620553359683794,0.0025497227003971,0.561548407567414
"ENSCAFG00000047313","IFRD2",0.620553359683794,0.0025497227003971,0.561548407567414
"ENSCAFG00000043110",NA,-0.6100113927858,0.00257405145856819,0.561806990810226
"ENSCAFG00000005112","CYGB",0.609946750218175,0.00257750862694871,0.561843359013273
"ENSCAFG00000013038","DHX30",0.619424054206663,0.00260728971228488,0.562152842183779
"ENSCAFG00000013864",NA,0.619424054206663,0.00260728971228488,0.562152842183779
"ENSCAFG00000016013",NA,0.619424054206663,0.00260728971228488,0.562152842183779
"ENSCAFG00000030772","PALB2",0.619424054206663,0.00260728971228488,0.562152842183779
"ENSCAFG00000046154",NA,-0.608790563793763,0.0026400066074172,0.562485164520217
"ENSCAFG00000029792","EMC7",0.618294748729531,0.00266594215719083,0.562743079893949
"ENSCAFG00000014065","EFTUD2",0.6171654432524,0.00272569643898402,0.563319477309385
"ENSCAFG00000005438","SLC39A2",0.607173139151285,0.002729573986029,0.563356048468022
"ENSCAFG00000023628","NME1",0.616036137775268,0.00278656914193484,0.563882381966247
"ENSCAFG00000004148","RPN1",0.614906832298137,0.00284857703169654,0.564432132535441
"ENSCAFG00000005405","SEC23B",0.614906832298137,0.00284857703169654,0.564432132535441
"ENSCAFG00000008389","BCDIN3D",0.614906832298137,0.00284857703169654,0.564432132535441
"ENSCAFG00000031630","GNG4",0.614906832298137,0.00284857703169654,0.564432132535441
"ENSCAFG00000047292",NA,0.614906832298137,0.00284857703169654,0.564432132535441
"ENSCAFG00000017505","SPESP1",0.613777526821005,0.00291173705627781,0.564969059029837
"ENSCAFG00000018119","TCOF1",0.612648221343873,0.00297606634700632,0.565493483008538
"ENSCAFG00000002605","HSPBP1",0.611518915866742,0.00304158221948291,0.566005717778078
"ENSCAFG00000011516","TOMM20",0.611518915866742,0.00304158221948291,0.566005717778078
"ENSCAFG00000016096","PHF23",0.611518915866742,0.00304158221948291,0.566005717778078
"ENSCAFG00000019693","PTBP1",0.611518915866742,0.00304158221948291,0.566005717778078
"ENSCAFG00000048823",NA,0.611518915866742,0.00304158221948291,0.566005717778078
"ENSCAFG00000010097",NA,0.61038961038961,0.00310830217452616,0.566506068590444
"ENSCAFG00000019272","NCLN",0.61038961038961,0.00310830217452616,0.566506068590444
"ENSCAFG00000017465",NA,0.609260304912479,0.00317624389910722,0.566994832837847
"ENSCAFG00000037079",NA,-0.598850258279774,0.00323194030797318,0.567380773028638
"ENSCAFG00000007173",NA,0.608130999435347,0.00324542526727451,0.567472300244162
"ENSCAFG00000030289","C2orf74",0.598264268302992,0.00327005447462565,0.567637593800816
"ENSCAFG00000001731",NA,0.607001693958216,0.00331586434106812,0.567938753052987
"ENSCAFG00000002551","U2AF2",0.607001693958216,0.00331586434106812,0.567938753052987
"ENSCAFG00000047164",NA,-0.597518380910779,0.00331911365237758,0.567959810602264
"ENSCAFG00000015914","PELP1",0.605872388481084,0.00338757937142382,0.56839446621227
"ENSCAFG00000043554","RALYL",0.605872388481084,0.00338757937142382,0.56839446621227
"ENSCAFG00000016916","B4GALNT2",0.604743083003953,0.00346058879906608,0.568839707555463
"ENSCAFG00000002635","RDH13",0.603613777526821,0.00353491125539028,0.569274737979192
"ENSCAFG00000004762","SLC25A19",0.603613777526821,0.00353491125539028,0.569274737979192
"ENSCAFG00000009933","NELL1",0.603613777526821,0.00353491125539028,0.569274737979192
"ENSCAFG00000012325","PYROXD1",0.603613777526821,0.00353491125539028,0.569274737979192
"ENSCAFG00000021436",NA,-0.593880420014874,0.00356733434696801,0.569459041133965
"ENSCAFG00000000044",NA,0.602484472049689,0.00361056556333354,0.569699811617406
"ENSCAFG00000004467","XPC",0.602484472049689,0.00361056556333354,0.569699811617406
"ENSCAFG00000008082","RASSF10",0.593114222592835,0.00362154745909001,0.569760090094778
"ENSCAFG00000004239","DEUP1",0.601355166572558,0.00368757073823414,0.570115176012018
"ENSCAFG00000015891","GHITM",0.601355166572558,0.00368757073823414,0.570115176012018
"ENSCAFG00000005292",NA,0.600225861095426,0.00376594598867914,0.570521072280017
"ENSCAFG00000015850",NA,0.600225861095426,0.00376594598867914,0.570521072280017
"ENSCAFG00000024530",NA,0.600225861095426,0.00376594598867914,0.570521072280017
