,Hugo_Symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSCAFG00000000001,ENPP1,301.5406648,-0.646612563,0.886731381,-0.729209067,0.465873786,0.998607586
ENSCAFG00000000002,NA,3.114112386,-0.317551693,0.694610929,-0.457164839,0.647552569,0.998607586
ENSCAFG00000000005,PARD6G,218.2434765,-1.963798305,0.827200431,-2.374029594,0.01759514,0.5200412
ENSCAFG00000000007,ADNP2,886.3924841,-0.192814086,0.159532586,-1.208618823,0.226809322,0.967230309
ENSCAFG00000000008,TXNL4A,1514.796115,0.076045677,0.17532435,0.433742814,0.664475213,0.998607586
ENSCAFG00000000009,SLC66A2,1486.143432,0.293624725,0.327820492,0.895687523,0.370419676,0.998607586
ENSCAFG00000000010,CTDP1,2507.11215,0.174152728,0.245320406,0.709899068,0.477766728,0.998607586
ENSCAFG00000000011,NFATC1,1449.637528,0.69671349,0.941208598,0.740232815,0.45915874,0.998607586
ENSCAFG00000000012,ATP9B,1093.751857,0.062254214,0.387762412,0.160547315,0.872449953,0.998607586
ENSCAFG00000000013,SALL3,62.23302142,4.360474264,2.613116781,1.6686871,0.095179407,0.850079442
ENSCAFG00000000014,NA,52.6203344,0.989306751,0.63279899,1.563382316,0.117962697,0.88541769
ENSCAFG00000000015,GALR1,4.181373034,3.642432639,2.624401995,1.387909568,NA,NA
ENSCAFG00000000016,MBP,431.3111498,-1.670463674,1.264813024,-1.320719855,0.186594791,0.943895431
ENSCAFG00000000017,ZNF236,595.5124532,-0.512999828,0.533315797,-0.961906305,0.336096671,0.998607586
ENSCAFG00000000019,ZNF516,657.3987873,0.520620033,0.642222088,0.8106542,0.417564282,0.998607586
ENSCAFG00000000020,TSHZ1,1016.085049,-0.545520438,0.316644118,-1.722818798,0.084921298,0.832006007
ENSCAFG00000000021,ZADH2,567.1953073,-0.605036349,0.372671549,-1.623510972,0.10448022,0.862399003
ENSCAFG00000000022,ZNF407,667.4085373,-0.250188734,0.262416296,-0.953403954,0.340385439,0.998607586
ENSCAFG00000000024,CNDP1,5.258465919,-0.095721469,0.859000227,-0.111433579,0.911272534,0.998607586
ENSCAFG00000000025,DIPK1C,1.162851671,-0.954058952,2.986083432,-0.319501774,0.749346047,NA
ENSCAFG00000000026,CYB5A,2843.862791,-0.790460037,0.693349926,-1.140059309,0.254261593,0.981717771
ENSCAFG00000000027,NA,38.28296843,0.248219929,0.456903693,0.543265316,0.586947141,0.998607586
ENSCAFG00000000028,TIMM21,1353.330735,-0.107960233,0.358949491,-0.300767198,0.763592023,0.998607586
ENSCAFG00000000029,FBXO15,18.0711798,-0.172178896,0.665713724,-0.258638045,0.795914526,0.998607586
ENSCAFG00000000030,NA,87.28875614,0.13250569,0.30295057,0.437383859,0.661832988,0.998607586
ENSCAFG00000000031,NETO1,432.8539176,-0.533895045,2.067687854,-0.258208725,0.796245825,0.998607586
ENSCAFG00000000032,CBLN2,3.987958205,1.019381328,2.918787102,0.349248264,NA,NA
ENSCAFG00000000033,NA,78.29135271,-0.146239679,0.311317672,-0.469744226,0.638537767,0.998607586
ENSCAFG00000000034,NA,0,NA,NA,NA,NA,NA
ENSCAFG00000000036,SOCS6,407.7220835,-0.197487654,0.294931718,-0.669604664,0.50310984,0.998607586
ENSCAFG00000000037,RTTN,808.727587,-0.283790794,0.355842276,-0.797518489,0.42514997,0.998607586
ENSCAFG00000000038,CD226,5.711421975,0.86775411,1.747568444,0.496549427,0.619506824,0.998607586
ENSCAFG00000000039,DOK6,103.0556486,-0.15778036,1.9337479,-0.081593035,NA,NA
ENSCAFG00000000040,CCDC102B,3.706641467,-0.259805926,1.014809499,-0.25601448,0.797939656,0.998607586
ENSCAFG00000000042,NA,10.66680767,-0.094908767,0.488756508,-0.194184151,0.846031693,0.998607586
ENSCAFG00000000043,TMX3,642.8897427,-0.08160397,0.384438924,-0.21226771,0.831898185,0.998607586
ENSCAFG00000000044,NA,8.162461964,0.35287103,0.496951166,0.710071842,0.477659587,0.998607586
ENSCAFG00000000045,NA,6.164934509,-0.087990098,1.047749494,-0.083980091,0.933072261,0.998607586
ENSCAFG00000000047,NA,229.1005858,-0.41408431,1.479895114,-0.279806526,0.779625945,0.998607586
ENSCAFG00000000049,NA,40.2630063,-0.421424755,0.349058166,-1.207319571,0.227309096,0.967230309
ENSCAFG00000000051,NA,0,NA,NA,NA,NA,NA
ENSCAFG00000000052,CDH19,0,NA,NA,NA,NA,NA
ENSCAFG00000000054,NA,262.1489992,-0.114356542,0.333938264,-0.342448153,0.732013656,0.998607586
ENSCAFG00000000056,CDH7,5.384490926,2.11646456,2.229691691,0.949218481,0.342509504,0.998607586
ENSCAFG00000000058,SERPINB8,1686.77989,1.008597438,1.146256326,0.879905668,0.378910414,0.998607586
ENSCAFG00000000059,SERPINB2,2828.594605,4.965366951,1.607011474,3.08981425,0.002002817,0.182189594
ENSCAFG00000000060,ITGA7,958.9994378,-0.065862049,0.966539649,-0.068142108,0.945672511,0.998607586
ENSCAFG00000000061,NA,273.7035193,0.633119567,0.365841063,1.730586396,0.08352556,0.831667478
ENSCAFG00000000062,NA,3.395770881,0.238129661,2.704585169,0.088046649,NA,NA
ENSCAFG00000000063,RDH5,235.9152418,0.641793349,0.415287071,1.54542097,0.122244471,0.893186511
ENSCAFG00000000064,CD63,13390.01915,0.229571604,0.420686582,0.545706978,0.585267374,0.998607586
ENSCAFG00000000065,GDF11,444.2136461,0.644297738,0.629438038,1.023607883,0.30602052,0.994853551
ENSCAFG00000000066,VPS4B,1997.271533,-0.311012483,0.235940702,-1.318180714,0.18744316,0.943895431
ENSCAFG00000000067,KDSR,573.4380263,-0.639391779,0.386925827,-1.65249186,0.098434323,0.854523586
ENSCAFG00000000068,BCL2,236.9968312,-0.41471193,0.515733921,-0.804119941,0.421327709,0.998607586
ENSCAFG00000000069,NA,1208.446457,0.412308241,0.232925951,1.770125821,0.076706183,0.814712747
ENSCAFG00000000070,PHLPP1,1008.852836,-0.289681938,0.437762924,-0.661732463,0.508142696,0.998607586
ENSCAFG00000000071,NA,705.4275085,0.532045434,0.164802975,3.228372747,0.001244966,0.139610676
ENSCAFG00000000072,NA,529.1945857,-0.149870032,0.892077863,-0.168001066,0.86658244,0.998607586
ENSCAFG00000000073,ZCCHC2,1204.874337,-0.029486161,0.362978524,-0.0812339,0.935255941,0.998607586
ENSCAFG00000000074,MMP19,789.4242287,1.403014053,1.000484353,1.402334827,0.160815285,0.932469909
ENSCAFG00000000075,TNFRSF11A,458.0960427,3.601820328,1.226715457,2.936149787,NA,NA
ENSCAFG00000000076,PYM1,758.1212886,-0.015528762,0.338350287,-0.045895519,0.963393525,0.998607586
ENSCAFG00000000078,DGKA,2911.472467,-0.201310506,0.499436417,-0.403075346,0.686892797,0.998607586
ENSCAFG00000000079,RELCH,694.3038507,-0.198375238,0.282131054,-0.703131524,0.481973788,0.998607586
ENSCAFG00000000080,PMEL,65.87080588,0.69165759,0.745664937,0.927571561,0.353629855,0.998607586
ENSCAFG00000000081,NA,486.657759,-0.50584262,0.263564578,-1.919235978,0.054954476,0.752940595
ENSCAFG00000000082,CDK2,1145.225012,0.309101318,0.215305765,1.435638838,0.151105137,0.924274576
ENSCAFG00000000083,PIGN,503.5724894,-0.424074064,0.430551061,-0.984956495,0.324645441,0.998607586
ENSCAFG00000000086,CDH20,15.24301735,5.27064476,2.963350405,1.778610032,NA,NA
ENSCAFG00000000087,RAB5B,1350.871333,0.134108145,0.316351135,0.423921806,0.671622841,0.998607586
ENSCAFG00000000088,SUOX,613.1610925,0.440194185,0.389083972,1.131360367,0.257903446,0.981717771
ENSCAFG00000000089,NA,0,NA,NA,NA,NA,NA
ENSCAFG00000000090,MC4R,0.352607418,-1.940549537,3.083434552,-0.629346758,0.529122066,NA
ENSCAFG00000000093,CCBE1,124.0511797,-1.496010453,1.3904966,-1.075882137,0.281979972,0.98266012
ENSCAFG00000000094,LMAN1,4962.801309,-0.012625601,0.351592941,-0.035909711,0.971354353,0.998607586
ENSCAFG00000000096,CPLX4,0.227053664,1.424689976,3.113633941,0.45756502,0.647264979,NA
ENSCAFG00000000097,ERBB3,120.867428,1.113416463,0.802478466,1.387472076,0.16529786,0.932873378
