"GeneID","GeneName","Spearman_Correlation_Coefficient","P_value","qvalue"
"ENSCAFG00000004145","MLLT10",-0.74604743083004,6.80345371790332e-05,0.999999999999875
"ENSCAFG00000022742","MT-CYB",-0.722332015810277,0.000150855923255622,0.999999999999875
"ENSCAFG00000011046","BCL9",-0.718379446640316,0.000170556137415973,0.999999999999875
"ENSCAFG00000000147","C1H18orf54",-0.70175440738833,0.000190168217064561,0.999999999999875
"ENSCAFG00000009292","NIT2",-0.697800861431212,0.000214126929108211,0.999999999999875
"ENSCAFG00000026374",NA,-0.696607534490132,0.000221854674324536,0.999999999999875
"ENSCAFG00000039724",NA,-0.695793504652421,0.000227263942512576,0.999999999999875
"ENSCAFG00000003738","SOBP",-0.692858928984816,0.000247725380751663,0.999999999999875
"ENSCAFG00000000423","RMND1",-0.700592885375494,0.000287774827256024,0.999999999999875
"ENSCAFG00000022729","MT-ATP6",-0.697628458498024,0.000312665652144432,0.999999999999884
"ENSCAFG00000043662",NA,0.680129787414485,0.000356082434798399,0.999999999999895
"ENSCAFG00000046183",NA,0.678554039660511,0.00037199031350897,0.999999999999899
"ENSCAFG00000022713","MT-ND1",-0.688735177865613,0.000398413773888075,0.999999999999904
"ENSCAFG00000034360",NA,0.676036746262864,0.000398677889149739,0.999999999999904
"ENSCAFG00000022734","ND4L",-0.686758893280632,0.000419927753476154,0.999999999999908
"ENSCAFG00000013085","HMGCL",-0.682806324110672,0.000465890856265026,0.999999999999915
"ENSCAFG00000017945","CSK",0.680830039525692,0.000490411543628929,0.999999999999918
"ENSCAFG00000022717","MT-ND2",-0.679841897233202,0.000503072824921871,0.99999999999992
"ENSCAFG00000022732","MT-ND3",-0.678853754940711,0.000516007723979668,0.999999999999921
"ENSCAFG00000000442","MDC1",-0.676877470355731,0.000542717748546899,0.999999999999924
"ENSCAFG00000008880","PIK3AP1",0.660385498994246,0.000604709332015663,0.99999999999993
"ENSCAFG00000031283","ZNF134",-0.66897233201581,0.000661500964418734,0.999999999999934
"ENSCAFG00000032629",NA,-0.655624407755778,0.000683234018601718,0.999999999999935
"ENSCAFG00000003994","NUDT6",-0.653817662658282,0.000715245302478993,0.999999999999937
