"GeneID","GeneName","Spearman_Correlation_Coefficient","P_value","qvalue"
"ENSCAFG00000015332","MVB12A",0.857707509881423,2.09428154674934e-06,0.0341189677965132
"ENSCAFG00000024217",NA,0.816205533596838,2.91063236023258e-06,0.0341189677965132
"ENSCAFG00000043826",NA,0.793478260869565,9.00919152395735e-06,0.0677374901766183
"ENSCAFG00000043662",NA,0.775470211193391,1.38190579420633e-05,0.0809947692716735
"ENSCAFG00000015270","PGLS",0.773715415019763,2.27373731832669e-05,0.0972110464233092
"ENSCAFG00000041006",NA,0.770750988142292,2.5841854253482e-05,0.10097432263898
"ENSCAFG00000028908",NA,0.761857707509881,3.73297800629927e-05,0.114189439946541
"ENSCAFG00000019490","HAGH",0.754940711462451,4.89238534560782e-05,0.122753747877439
"ENSCAFG00000008763","SFMBT1",0.75,5.88991946395201e-05,0.127988235421557
"ENSCAFG00000015287","PSMA3",0.74802371541502,6.33313262166056e-05,0.129889312778677
"ENSCAFG00000004116","PSMB1",0.74703557312253,6.56482465229929e-05,0.130800534224718
"ENSCAFG00000007151","IFIT5",0.742094861660079,7.8306614848516e-05,0.134984828673076
"ENSCAFG00000022726","MT-CO2",-0.742094861660079,7.8306614848516e-05,0.134984828673076
"ENSCAFG00000031126","HSPA13",0.741106719367589,8.10649353346139e-05,0.1357511542802
"ENSCAFG00000009292","NIT2",-0.733201581027668,0.000106156805222155,0.141893119467513
"ENSCAFG00000001840","B4GALT1",0.732213438735178,0.00010970060642256,0.142566314773929
"ENSCAFG00000009353",NA,0.731225296442688,0.000113341719771949,0.143220208142884
"ENSCAFG00000012283",NA,0.728260869565217,0.000124870494988044,0.145071048356277
"ENSCAFG00000000525","GLIPR1",0.726284584980237,0.000133083091749703,0.14621742679006
"ENSCAFG00000014350","MEF2B",0.726284584980237,0.000133083091749703,0.14621742679006
"ENSCAFG00000030862","COMMD4",0.723320158102767,0.000146238268959059,0.147815074358895
"ENSCAFG00000041996",NA,0.721343873517787,0.000155593987287277,0.148804099310805
"ENSCAFG00000001753","PPP2R5D",0.717391304347826,0.000175801551288712,0.150614735284256
"ENSCAFG00000043687",NA,-0.716403162055336,0.000181180443415503,0.151034836310155
"ENSCAFG00000015827","PFN1",0.715415019762846,0.000186695557141849,0.151442671691347
"ENSCAFG00000016330","CLN8",0.714426877470356,0.000192349680236981,0.151838603695415
"ENSCAFG00000004239","DEUP1",0.713438735177866,0.000198145645419043,0.152222985250438
"ENSCAFG00000048581",NA,0.713438735177866,0.000198145645419043,0.152222985250438
"ENSCAFG00000029851","SMCO4",0.711462450592885,0.000210174660835527,0.152958462553284
"ENSCAFG00000019569","AGPAT2",0.708498023715415,0.000229355461061502,0.153983346953756
"ENSCAFG00000003772","SNX3",0.706521739130435,0.000242936613412982,0.154617974082236
