,Hugo_Symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSCAFG00000000001,ENPP1,322.0223667,0.722634445,1.216645591,0.593956408,0.552541269,0.967404372
ENSCAFG00000000002,NA,3.352691484,0.14970105,0.57256898,0.261455048,0.79374161,0.987954561
ENSCAFG00000000005,PARD6G,226.5800979,1.355313179,0.869492994,1.55873962,0.11905802,0.737119898
ENSCAFG00000000007,ADNP2,928.9394491,-0.266450187,0.190153253,-1.401239174,0.161142564,0.795994319
ENSCAFG00000000008,TXNL4A,1453.286739,-0.224553671,0.274972075,-0.816641732,0.414133199,0.934497174
ENSCAFG00000000009,SLC66A2,1500.049244,0.471849036,0.354979427,1.329229244,0.18377235,0.80647134
ENSCAFG00000000010,CTDP1,2421.786046,-0.411509533,0.175478795,-2.34506701,0.01902366,0.426244357
ENSCAFG00000000011,NFATC1,1265.858348,-1.139096872,0.864899875,-1.317027443,0.187829426,0.809784071
ENSCAFG00000000012,ATP9B,1140.876621,0.010754499,0.365993761,0.029384377,0.976558033,0.99793985
ENSCAFG00000000013,SALL3,35.2237291,0.867743187,2.797663746,0.310167077,NA,NA
ENSCAFG00000000014,NA,40.13797783,0.346832402,0.518924536,0.668367708,0.503898903,0.952731635
ENSCAFG00000000015,GALR1,4.976138188,4.747167006,1.820021959,2.608302049,0.009099262,0.345802947
ENSCAFG00000000016,MBP,572.2330313,-0.919639325,1.376060512,-0.668313143,0.503933726,0.952731635
ENSCAFG00000000017,ZNF236,625.1890604,-0.834008347,0.453766595,-1.837967702,0.066067165,0.630534019
ENSCAFG00000000019,ZNF516,627.8366072,1.033269807,0.642010525,1.609428142,0.107522756,0.719509699
ENSCAFG00000000020,TSHZ1,1687.895977,-0.670397169,0.532278772,-1.259485074,0.207855178,0.827182478
ENSCAFG00000000021,ZADH2,713.9170066,-0.555940444,0.401632444,-1.384202031,0.166296602,0.799447702
ENSCAFG00000000022,ZNF407,647.1171462,-0.230880576,0.197008164,-1.171934053,0.241223534,0.848857236
ENSCAFG00000000024,CNDP1,5.2670242,-0.641601406,0.872894165,-0.735027718,0.462322613,0.944537885
ENSCAFG00000000025,DIPK1C,1.348311038,-0.437887036,2.292898892,-0.190975292,0.848544951,NA
ENSCAFG00000000026,CYB5A,2281.637089,-0.362216877,0.52898757,-0.684736084,0.493510474,0.951225278
ENSCAFG00000000027,NA,39.52848386,-0.158732463,0.365319172,-0.434503512,0.663922845,0.978602374
ENSCAFG00000000028,TIMM21,1404.30462,-0.281016535,0.300034131,-0.936615223,0.348956518,0.912813085
ENSCAFG00000000029,FBXO15,14.520341,0.723321937,0.48360176,1.495697486,0.134732506,0.762773696
ENSCAFG00000000030,NA,75.86293124,0.277118494,0.358481712,0.773033838,0.439502355,0.940996375
ENSCAFG00000000031,NETO1,632.4027561,-0.872404526,2.070278981,-0.421394669,0.673466911,0.979153632
ENSCAFG00000000032,CBLN2,6.605885281,0.60084166,1.679412212,0.357769019,0.720516177,0.983346821
ENSCAFG00000000033,NA,71.86025114,0.01592818,0.317654869,0.050143038,0.960008403,0.99607319
ENSCAFG00000000034,NA,0,NA,NA,NA,NA,NA
ENSCAFG00000000036,SOCS6,495.313736,-0.431039563,0.391275885,-1.10162568,0.270624439,0.866842846
ENSCAFG00000000037,RTTN,914.3199159,-0.394209818,0.257412859,-1.531430171,0.125663112,0.749016732
ENSCAFG00000000038,CD226,5.673496878,0.444737811,1.502701556,0.295958841,0.767261514,0.984802289
ENSCAFG00000000039,DOK6,221.8069988,0.803109361,2.262806506,0.354917382,0.722651486,0.983346821
ENSCAFG00000000040,CCDC102B,1.95149153,1.331014776,0.981117191,1.356631796,0.174898234,NA
ENSCAFG00000000042,NA,11.0111177,0.201366219,0.443771901,0.453760635,0.65000112,0.978602374
ENSCAFG00000000043,TMX3,717.7543208,0.08007654,0.337314109,0.237394576,0.812350697,0.991991405
ENSCAFG00000000044,NA,6.866263733,-0.018179389,0.547611609,-0.033197596,0.973517015,0.997701905
ENSCAFG00000000045,NA,5.579325723,0.372604543,1.046790325,0.355949548,0.721878349,0.983346821
ENSCAFG00000000047,NA,304.1102012,-0.731283568,1.529668445,-0.478066715,0.632602722,0.976205892
ENSCAFG00000000049,NA,34.95963651,0.511600889,0.322900886,1.584389855,0.113105029,0.73079363
ENSCAFG00000000051,NA,0,NA,NA,NA,NA,NA
ENSCAFG00000000052,CDH19,1.413528691,-3.395743828,3.025103086,-1.12252169,NA,NA
ENSCAFG00000000054,NA,243.4103556,-0.206768115,0.272865296,-0.75776626,0.448590924,0.941323831
ENSCAFG00000000056,CDH7,6.305354562,-1.654003104,2.285758469,-0.723612371,0.469303745,0.947331269
ENSCAFG00000000058,SERPINB8,1027.989141,0.857137981,1.179637075,0.726611598,0.467463921,0.946369889
ENSCAFG00000000059,SERPINB2,2141.024343,3.134165085,1.824285265,1.718023571,NA,NA
ENSCAFG00000000060,ITGA7,546.5098736,1.888668544,1.16015465,1.627945502,0.103536442,0.71116705
ENSCAFG00000000061,NA,314.8432658,-0.01791312,0.413445297,-0.043326457,0.965441302,0.99607319
ENSCAFG00000000062,NA,7.180635907,-0.741346163,2.019429784,-0.36710668,0.713539445,0.983346821
ENSCAFG00000000063,RDH5,281.4666907,-0.608145912,0.580482744,-1.047655453,0.294797378,0.885693973
ENSCAFG00000000064,CD63,13868.77624,0.250835319,0.494306954,0.507448493,0.611840168,0.975718446
ENSCAFG00000000065,GDF11,388.9448136,0.784912693,0.701574036,1.118788115,0.263230543,0.861761517
