Cytokine,Collection,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
CCL2,Hallmark,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,176,0.832430314,1.775382892,6.13E-05,0.003064049,0.002902784,657,"tags=14%, list=5%, signal=14%",LAMC2/COL6A3/MMP1/TIMP1/IL6/CXCL12/CRLF1/COL7A1/COL5A3/PLAUR/PLOD3/COMP/SDC4/CD44/TGFBI/PDGFRB/ITGA5/QSOX1/SDC1/SERPINE2/NT5E/PVR/COPA/SCG2/ITGA2
CCL2,C7,GSE22886_DAY0_VS_DAY7_MONOCYTE_IN_CULTURE_UP,GSE22886_DAY0_VS_DAY7_MONOCYTE_IN_CULTURE_UP,149,-0.881836259,-1.923455784,8.53E-07,0.00434941,0.004194778,278,"tags=12%, list=2%, signal=12%",CRLF3/RESF1/NLRP3/MX2/CBFA2T3/TNFRSF8/TRAF3IP3/CFP/DAPP1/IL6R/SEMA4D/MYO1F/ARHGAP4/SEMA4A/LAT2/ARHGAP45/RIPOR2/IL16
CCL2,Hallmark,HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE,70,-0.888480275,-1.88527514,0.000302434,0.007560857,0.007162917,611,"tags=36%, list=5%, signal=34%",MOV10/TRIM21/OASL/RSAD2/ADAR/EIF2AK2/CNP/PSME2/CMTR1/DDX60/TAP1/BST2/PARP9/CXCL10/UBA7/PSMB9/IFI44/DHX58/ISG15/IFI35/OAS1/RTP4/HERC6/IFI44L/CD74
CCL2,C2,MORI_LARGE_PRE_BII_LYMPHOCYTE_DN,MORI_LARGE_PRE_BII_LYMPHOCYTE_DN,44,-0.947333987,-2.07789421,4.99E-06,0.017151836,0.016464431,108,"tags=14%, list=1%, signal=14%",UBA7/IL2RG/SEMA4D/LAT2/RIPOR2/CD74
CCL2,C2,MIKKELSEN_MEF_HCP_WITH_H3K27ME3,MIKKELSEN_MEF_HCP_WITH_H3K27ME3,252,0.824108126,1.850330061,6.08E-06,0.017151836,0.016464431,458,"tags=14%, list=4%, signal=14%",LAMC2/B3GALT5/CPLX2/IQSEC3/AP1M2/SCN5A/CCKBR/HTR4/NKX2-2/FSTL4/PCDH8/DSCAML1/KDF1/PRMT8/CDCP1/PAX8/CACNA2D2/LAD1/HTRA3/MGAT5B/PAQR5/KCNB1/FGF14/GFRA3/CDK5R2/RHCG/FOXD3/CD70/CACNA1E/GRHL3/CLDN6/JHY/BSN/GRIN2C/DEGS2
CCL2,Hallmark,HALLMARK_COAGULATION,HALLMARK_COAGULATION,95,0.840741003,1.77977124,0.001769348,0.0255256,0.024182147,211,"tags=5%, list=2%, signal=5%",MMP1/F2RL2/TIMP1/PLAU/COMP
CCL2,Hallmark,HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_FATTY_ACID_METABOLISM,125,0.802782338,1.698296241,0.002042048,0.0255256,0.024182147,18,"tags=2%, list=0%, signal=2%",ALDH3A1/VNN1
CCL2,C6,BMI1_DN_MEL18_DN.V1_DN,BMI1_DN_MEL18_DN.V1_DN,95,0.870835212,1.86968806,0.00027292,0.030340338,0.02497217,350,"tags=13%, list=3%, signal=12%",PROM1/NMNAT2/CUX2/PCDH8/CRLF1/C1orf54/CXCL14/PDE4B/ABCA4/RBP4/ZNF423/FCGRT
CCL2,C6,ERBB2_UP.V1_UP,ERBB2_UP.V1_UP,142,0.845890951,1.814984346,0.00032277,0.030340338,0.02497217,240,"tags=6%, list=2%, signal=6%",GDF15/ITGB6/S100P/PCDH8/CRLF1/NDRG1/PDE4B/KIAA0513
CCL2,C6,SNF5_DN.V1_UP,SNF5_DN.V1_UP,126,-0.828203552,-1.768755356,0.000737581,0.046221769,0.038043673,120,"tags=8%, list=1%, signal=8%",CXCR4/MLF2/CXCL10/PSMB9/CFP/SEMA4D/ASS1/ENPP3/IFI44L/RIPOR2
