"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"PDGF_ERK_DN.V1_UP","PDGF_ERK_DN.V1_UP",108,-0.967367850015154,-1.77872975990024,0.000787195779269806,0.0493309355009078,0.0483365829376197,2,"tags=2%, list=0%, signal=2%","ZIC4/NDN"
"PDGF_UP.V1_UP","PDGF_UP.V1_UP",120,-0.963130276409457,-1.73326229397151,0.000619304008558942,0.0493309355009078,0.0483365829376197,2,"tags=2%, list=0%, signal=2%","PARG/NDN"
"MEK_UP.V1_DN","MEK_UP.V1_DN",151,0.952073478996257,1.70086186422703,0.000592996784774706,0.0493309355009078,0.0483365829376197,112,"tags=9%, list=1%, signal=9%","SMPDL3A/OAS1/IFI44L/OASL/IFIT1/ISG15/HERC6/MAFB/IFI44/OAS2/DDX60/OAS3/BST2"
"RAPA_EARLY_UP.V1_UP","RAPA_EARLY_UP.V1_UP",105,-0.961646412479671,-1.76588055598163,0.00465527277899803,0.218797820612907,0.214387562190699,12,"tags=3%, list=0%, signal=3%","GMDS/HBP1/VGF"
"CORDENONSI_YAP_CONSERVED_SIGNATURE","CORDENONSI_YAP_CONSERVED_SIGNATURE",49,-0.950182705614773,-1.79285369617625,0.0079803970904855,0.250052442168546,0.245012191374555,9,"tags=4%, list=0%, signal=4%","TNS1/ETV5"
"KRAS.KIDNEY_UP.V1_DN","KRAS.KIDNEY_UP.V1_DN",66,0.957101272845126,1.76244163227829,0.0066996225706031,0.250052442168546,0.245012191374555,70,"tags=9%, list=1%, signal=9%","OAS1/CSF1R/IFI44L/RSAD2/MX2/CCL27"
"KRAS.KIDNEY_UP.V1_UP","KRAS.KIDNEY_UP.V1_UP",89,-0.945517477866182,-1.73986773951922,0.0149888796631042,0.402558482380512,0.394444201660636,103,"tags=8%, list=1%, signal=8%","ZNF536/TMEM100/CCND2/ETV1/SLC1A3/PLCL1/NDN"
"KRAS.50_UP.V1_DN","KRAS.50_UP.V1_DN",13,0.956589905621438,1.81981052442002,0.0349566637217789,0.469898728722258,0.460427085814083,97,"tags=23%, list=1%, signal=23%","IFI44L/MX2/PPFIA3"
"HINATA_NFKB_IMMU_INF","HINATA_NFKB_IMMU_INF",11,0.960504129805869,1.81290914311928,0.0412241774561577,0.469898728722258,0.460427085814083,101,"tags=27%, list=1%, signal=27%","CXCL8/IRF1/IL1B"
"SINGH_KRAS_DEPENDENCY_SIGNATURE","SINGH_KRAS_DEPENDENCY_SIGNATURE",12,0.916193169407869,1.73531222030254,0.068649885583524,0.469898728722258,0.460427085814083,308,"tags=33%, list=3%, signal=33%","ADAM8/MST1R/PRSS22/LAD1"
"KRAS.AMP.LUNG_UP.V1_UP","KRAS.AMP.LUNG_UP.V1_UP",45,-0.924879605769856,-1.73317294974348,0.0701754385964912,0.469898728722258,0.460427085814083,7,"tags=13%, list=0%, signal=13%","GCKR/SOX12/GPR68/MCF2L/OSBP2/FGF7"
"CRX_DN.V1_DN","CRX_DN.V1_DN",93,0.935676364828811,1.72947857249088,0.0228567276994884,0.469898728722258,0.460427085814083,34,"tags=2%, list=0%, signal=2%","SMPDL3A/TNFRSF13B"
"RB_P130_DN.V1_UP","RB_P130_DN.V1_UP",93,0.91463320501667,1.69058297208822,0.0407992341867282,0.469898728722258,0.460427085814083,3,"tags=1%, list=0%, signal=1%","SLC11A1"
"RELA_DN.V1_DN","RELA_DN.V1_DN",68,-0.886682309525483,-1.66113763768364,0.0863309352517986,0.469898728722258,0.460427085814083,19,"tags=7%, list=0%, signal=7%","HOXD3/TNFRSF8/GPER1/SPRY4/IL17RB"
"CAHOY_NEURONAL","CAHOY_NEURONAL",46,-0.872678433013154,-1.6439462519588,0.119460500963391,0.469898728722258,0.460427085814083,32,"tags=9%, list=0%, signal=9%","SYT1/PGM2L1/RGS4/BCL11A"
"GCNP_SHH_UP_LATE.V1_DN","GCNP_SHH_UP_LATE.V1_DN",133,0.90848539106402,1.63876414674464,0.0228792697331528,0.469898728722258,0.460427085814083,94,"tags=2%, list=1%, signal=2%","SLC11A1/ESRP1"
"ALK_DN.V1_DN","ALK_DN.V1_DN",72,0.880958179866647,1.63584409311608,0.0938864628820961,0.469898728722258,0.460427085814083,164,"tags=7%, list=1%, signal=7%","OAS1/IFI44L/ESRP1/GPX2/ATP2C2"
"RB_DN.V1_DN","RB_DN.V1_DN",96,0.878247313076186,1.62312579011748,0.0746268656716418,0.469898728722258,0.460427085814083,270,"tags=5%, list=2%, signal=5%","LGALS9/MMP9/BST2/SLCO2A1/ST8SIA2"
"LTE2_UP.V1_DN","LTE2_UP.V1_DN",152,0.908063627931879,1.62256460092118,0.029292569727725,0.469898728722258,0.460427085814083,112,"tags=7%, list=1%, signal=7%","OAS1/IFI44L/OASL/IFIT1/ISG15/HERC6/IFI44/OAS2/DDX60/OAS3/BST2"
"MEL18_DN.V1_DN","MEL18_DN.V1_DN",102,0.876841322918446,1.6121630456933,0.0721868365180467,0.469898728722258,0.460427085814083,123,"tags=7%, list=1%, signal=7%","OAS1/IFIT1/IFIT2/ESRP1/DDX60/BST2/CXCL14"
"KRAS.300_UP.V1_DN","KRAS.300_UP.V1_DN",69,0.86534912890626,1.59606754334301,0.10467706013363,0.469898728722258,0.460427085814083,112,"tags=10%, list=1%, signal=10%","OAS1/IFI44L/TNFRSF13B/MX2/CAMK1D/PPFIA3/BST2"
"PGF_UP.V1_DN","PGF_UP.V1_DN",118,-0.874208898087816,-1.58164898557438,0.0844277673545966,0.469898728722258,0.460427085814083,46,"tags=3%, list=0%, signal=3%","TAOK2/GNB3/VGF"
"KRAS.BREAST_UP.V1_UP","KRAS.BREAST_UP.V1_UP",61,-0.847495392056619,-1.57791642031939,0.135185185185185,0.469898728722258,0.460427085814083,335,"tags=10%, list=3%, signal=10%","ESM1/IL1RL1/NR1H4/HAS2/NDUFA4L2/IL17RB"
"KRAS.AMP.LUNG_UP.V1_DN","KRAS.AMP.LUNG_UP.V1_DN",66,0.854884727303565,1.57421631017148,0.107865168539326,0.469898728722258,0.460427085814083,219,"tags=8%, list=2%, signal=7%","SCARF1/PPFIA3/PLCH2/DNM1/ABCB8"
"GLI1_UP.V1_DN","GLI1_UP.V1_DN",14,0.825854608061934,1.57273378710214,0.122222222222222,0.469898728722258,0.460427085814083,60,"tags=7%, list=0%, signal=7%","ACSL6"
"KRAS.PROSTATE_UP.V1_DN","KRAS.PROSTATE_UP.V1_DN",64,0.850524272165687,1.56762429995583,0.117777777777778,0.469898728722258,0.460427085814083,277,"tags=8%, list=2%, signal=8%","PI3/CAMK1D/MAFB/PPP1R9A/REEP1"
"ERBB2_UP.V1_DN","ERBB2_UP.V1_DN",164,0.873214954325556,1.56588438820726,0.0558035714285714,0.469898728722258,0.460427085814083,112,"tags=5%, list=1%, signal=5%","OAS1/IFI44L/IFIT1/HERC6/IFI44/OAS2/DDX60/BST2"
"TGFB_UP.V1_UP","TGFB_UP.V1_UP",155,0.869725309706492,1.55802953091834,0.0572687224669604,0.469898728722258,0.460427085814083,61,"tags=2%, list=1%, signal=2%","CST6/CSF1R/MAFB"
"P53_DN.V1_DN","P53_DN.V1_DN",137,-0.858561684104036,-1.55582264045533,0.0892531876138433,0.469898728722258,0.460427085814083,79,"tags=3%, list=1%, signal=3%","ACTA2/S100A1/VGF/NDN"
"RPS14_DN.V1_UP","RPS14_DN.V1_UP",115,0.854991139950459,1.5535924536903,0.0876068376068376,0.469898728722258,0.460427085814083,124,"tags=7%, list=1%, signal=7%","IGSF6/CXCL8/FLVCR2/MX2/ENPP2/CACNB4/IL1B/DMXL2"
"IL2_UP.V1_DN","IL2_UP.V1_DN",108,-0.843567996464254,-1.55109506666661,0.119402985074627,0.469898728722258,0.460427085814083,147,"tags=5%, list=1%, signal=5%","PDCD4/MEOX1/PLCL1/TEK/HBP1"
"SNF5_DN.V1_UP","SNF5_DN.V1_UP",123,0.852949458216796,1.54401147436437,0.0811965811965812,0.469898728722258,0.460427085814083,55,"tags=6%, list=0%, signal=6%","CSF1R/ISG20/IFI44L/APOD/OASL/IFIT1/IFIT2"
"KRAS.300_UP.V1_UP","KRAS.300_UP.V1_UP",86,-0.836945097192539,-1.54307959149908,0.14365671641791,0.469898728722258,0.460427085814083,103,"tags=7%, list=1%, signal=7%","HAS2/ETV1/MAP4K1/ETV4/ETV5/MMP1"
"BRCA1_DN.V1_DN","BRCA1_DN.V1_DN",87,0.823994918865804,1.5372274087172,0.124735729386892,0.469898728722258,0.460427085814083,181,"tags=6%, list=1%, signal=6%","SCARF1/RSAD2/MX2/PPP1R9A/PROX1"
"MTOR_UP.N4.V1_DN","MTOR_UP.N4.V1_DN",128,-0.851652448149495,-1.53277328833721,0.0982986767485822,0.469898728722258,0.460427085814083,450,"tags=8%, list=4%, signal=8%","IFT140/LZTFL1/MARCHF8/GALNT6/ING4/PDCD4/S1PR1/TPM2/PLCL1/HBP1"
"VEGF_A_UP.V1_UP","VEGF_A_UP.V1_UP",131,0.846915587036342,1.53024084007109,0.0767590618336887,0.469898728722258,0.460427085814083,59,"tags=2%, list=0%, signal=2%","CCL7/ISG20/ENPP2"
"KRAS.LUNG.BREAST_UP.V1_DN","KRAS.LUNG.BREAST_UP.V1_DN",77,0.823906713928956,1.52119149130938,0.131578947368421,0.469898728722258,0.460427085814083,196,"tags=8%, list=2%, signal=8%","LGALS9/SCARF1/IFI44L/CXCL14/ERAP2/SPTBN2"
"ATM_DN.V1_DN","ATM_DN.V1_DN",68,-0.81168345308134,-1.52063249634473,0.160071942446043,0.469898728722258,0.460427085814083,659,"tags=9%, list=5%, signal=8%","GPSM2/SEMA3A/GPR68/TEX14/GTF2A1/TEK"
"MYC_UP.V1_DN","MYC_UP.V1_DN",113,-0.834875919786804,-1.5196596062551,0.120982986767486,0.469898728722258,0.460427085814083,5,"tags=4%, list=0%, signal=4%","OSBP2/MICAL1/NBEAL1/MN1/MMP1"
"P53_DN.V2_UP","P53_DN.V2_UP",62,-0.811712878687003,-1.5164633917271,0.162361623616236,0.469898728722258,0.460427085814083,33,"tags=6%, list=0%, signal=6%","EML3/KCNMB1/SLC4A10/ETV5"
"PDGF_UP.V1_DN","PDGF_UP.V1_DN",61,-0.811757233589524,-1.51137702953832,0.162962962962963,0.469898728722258,0.460427085814083,623,"tags=10%, list=5%, signal=9%","RHOBTB1/PLAG1/DBP/LIMK1/CDC14A/MAPK3"
"ESC_J1_UP_EARLY.V1_DN","ESC_J1_UP_EARLY.V1_DN",137,-0.833121073551605,-1.50972102816898,0.105646630236794,0.469898728722258,0.460427085814083,227,"tags=4%, list=2%, signal=4%","PPCS/AP4M1/NAPSA/ETV4/SPRY4"
"BRCA1_DN.V1_UP","BRCA1_DN.V1_UP",63,0.81602424838113,1.50868405158343,0.157079646017699,0.469898728722258,0.460427085814083,70,"tags=3%, list=1%, signal=3%","LGALS9/CCL27"
"MTOR_UP.V1_UP","MTOR_UP.V1_UP",118,0.817983613089882,1.48993492956673,0.125799573560768,0.469898728722258,0.460427085814083,112,"tags=5%, list=1%, signal=5%","MS4A7/IFIT1/IFIT2/OAS2/GPX2/BST2"
"ESC_V6.5_UP_LATE.V1_DN","ESC_V6.5_UP_LATE.V1_DN",135,-0.825056161968524,-1.48744426450393,0.114754098360656,0.469898728722258,0.460427085814083,417,"tags=7%, list=3%, signal=7%","DAPP1/GGCT/TEX14/RASGRP2/AP4M1/CD38/TIMP1/SEPTIN1/ETV4/SPRY4"
"EGFR_UP.V1_UP","EGFR_UP.V1_UP",156,-0.811061988069871,-1.48611272775682,0.122486288848263,0.469898728722258,0.460427085814083,9,"tags=2%, list=0%, signal=2%","DUSP4/ETV5/MMP1"
"KRAS.600_UP.V1_DN","KRAS.600_UP.V1_DN",133,0.823426688855891,1.48533168330782,0.0976138828633406,0.469898728722258,0.460427085814083,196,"tags=8%, list=2%, signal=8%","OAS1/LGALS9/IFI44L/TNFRSF13B/MX2/CAMK1D/PPFIA3/BST2/CXCL14/NRXN3/SPTBN2"
"PRC2_EZH2_UP.V1_UP","PRC2_EZH2_UP.V1_UP",139,0.832862997318884,1.48423577198362,0.0888888888888889,0.469898728722258,0.460427085814083,168,"tags=7%, list=1%, signal=7%","SMPDL3A/CXCL8/FLVCR2/IFI44/PIK3CB/PTPRB/BPGM/TSPAN13/ERAP2/WDR37"
"SRC_UP.V1_DN","SRC_UP.V1_DN",116,-0.818105638994032,-1.48202841938876,0.144736842105263,0.469898728722258,0.460427085814083,5,"tags=3%, list=0%, signal=3%","NBEAL1/MN1/MMP1"
"CTIP_DN.V1_DN","CTIP_DN.V1_DN",62,0.793484721285097,1.48110032350567,0.171739130434783,0.469898728722258,0.460427085814083,27,"tags=2%, list=0%, signal=2%","REEP2"
"E2F3_UP.V1_UP","E2F3_UP.V1_UP",143,-0.811960677691525,-1.47808680286265,0.133333333333333,0.469898728722258,0.460427085814083,6,"tags=1%, list=0%, signal=1%","MEX3B/IL17RB"
"GCNP_SHH_UP_EARLY.V1_DN","GCNP_SHH_UP_EARLY.V1_DN",124,0.81080601151701,1.47248569076792,0.124735729386892,0.469898728722258,0.460427085814083,169,"tags=5%, list=1%, signal=5%","LGALS9/MX2/CCL27/FRMD5/MST1R/ACSS1"
"WNT_UP.V1_UP","WNT_UP.V1_UP",99,-0.807184661185744,-1.47141407482608,0.171641791044776,0.469898728722258,0.460427085814083,605,"tags=15%, list=5%, signal=15%","SYT3/MYOM1/SEMA5B/NF1/DBP/IGF2/GALNT6/F2R/HOXD3/CD74/RASGRP2/MAZ/POSTN/MAST2/ISLR"
"PTEN_DN.V2_DN","PTEN_DN.V2_DN",95,-0.802169587213933,-1.46429864058021,0.178571428571429,0.469898728722258,0.460427085814083,554,"tags=9%, list=5%, signal=9%","PLAG1/ST6GALNAC2/NR4A2/ARHGEF40/NRTN/NUDT18/AP4M1/COQ8A/MAPK3"
"AKT_UP.V1_DN","AKT_UP.V1_DN",148,-0.798829128760279,-1.45737074160314,0.140794223826715,0.469898728722258,0.460427085814083,320,"tags=7%, list=3%, signal=7%","GATAD2B/PLPP3/AMPD2/BTBD2/TCF21/ASS1/PDGFRA/EFEMP2/FBXO32/ISLR"
"KRAS.LUNG_UP.V1_DN","KRAS.LUNG_UP.V1_DN",68,0.792262584799588,1.45671557016287,0.18609865470852,0.469898728722258,0.460427085814083,196,"tags=7%, list=2%, signal=7%","SCARF1/MAFB/PLCH2/CXCL14/SPTBN2"
"PRC1_BMI_UP.V1_UP","PRC1_BMI_UP.V1_UP",101,0.782535117921126,1.44682817810976,0.143763213530655,0.469898728722258,0.460427085814083,443,"tags=12%, list=4%, signal=12%","CXCL8/PDE6A/S100P/ERAP2/TNNI3K/CCL8/CXCL10/FCHO1/SPON1/ADAP2/CDADC1/KIF5A"
"KRAS.LUNG_UP.V1_UP","KRAS.LUNG_UP.V1_UP",69,-0.772674580729023,-1.44493136075076,0.18625678119349,0.469898728722258,0.460427085814083,26,"tags=9%, list=0%, signal=9%","SIGLEC15/IL1RL1/HTR7/BANK1/RGS4/MMP1"
"CYCLIN_D1_KE_.V1_DN","CYCLIN_D1_KE_.V1_DN",113,0.793624134215239,1.44402769093104,0.141649048625793,0.469898728722258,0.460427085814083,226,"tags=4%, list=2%, signal=4%","ADIRF/POU2F2/CYP2F1/NPAS1/ALPL"
"KRAS.50_UP.V1_UP","KRAS.50_UP.V1_UP",31,-0.766891034013971,-1.44313164480078,0.185606060606061,0.469898728722258,0.460427085814083,326,"tags=16%, list=3%, signal=16%","SIGLEC15/IL1RL1/HTR7/ETV1/ETV5"
"AKT_UP_MTOR_DN.V1_DN","AKT_UP_MTOR_DN.V1_DN",133,0.796056078761045,1.43595942598905,0.134490238611714,0.469898728722258,0.460427085814083,7,"tags=1%, list=0%, signal=1%","STAB1"
"NOTCH_DN.V1_DN","NOTCH_DN.V1_DN",95,-0.785679795792655,-1.43419779962775,0.191729323308271,0.469898728722258,0.460427085814083,559,"tags=11%, list=5%, signal=10%","SNED1/TMEM92/IPO8/LZTFL1/GPR68/CLIC2/TUBB2B/TNFRSF8/PHKG1/SPRY4"
"ATF2_UP.V1_DN","ATF2_UP.V1_DN",135,-0.795173243727749,-1.4335701436952,0.154826958105647,0.469898728722258,0.460427085814083,249,"tags=4%, list=2%, signal=4%","MN1/TCF21/SHOX2/NDUFA4L2/PTGS2/FGF7"
"NFE2L2.V2","NFE2L2.V2",253,-0.797846589254402,-1.42226563459326,0.128971962616822,0.469898728722258,0.460427085814083,344,"tags=5%, list=3%, signal=5%","FZD7/SRXN1/BCAT1/UGDH/ZNF326/NQO2/CD101/ELAPOR1/EPHX1/PRSS53/ALDH3A1/FGF7"
"E2F3_UP.V1_DN","E2F3_UP.V1_DN",92,-0.76824709230269,-1.4158073091199,0.198501872659176,0.469898728722258,0.460427085814083,40,"tags=3%, list=0%, signal=3%","ZNF646/FBXL19/MMP1"
"RAPA_EARLY_UP.V1_DN","RAPA_EARLY_UP.V1_DN",123,0.781915284416152,1.41542521598339,0.145299145299145,0.469898728722258,0.460427085814083,155,"tags=4%, list=1%, signal=4%","KCNQ1/CACNB4/CYP2F1/THOC1/BRMS1"
