Cytokine,Collection,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
kc.like,Hallmark,HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,139,0.965471005,1.54999967,0.001991609,0.09958044,0.09958044,102,"tags=9%, list=1%, signal=9%",CD74/CIITA/CCL7/MARCHF1/IRF5/IL18BP/C1R/CASP4/RTP4/C1S/ITGB7/PTPN6/TNFAIP3
kc.like,C2,HENDRICKS_SMARCA4_TARGETS_UP,HENDRICKS_SMARCA4_TARGETS_UP,42,-0.985188004,-1.858062108,3.87E-05,0.217107133,0.217107133,21,"tags=7%, list=0%, signal=7%",SMARCA4/MMP1/PTPN7
kc.like,C7,GSE411_UNSTIM_VS_100MIN_IL6_STIM_SOCS3_KO_MACROPHAGE_DN,GSE411_UNSTIM_VS_100MIN_IL6_STIM_SOCS3_KO_MACROPHAGE_DN,164,-0.945703986,-1.71384761,0.000166702,0.28311601,0.28311601,95,"tags=5%, list=1%, signal=5%",IGBP1/TSPAN33/VPS35/ENC1/DHRS3/SUSD1/LRRC56/PADI2
kc.like,C7,GSE17721_ALL_VS_24H_PAM3CSK4_BMDC_UP,GSE17721_ALL_VS_24H_PAM3CSK4_BMDC_UP,149,0.972874609,1.547267589,7.77E-05,0.28311601,0.28311601,26,"tags=3%, list=0%, signal=3%",CD74/CFP/CIITA/VWF/CTSS
kc.like,C7,GSE14350_IL2RB_KO_VS_WT_TEFF_UP,GSE14350_IL2RB_KO_VS_WT_TEFF_UP,157,0.971184133,1.538901797,0.000163295,0.28311601,0.28311601,41,"tags=3%, list=0%, signal=3%",CD74/KCNK10/CTSS/IL1R2/RNF43
kc.like,C7,GSE24210_RESTING_TREG_VS_TCONV_UP,GSE24210_RESTING_TREG_VS_TCONV_UP,168,-0.936900942,-1.697085772,0.000249701,0.318056561,0.318056561,165,"tags=4%, list=1%, signal=4%",SESN1/PDCD4/KIAA0040/C8orf58/UNC13D/PADI2
kc.like,C6,NOTCH_DN.V1_UP,NOTCH_DN.V1_UP,107,-0.9465175,-1.731543792,0.002378283,0.447117173,0.447117173,83,"tags=5%, list=1%, signal=5%",PIM2/KRT18/KCNH2/RNF39/CDKL1
kc.like,C7,GSE3039_ALPHABETA_CD8_TCELL_VS_B2_BCELL_UP,GSE3039_ALPHABETA_CD8_TCELL_VS_B2_BCELL_UP,149,-0.939654826,-1.715413631,0.000911342,0.496644428,0.496644428,111,"tags=3%, list=1%, signal=3%",KIF21B/MYB/UNC13D/PADI2
kc.like,C7,GSE21546_WT_VS_ELK1_KO_DP_THYMOCYTES_UP,GSE21546_WT_VS_ELK1_KO_DP_THYMOCYTES_UP,150,-0.937275494,-1.705328768,0.000761845,0.496644428,0.496644428,45,"tags=3%, list=0%, signal=3%",FRRS1/KLHDC2/RAB37/SSC5D/UNC13D
kc.like,C7,GSE411_WT_VS_SOCS3_KO_MACROPHAGE_DN,GSE411_WT_VS_SOCS3_KO_MACROPHAGE_DN,163,-0.932597006,-1.692939322,0.000515011,0.496644428,0.496644428,11,"tags=2%, list=0%, signal=2%",ALDH6A1/LAMB3/PADI2
kc.like,C7,GSE21360_PRIMARY_VS_QUATERNARY_MEMORY_CD8_TCELL_UP,GSE21360_PRIMARY_VS_QUATERNARY_MEMORY_CD8_TCELL_UP,124,0.967369833,1.55171958,0.000804192,0.496644428,0.496644428,38,"tags=3%, list=0%, signal=3%",CD74/VWF/MYO1F/ENTPD1
kc.like,C7,GSE11057_NAIVE_VS_EFF_MEMORY_CD4_TCELL_DN,GSE11057_NAIVE_VS_EFF_MEMORY_CD4_TCELL_DN,146,0.964879922,1.544624306,0.000704093,0.496644428,0.496644428,29,"tags=1%, list=0%, signal=1%",CD74/MYO1F
kc.like,C7,GSE2585_CTEC_VS_THYMIC_DC_UP,GSE2585_CTEC_VS_THYMIC_DC_UP,139,0.965282737,1.521230746,0.000974768,0.496644428,0.496644428,6,"tags=1%, list=0%, signal=1%",CD74/KCNK10
kc.like,C7,GSE40685_TREG_VS_FOXP3_KO_TREG_PRECURSOR_DN,GSE40685_TREG_VS_FOXP3_KO_TREG_PRECURSOR_DN,131,0.968247139,1.540035581,0.001080146,0.500303942,0.500303942,70,"tags=5%, list=1%, signal=5%",CD74/CGAS/C1RL/C1R/CASP4/C1S
kc.like,C7,GSE32034_UNTREATED_VS_ROSIGLIZATONE_TREATED_LY6C_LOW_MONOCYTE_DN,GSE32034_UNTREATED_VS_ROSIGLIZATONE_TREATED_LY6C_LOW_MONOCYTE_DN,119,0.967765097,1.550811522,0.001213418,0.515197248,0.515197248,24,"tags=2%, list=0%, signal=2%",CD74/TEX14
