"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GSE40274_CTRL_VS_FOXP3_AND_EOS_TRANSDUCED_ACTIVATED_CD4_TCELL_UP","GSE40274_CTRL_VS_FOXP3_AND_EOS_TRANSDUCED_ACTIVATED_CD4_TCELL_UP",130,-0.884428926145432,-2.02606227361068,1.18314909779935e-06,0.00602577835509207,0.00575508629571661,425,"tags=14%, list=4%, signal=13%","PHACTR2/RGL2/ZBTB1/RIPOR2/TRIM34/PRKAR2B/MICAL1/FBXO32/TET1/TCP11L2/GRAP2/CIITA/ABCA7/MCTP2/CARMIL2/SLC14A1/IL1RL1/SELL"
"GSE11057_PBMC_VS_MEM_CD4_TCELL_UP","GSE11057_PBMC_VS_MEM_CD4_TCELL_UP",127,0.914865887791843,1.80069557568182,2.68280091042681e-06,0.00683175251840188,0.00652485421425385,194,"tags=11%, list=2%, signal=11%","SMPDL3A/STAB1/RNF144B/IGSF6/PCDH9/MAFB/SCPEP1/C5AR1/SLC37A2/SLC2A6/RTN1/EPB41L3/FCGRT/SLC7A7"
"GSE3565_DUSP1_VS_WT_SPLENOCYTES_DN","GSE3565_DUSP1_VS_WT_SPLENOCYTES_DN",146,-0.845836090640373,-1.9471018642587,2.68792665706313e-05,0.0307246465554575,0.029344423560257,198,"tags=8%, list=2%, signal=8%","FAM78A/KLHDC2/TET1/TCP11L2/TOP2B/LBH/GPR146/MYB/CARMIL2/SLC14A1/SELL"
"GSE21360_TERTIARY_VS_QUATERNARY_MEMORY_CD8_TCELL_UP","GSE21360_TERTIARY_VS_QUATERNARY_MEMORY_CD8_TCELL_UP",152,0.881030510273741,1.77706700322168,3.01636035298032e-05,0.0307246465554575,0.029344423560257,221,"tags=9%, list=2%, signal=9%","SMPDL3A/STAB1/RNF144B/PYCARD/COL14A1/SEMA6B/COLEC12/ANK1/SLC37A2/GAL3ST4/FCGRT/ACBD5/COTL1"
"GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_MYELOID_DN","GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_MYELOID_DN",143,0.887945257965593,1.76444878339378,2.62061696388657e-05,0.0307246465554575,0.029344423560257,246,"tags=12%, list=2%, signal=12%","STAB1/CSF1R/IGSF6/BASP1/S100A12/SLC11A1/MAFB/C5AR1/SLC2A6/CEBPB/EPB41L3/GRN/FCGRT/ALDH3B1/SLC7A7/NLRP3/HMOX1"
"GSE22601_DOUBLE_POSITIVE_VS_CD8_SINGLE_POSITIVE_THYMOCYTE_UP","GSE22601_DOUBLE_POSITIVE_VS_CD8_SINGLE_POSITIVE_THYMOCYTE_UP",161,-0.830748178934678,-1.89994456260236,3.9030527475195e-05,0.033130412738528,0.0316421170987502,330,"tags=7%, list=3%, signal=7%","RIPOR2/TRIM34/FAM8A1/CREBRF/FBXO32/ELF1/ABTB1/TNFRSF25/SMAD7/IL1RL1/SELL/MFNG"
"GSE45365_NK_CELL_VS_CD8A_DC_UP","GSE45365_NK_CELL_VS_CD8A_DC_UP",158,0.873281850283596,1.76345402012403,5.76346004052618e-05,0.0419332885519997,0.0400495471387541,59,"tags=3%, list=0%, signal=3%","STAB1/LAMA4/PYCARD/MAFB"
"GSE36888_UNTREATED_VS_IL2_TREATED_STAT5_AB_KNOCKIN_TCELL_2H_DN","GSE36888_UNTREATED_VS_IL2_TREATED_STAT5_AB_KNOCKIN_TCELL_2H_DN",145,-0.833539308427175,-1.91549275205327,0.000104901659818515,0.0427813890733006,0.0408595490007383,240,"tags=9%, list=2%, signal=9%","TRAF5/RHOF/HLTF/SIT1/FCMR/TSPAN33/LBH/MAP4K1/EFCAB5/CD38/TFDP2/ENPP3/CLIC2"
"GSE8921_UNSTIM_0H_VS_TLR1_2_STIM_MONOCYTE_24H_UP","GSE8921_UNSTIM_0H_VS_TLR1_2_STIM_MONOCYTE_24H_UP",110,0.899840104697075,1.78339089145227,7.68262784314895e-05,0.0427813890733006,0.0408595490007383,67,"tags=5%, list=1%, signal=5%","SNCAIP/PDE6A/THBS2/COL14A1/RYR3/CTHRC1"
"GSE11961_MARGINAL_ZONE_BCELL_VS_MEMORY_BCELL_DAY7_DN","GSE11961_MARGINAL_ZONE_BCELL_VS_MEMORY_BCELL_DAY7_DN",106,0.904855550676994,1.77751162390423,0.000122614735941952,0.0427813890733006,0.0408595490007383,79,"tags=5%, list=1%, signal=5%","MMP9/NTN1/SSC5D/RAB25/MACROH2A2"
