"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"RPS14_DN.V1_UP","RPS14_DN.V1_UP",117,0.889055594693495,1.92377486762996,2.19096199552412e-05,0.00411900855158534,0.00396679434979103,155,"tags=7%, list=1%, signal=7%","MAF/PYCARD/SPP1/NR4A3/ENPP2/IGSF6/IL1B/COLEC12"
"BMI1_DN_MEL18_DN.V1_UP","BMI1_DN_MEL18_DN.V1_UP",107,0.87877789760318,1.8760753258938,9.04146416618926e-05,0.0084989763162179,0.00818490440307659,204,"tags=8%, list=2%, signal=8%","GFPT2/KRT75/FGF21/ADRB2/STC2/CSPG4/ITGB6/TMEM51/TNIP3"
"MEL18_DN.V1_UP","MEL18_DN.V1_UP",111,0.86690932423199,1.86745602971702,0.00038874205065134,0.018270876380613,0.0175956928189554,365,"tags=11%, list=3%, signal=11%","GFPT2/FGF21/SPP1/MMP15/STC2/CSPG4/TMEM51/SUN2/EDN1/LPL/AGRN/F3"
"CRX_DN.V1_DN","CRX_DN.V1_DN",92,0.878138066890676,1.8642028313467,0.000336847649747531,0.018270876380613,0.0175956928189554,58,"tags=4%, list=0%, signal=4%","SMPDL3A/TGM2/TNFRSF13B/C1QTNF6"
"BMI1_DN.V1_UP","BMI1_DN.V1_UP",110,0.849664217917316,1.823315772039,0.000613349091166459,0.0230619258278588,0.0222096934064486,365,"tags=12%, list=3%, signal=12%","GFPT2/FGF21/MMP15/ADRB2/STC2/LRP5/SLC2A1/CSPG4/ITGB6/TMEM51/EDN1/AGRN/F3"
"IL2_UP.V1_DN","IL2_UP.V1_DN",103,-0.849969564949448,-1.89431028010698,0.00111914848988316,0.0350666526830057,0.0337707965368252,210,"tags=10%, list=2%, signal=10%","MEOX1/NDOR1/CLEC2B/TG/CACNA1E/MAP2K6/PLCL1/SYT1/PDCD4/CD34"
"PRC2_EZH2_UP.V1_UP","PRC2_EZH2_UP.V1_UP",134,0.827745914240047,1.80728074079191,0.00147438962590968,0.0395978928101458,0.0381345888205211,121,"tags=4%, list=1%, signal=4%","GFPT2/SMPDL3A/TSPAN13/EPHB2/TMEM100/PPFIA4"
"ALK_DN.V1_UP","ALK_DN.V1_UP",71,0.876664953688402,1.86272145308737,0.00180947503117682,0.0425226632326552,0.0409512770213701,182,"tags=7%, list=2%, signal=7%","FGF21/SPP1/ENPP2/STC2/MTHFD2"
"JNK_DN.V1_DN","JNK_DN.V1_DN",120,0.817259853037528,1.77071886554914,0.0037252529356428,0.0700347551900846,0.0674466847295328,114,"tags=3%, list=1%, signal=3%","KRT75/CYP1A1/GRIN2C/ABCA4"
"KRAS.DF.V1_UP","KRAS.DF.V1_UP",150,0.788771737591259,1.7427075525597,0.0036538879368757,0.0700347551900846,0.0674466847295328,267,"tags=3%, list=2%, signal=3%","COL6A3/GFPT2/ADAM8/PDPN/ASMTL"
"BRCA1_DN.V1_UP","BRCA1_DN.V1_UP",59,-0.855486197636844,-1.85868114577464,0.00821517075781213,0.12870434187239,0.123948190381025,7,"tags=5%, list=0%, signal=5%","CILP/SP4/CD34"
"KRAS.DF.V1_DN","KRAS.DF.V1_DN",123,0.803183901467574,1.74419904061979,0.00764761416384191,0.12870434187239,0.123948190381025,348,"tags=8%, list=3%, signal=8%","RNF39/CYP1A1/HRH2/ADRB2/COBL/KLF15/RET/GLIPR1/PRELID3B/ACTL6A"
"MEL18_DN.V1_DN","MEL18_DN.V1_DN",97,0.780061688652221,1.65909042660147,0.0235493315434546,0.316233880726391,0.304547746276255,633,"tags=9%, list=5%, signal=9%","MAF/LY6E/UNC5C/PDE7B/EFHD1/SNCAIP/MPPED2/CREM/PKP2"
"TGFB_UP.V1_UP","TGFB_UP.V1_UP",153,0.722282632179039,1.59487012286258,0.0227414749792807,0.316233880726391,0.304547746276255,343,"tags=7%, list=3%, signal=7%","ANK1/CSF1R/MAFB/ABCG1/CRYAB/ITGB6/WNT3/FLT4/EDN1/CYP2J2/WNT4"
"WNT_UP.V1_DN","WNT_UP.V1_DN",106,0.745935910808079,1.59530458999194,0.026661172849212,0.33415336637679,0.321805033688734,103,"tags=4%, list=1%, signal=4%","OLFM1/LBP/GRIN2C/GPX3"
"PDGF_UP.V1_DN","PDGF_UP.V1_DN",60,0.828856510805959,1.75118770887205,0.0318637901826092,0.374399534645658,0.360563941540051,160,"tags=7%, list=1%, signal=7%","CYP1A1/MXRA5/CRYAB/ITGB6"
"KRAS.AMP.LUNG_UP.V1_UP","KRAS.AMP.LUNG_UP.V1_UP",41,0.828738181021463,1.74453289912666,0.0626304801670146,0.574484339190221,0.553254794740863,36,"tags=5%, list=0%, signal=5%","SPP1/MMP15"
"HINATA_NFKB_IMMU_INF","HINATA_NFKB_IMMU_INF",11,0.835269173392174,1.67658380821453,0.0672268907563025,0.574484339190221,0.553254794740863,67,"tags=9%, list=1%, signal=9%","IL1B"
"P53_DN.V2_DN","P53_DN.V2_DN",92,-0.743118262374256,-1.66017628651567,0.0569259962049336,0.574484339190221,0.553254794740863,359,"tags=7%, list=3%, signal=6%","CHD1L/FKBP5/NRXN3/RASAL1/ACSM3/SELL"
