ENSCAF (results),ensembl_gene_id,Hugo_Symbol,ENSCAF (add = in front),Hugo_Symbol (add = in front)
,ENSCAFG00000000001,ENPP1,"XLOOKUP(A2,$B:$B,$B:$B,"""",0)","XLOOKUP(A2,$B:$B,$C:$C,"""",0)"
,ENSCAFG00000000002,NA,,
,ENSCAFG00000000005,PARD6G,,
,ENSCAFG00000000007,ADNP2,,
,ENSCAFG00000000008,TXNL4A,,
,ENSCAFG00000000009,SLC66A2,,
,ENSCAFG00000000010,CTDP1,,
,ENSCAFG00000000011,NFATC1,,
,ENSCAFG00000000012,ATP9B,,
,ENSCAFG00000000013,SALL3,,
,ENSCAFG00000000014,NA,,
,ENSCAFG00000000015,GALR1,,
,ENSCAFG00000000016,MBP,,
,ENSCAFG00000000017,ZNF236,,
,ENSCAFG00000000019,ZNF516,,
,ENSCAFG00000000020,TSHZ1,,
,ENSCAFG00000000021,ZADH2,,
,ENSCAFG00000000022,ZNF407,,
,ENSCAFG00000000024,CNDP1,,
,ENSCAFG00000000025,DIPK1C,,
,ENSCAFG00000000026,CYB5A,,
,ENSCAFG00000000027,NA,,
,ENSCAFG00000000028,TIMM21,,
,ENSCAFG00000000029,FBXO15,,
,ENSCAFG00000000030,NA,,
,ENSCAFG00000000031,NETO1,,
,ENSCAFG00000000032,CBLN2,,
,ENSCAFG00000000033,NA,,
,ENSCAFG00000000034,NA,,
,ENSCAFG00000000036,SOCS6,,
,ENSCAFG00000000037,RTTN,,
,ENSCAFG00000000038,CD226,,
,ENSCAFG00000000039,DOK6,,
,ENSCAFG00000000040,CCDC102B,,
,ENSCAFG00000000042,NA,,
,ENSCAFG00000000043,TMX3,,
,ENSCAFG00000000044,NA,,
,ENSCAFG00000000045,NA,,
,ENSCAFG00000000047,NA,,
,ENSCAFG00000000049,NA,,
,ENSCAFG00000000051,NA,,
,ENSCAFG00000000052,CDH19,,
,ENSCAFG00000000054,NA,,
,ENSCAFG00000000056,CDH7,,
,ENSCAFG00000000058,SERPINB8,,
,ENSCAFG00000000059,SERPINB2,,
,ENSCAFG00000000060,ITGA7,,
,ENSCAFG00000000061,NA,,
,ENSCAFG00000000062,NA,,
,ENSCAFG00000000063,RDH5,,
,ENSCAFG00000000064,CD63,,
,ENSCAFG00000000065,GDF11,,
,ENSCAFG00000000066,VPS4B,,
,ENSCAFG00000000067,KDSR,,
,ENSCAFG00000000068,BCL2,,
,ENSCAFG00000000069,NA,,
,ENSCAFG00000000070,PHLPP1,,
,ENSCAFG00000000071,NA,,
,ENSCAFG00000000072,NA,,
,ENSCAFG00000000073,ZCCHC2,,
,ENSCAFG00000000074,MMP19,,
,ENSCAFG00000000075,TNFRSF11A,,
,ENSCAFG00000000076,PYM1,,
,ENSCAFG00000000078,DGKA,,
,ENSCAFG00000000079,RELCH,,
,ENSCAFG00000000080,PMEL,,
,ENSCAFG00000000081,NA,,
,ENSCAFG00000000082,CDK2,,
,ENSCAFG00000000083,PIGN,,
,ENSCAFG00000000086,CDH20,,
,ENSCAFG00000000087,RAB5B,,
,ENSCAFG00000000088,SUOX,,
,ENSCAFG00000000089,NA,,
,ENSCAFG00000000090,MC4R,,
,ENSCAFG00000000093,CCBE1,,
,ENSCAFG00000000094,LMAN1,,
,ENSCAFG00000000096,CPLX4,,
,ENSCAFG00000000097,ERBB3,,
,ENSCAFG00000000098,RAX,,
,ENSCAFG00000000099,GRP,,
,ENSCAFG00000000100,SEC11C,,
,ENSCAFG00000000101,NA,,
,ENSCAFG00000000102,PA2G4,,
,ENSCAFG00000000103,ZNF532,,
,ENSCAFG00000000105,MALT1,,
,ENSCAFG00000000107,ALPK2,,
,ENSCAFG00000000108,ESYT1,,
,ENSCAFG00000000109,SMARCC2,,
,ENSCAFG00000000110,MYL6B,,
,ENSCAFG00000000111,RNF41,,
,ENSCAFG00000000113,ANKRD52,,
,ENSCAFG00000000115,CS,,
,ENSCAFG00000000116,NEDD4L,,
,ENSCAFG00000000118,NA,,
,ENSCAFG00000000119,PAN2,,
,ENSCAFG00000000120,IL23A,,
,ENSCAFG00000000121,STAT2,,
,ENSCAFG00000000122,APOF,,
,ENSCAFG00000000123,ATP8B1,,
,ENSCAFG00000000124,TIMELESS,,
,ENSCAFG00000000125,NARS1,,
,ENSCAFG00000000126,FECH,,
,ENSCAFG00000000127,ONECUT2,,
,ENSCAFG00000000128,MIP,,
,ENSCAFG00000000129,ST8SIA3,,
,ENSCAFG00000000130,SPRYD4,,
,ENSCAFG00000000131,GLS2,,
,ENSCAFG00000000132,NA,,
,ENSCAFG00000000133,WDR7,,
,ENSCAFG00000000134,RBMS2,,
,ENSCAFG00000000135,BAZ2A,,
,ENSCAFG00000000136,ATP5F1B,,
,ENSCAFG00000000137,TXNL1,,
,ENSCAFG00000000140,TCF4,,
,ENSCAFG00000000141,NACA,,
,ENSCAFG00000000142,NA,,
,ENSCAFG00000000143,HSD17B6,,
,ENSCAFG00000000144,CCDC68,,
,ENSCAFG00000000145,RAB27B,,
,ENSCAFG00000000147,C1H18orf54,,
,ENSCAFG00000000148,RDH16,,
,ENSCAFG00000000149,STARD6,,
,ENSCAFG00000000150,POLI,,
,ENSCAFG00000000153,NA,,
,ENSCAFG00000000156,MYO1A,,
,ENSCAFG00000000157,DCC,,
,ENSCAFG00000000158,HSD17B4,,
,ENSCAFG00000000159,NEMP1,,
,ENSCAFG00000000160,NAB2,,
,ENSCAFG00000000162,MEX3C,,
,ENSCAFG00000000163,STAT6,,
,ENSCAFG00000000164,SMAD4,,
,ENSCAFG00000000165,TNFAIP8,,
,ENSCAFG00000000166,ELAC1,,
,ENSCAFG00000000167,DMXL1,,
,ENSCAFG00000000168,ME2,,
,ENSCAFG00000000169,MRO,,
,ENSCAFG00000000170,MC2R,,
,ENSCAFG00000000172,MC5R,,
,ENSCAFG00000000173,FAM210A,,
,ENSCAFG00000000175,NA,,
,ENSCAFG00000000178,LRP1,,
,ENSCAFG00000000183,NA,,
,ENSCAFG00000000184,MOXD1,,
,ENSCAFG00000000185,STX7,,
,ENSCAFG00000000189,SLC18B1,,
,ENSCAFG00000000190,RPS12,,
,ENSCAFG00000000192,SEMA6A,,
,ENSCAFG00000000193,NA,,
,ENSCAFG00000000194,INHBC,,
,ENSCAFG00000000195,SHMT2,,
,ENSCAFG00000000196,EYA4,,
,ENSCAFG00000000197,COMMD10,,
,ENSCAFG00000000198,ARL14EPL,,
,ENSCAFG00000000199,LVRN,,
,ENSCAFG00000000200,NDUFA4L2,,
,ENSCAFG00000000203,AP3S1,,
,ENSCAFG00000000204,ATG12,,
,ENSCAFG00000000205,TCF21,,
,ENSCAFG00000000206,CDO1,,
,ENSCAFG00000000207,TBPL1,,
,ENSCAFG00000000209,TMED7,,
,ENSCAFG00000000210,FEM1C,,
,ENSCAFG00000000211,NA,,
,ENSCAFG00000000212,SLC2A12,,
,ENSCAFG00000000213,NA,,
,ENSCAFG00000000214,CCDC112,,
,ENSCAFG00000000215,R3HDM2,,
,ENSCAFG00000000217,SGK1,,
,ENSCAFG00000000219,TRIM36,,
,ENSCAFG00000000220,KCNN2,,
,ENSCAFG00000000221,ALDH8A1,,
,ENSCAFG00000000223,GLI1,,
,ENSCAFG00000000224,YTHDC2,,
,ENSCAFG00000000225,NA,,
,ENSCAFG00000000226,HBS1L,,
,ENSCAFG00000000228,TMED9,,
,ENSCAFG00000000229,MARS1,,
,ENSCAFG00000000230,MYB,,
,ENSCAFG00000000231,B4GALT7,,
,ENSCAFG00000000233,DCTN2,,
,ENSCAFG00000000234,AHI1,,
,ENSCAFG00000000235,N4BP3,,
,ENSCAFG00000000236,RMND5B,,
,ENSCAFG00000000237,NA,,
,ENSCAFG00000000238,KIF5A,,
,ENSCAFG00000000239,PDE7B,,
,ENSCAFG00000000240,NHP2,,
,ENSCAFG00000000241,HNRNPAB,,
,ENSCAFG00000000242,PHYKPL,,
,ENSCAFG00000000244,MTFR2,,
,ENSCAFG00000000245,BCLAF1,,
,ENSCAFG00000000246,COL23A1,,
,ENSCAFG00000000247,MAP7,,
,ENSCAFG00000000248,CLK4,,
,ENSCAFG00000000249,PIP4K2C,,
,ENSCAFG00000000250,ARHGEF25,,
,ENSCAFG00000000251,MAP3K5,,
,ENSCAFG00000000252,SLC26A10,,
,ENSCAFG00000000253,PEX7,,
,ENSCAFG00000000255,B4GALNT1,,
,ENSCAFG00000000256,SLC35D3,,
,ENSCAFG00000000257,IL20RA,,
,ENSCAFG00000000258,IL22RA2,,
,ENSCAFG00000000259,OS9,,
,ENSCAFG00000000260,IFNGR1,,
,ENSCAFG00000000261,RPA3,,
,ENSCAFG00000000262,OR1X2,,
,ENSCAFG00000000263,NA,,
,ENSCAFG00000000265,OLIG3,,
,ENSCAFG00000000267,TNFAIP3,,
,ENSCAFG00000000268,PROP1,,
,ENSCAFG00000000271,NA,,
,ENSCAFG00000000272,ARFGEF3,,
,ENSCAFG00000000273,AGAP2,,
,ENSCAFG00000000274,HEBP2,,
,ENSCAFG00000000275,NHSL1,,
,ENSCAFG00000000277,CCDC28A,,
,ENSCAFG00000000278,TSPAN31,,
,ENSCAFG00000000279,REPS1,,
,ENSCAFG00000000280,CDK4,,
,ENSCAFG00000000281,ABRACL,,
,ENSCAFG00000000282,HECA,,
,ENSCAFG00000000283,TXLNB,,
,ENSCAFG00000000285,CITED2,,
,ENSCAFG00000000287,CYP27B1,,
,ENSCAFG00000000289,NA,,
,ENSCAFG00000000290,METTL1,,
,ENSCAFG00000000291,NA,,
,ENSCAFG00000000293,TSFM,,
,ENSCAFG00000000294,NMBR,,
,ENSCAFG00000000295,VTA1,,
,ENSCAFG00000000296,ADGRG6,,
,ENSCAFG00000000297,AVIL,,
,ENSCAFG00000000300,HIVEP2,,
,ENSCAFG00000000303,AIG1,,
,ENSCAFG00000000304,NA,,
,ENSCAFG00000000305,ADAT2,,
,ENSCAFG00000000307,PEX3,,
,ENSCAFG00000000308,CTDSP2,,
,ENSCAFG00000000309,FUCA2,,
,ENSCAFG00000000310,ATP23,,
,ENSCAFG00000000311,LRIG3,,
,ENSCAFG00000000312,PHACTR2,,
,ENSCAFG00000000314,NA,,
,ENSCAFG00000000316,SLC16A7,,
,ENSCAFG00000000317,ZC2HC1B,,
,ENSCAFG00000000318,PLAGL1,,
,ENSCAFG00000000320,SERF2,,
,ENSCAFG00000000322,STX11,,
,ENSCAFG00000000323,USP15,,
,ENSCAFG00000000326,UTRN,,
,ENSCAFG00000000327,NA,,
,ENSCAFG00000000329,EPM2A,,
,ENSCAFG00000000330,FBXO30,,
,ENSCAFG00000000331,NA,,
,ENSCAFG00000000332,GRM6,,
,ENSCAFG00000000333,MON2,,
,ENSCAFG00000000334,ADAMTS2,,
,ENSCAFG00000000335,SHPRH,,
,ENSCAFG00000000336,HNRNPH1,,
,ENSCAFG00000000337,PPM1H,,
,ENSCAFG00000000338,GRM1,,
,ENSCAFG00000000339,AVPR1A,,
,ENSCAFG00000000340,NA,,
,ENSCAFG00000000341,NA,,
,ENSCAFG00000000344,RUFY1,,
,ENSCAFG00000000345,SRGAP1,,
,ENSCAFG00000000347,CBY3,,
,ENSCAFG00000000348,CANX,,
,ENSCAFG00000000350,MAML1,,
,ENSCAFG00000000351,C10H12orf56,,
,ENSCAFG00000000352,XPOT,,
,ENSCAFG00000000353,STXBP5,,
,ENSCAFG00000000354,LTC4S,,
,ENSCAFG00000000355,MGAT4B,,
,ENSCAFG00000000356,TBK1,,
,ENSCAFG00000000359,GNS,,
,ENSCAFG00000000360,SQSTM1,,
,ENSCAFG00000000361,TBC1D30,,
,ENSCAFG00000000364,WIF1,,
,ENSCAFG00000000365,MRNIP,,
,ENSCAFG00000000366,SASH1,,
,ENSCAFG00000000367,ENPP3,,
,ENSCAFG00000000370,NA,,
,ENSCAFG00000000372,UST,,
