cytokine,gene,Hugo_Symbol,baseMean,log2FoldChange,lfcSE,conf.low,conf.high,stat,pvalue,padj
CCL2,ENSCAFG00000011499,SNAI1,236.1467018,3.297911283,0.356595065,2.5989849556,3.9968376104,9.248336857942776,1.46e-20,2.25e-16
CCL2,ENSCAFG00000013252,NMNAT2,516.6021995,5.175288193,0.87180953,3.4665415142,6.8840348718,5.93626017485723,8.9e-10,6.87e-6
CCL2,ENSCAFG00000017916,SEMA7A,3789.545174,4.543260079,0.835249304,2.9061714431600008,6.18034871484,5.439406003982735,2.02e-8,1.03687e-4
CCL2,ENSCAFG00000047849,NA,556.7008036,5.093615161,0.992949362,3.14743441148,7.03979591052,5.129783406819894,7.43e-8,2.8658e-4
CCL2,ENSCAFG00000012070,FGR,1171.957244,-7.670822558,1.7570216,-11.114584894,-4.227060222,-4.365810049233316,1.86e-7,4.79641e-4
CCL2,ENSCAFG00000014200,IL12A,90.89890552,2.309794227,0.455647069,1.4167259717599998,3.2028624822399996,5.06926168112803,1.63e-7,4.79641e-4
CCL2,ENSCAFG00000010457,RIPOR2,244.6906101,-5.858535071,1.247790837,-8.30420511152,-3.4128650304800003,-4.695125895526993,2.85e-7,6.28143e-4
CCL2,ENSCAFG00000015750,IQSEC3,31.36648854,4.648021645,0.992522666,2.70267721964,6.59336607036,4.683038286402216,5.07e-7,9.77624e-4
CCL2,ENSCAFG00000016252,NA,418.3598338,-4.924386236,1.21213563,-7.3001720708,-2.5486004012000003,-4.06257032144167,2.19e-6,0.003384346
CCL2,ENSCAFG00000029475,B3GALT5,26.59053759,5.138567199,1.267633015,2.6540064896,7.623127908399999,4.053671005878622,2.06e-6,0.003384346
CCL2,ENSCAFG00000041972,NA,15.70429112,3.591882756,0.877946856,1.87110691824,5.31265859376,4.091230273737662,2.71e-6,0.003795398
CCL2,ENSCAFG00000041632,NA,30.67864641,3.094333127,0.799290341,1.5277240586400005,4.66094219536,3.8713505822285423,3.98e-6,0.005125108
CCL2,ENSCAFG00000019552,ARHGAP45,1930.433259,-5.067831093,1.415426731,-7.84206748576,-2.29359470024,-3.5804262997206315,4.79e-6,0.005684724
CCL2,ENSCAFG00000002145,IL1RL2,16.46331474,3.362018483,0.920976298,1.55690493892,5.16713202708,3.650494035841083,5.86e-6,0.006457119
CCL2,ENSCAFG00000015180,SELP,217.8883233,5.530931849,1.945949966,1.7168699156400002,9.34499378236,2.842278550650053,1.02e-5,0.00908583
CCL2,ENSCAFG00000015233,PROM1,241.0978354,5.346855994,1.847729243,1.7253066777200003,8.96840531028,2.8937443157628264,1.06e-5,0.00908583
CCL2,ENSCAFG00000016956,KCNMB1,50.67865509,4.787788009,1.523244983,1.80222784232,7.77334817568,3.143150354955083,9.8199999999999992e-06,0.00908583
CCL2,ENSCAFG00000031168,ZNF454,14.14821478,-2.53819838,0.780562238,-4.0681003664799995,-1.0082963935199998,-3.251756562684242,9.23e-6,0.00908583
CCL2,ENSCAFG00000005012,TMEM163,57.36851675,3.92900968,1.340871647,1.30090125188,6.55711810812,2.9301907373390828,1.6e-5,0.011537955
CCL2,ENSCAFG00000005731,NRG2,31.09546587,3.205303362,1.103644438,1.04216026352,5.3684464604799995,2.9042898705751465,1.72e-5,0.011537955
CCL2,ENSCAFG00000010154,MYH15,82.68133937,4.595509744,1.663868163,1.33432814452,7.85669134348,2.7619434316924303,1.7e-5,0.011537955
CCL2,ENSCAFG00000010924,PKNOX2,54.00323056,3.722225233,1.243406592,1.28514831268,6.1593021533200005,2.993570451490738,1.51e-5,0.011537955
CCL2,ENSCAFG00000023591,VNN1,36.92914981,4.453016839,1.575752387,1.36454216048,7.54149151752,2.8259622994942033,1.64e-5,0.011537955
CCL2,ENSCAFG00000019993,S1PR1,1253.089503,3.89956091,1.377044926,1.2005528550400002,6.59856896496,2.831832742979077,1.84e-5,0.011803719
CCL2,ENSCAFG00000016716,CPLX2,405.7858451,4.657067147,1.84149058,1.0477456102000002,8.2663886838,2.5289660439099286,2.21e-5,0.013626116
CCL2,ENSCAFG00000004375,NUP210,592.1954058,-5.225651197,2.39224221,-9.9144459286,-0.5368564654000005,-2.184415597699867,2.36e-5,0.01399086
CCL2,ENSCAFG00000006089,SMOX,368.4787478,1.246749997,0.7102026,-0.1452470990000001,2.638747093,1.7554849799198144,4.07e-5,0.022428426
