gene,Hugo_Symbol,baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSCAFG00000011499,SNAI1,236.1467018,3.297911283,0.356595065,1.46E-20,2.25E-16
ENSCAFG00000013252,NMNAT2,516.6021995,5.175288193,0.87180953,8.90E-10,6.87E-06
ENSCAFG00000017916,SEMA7A,3789.545174,4.543260079,0.835249304,2.02E-08,0.000103687
ENSCAFG00000047849,NA,556.7008036,5.093615161,0.992949362,7.43E-08,0.00028658
ENSCAFG00000012070,FGR,1171.957244,-7.670822558,1.7570216,1.86E-07,0.000479641
ENSCAFG00000014200,IL12A,90.89890552,2.309794227,0.455647069,1.63E-07,0.000479641
ENSCAFG00000010457,RIPOR2,244.6906101,-5.858535071,1.247790837,2.85E-07,0.000628143
ENSCAFG00000015750,IQSEC3,31.36648854,4.648021645,0.992522666,5.07E-07,0.000977624
ENSCAFG00000016252,NA,418.3598338,-4.924386236,1.21213563,2.19E-06,0.003384346
ENSCAFG00000029475,B3GALT5,26.59053759,5.138567199,1.267633015,2.06E-06,0.003384346
ENSCAFG00000041972,NA,15.70429112,3.591882756,0.877946856,2.71E-06,0.003795398
ENSCAFG00000041632,NA,30.67864641,3.094333127,0.799290341,3.98E-06,0.005125108
ENSCAFG00000019552,ARHGAP45,1930.433259,-5.067831093,1.415426731,4.79E-06,0.005684724
ENSCAFG00000002145,IL1RL2,16.46331474,3.362018483,0.920976298,5.86E-06,0.006457119
ENSCAFG00000015180,SELP,217.8883233,5.530931849,1.945949966,1.02E-05,0.00908583
ENSCAFG00000015233,PROM1,241.0978354,5.346855994,1.847729243,1.06E-05,0.00908583
ENSCAFG00000016956,KCNMB1,50.67865509,4.787788009,1.523244983,9.82E-06,0.00908583
ENSCAFG00000031168,ZNF454,14.14821478,-2.53819838,0.780562238,9.23E-06,0.00908583
ENSCAFG00000005012,TMEM163,57.36851675,3.92900968,1.340871647,1.60E-05,0.011537955
ENSCAFG00000005731,NRG2,31.09546587,3.205303362,1.103644438,1.72E-05,0.011537955
ENSCAFG00000010154,MYH15,82.68133937,4.595509744,1.663868163,1.70E-05,0.011537955
ENSCAFG00000010924,PKNOX2,54.00323056,3.722225233,1.243406592,1.51E-05,0.011537955
ENSCAFG00000023591,VNN1,36.92914981,4.453016839,1.575752387,1.64E-05,0.011537955
ENSCAFG00000019993,S1PR1,1253.089503,3.89956091,1.377044926,1.84E-05,0.011803719
ENSCAFG00000016716,CPLX2,405.7858451,4.657067147,1.84149058,2.21E-05,0.013626116
ENSCAFG00000004375,NUP210,592.1954058,-5.225651197,2.39224221,2.36E-05,0.01399086
ENSCAFG00000006089,SMOX,368.4787478,1.246749997,0.7102026,4.07E-05,0.022428426
ENSCAFG00000014333,S100P,246.7340645,4.176386781,1.912507807,3.94E-05,0.022428426
ENSCAFG00000017016,H1-9,168.674709,4.717318761,2.511952219,4.22E-05,0.022485223
ENSCAFG00000011807,CFAP45,45.35820828,2.953315677,1.393053758,5.09E-05,0.025368666
ENSCAFG00000017663,SIGLEC15,327.835784,4.112038045,2.099592967,5.27E-05,0.025368666
ENSCAFG00000019474,ARHGEF16,112.37243,4.075765664,2.09511628,5.42E-05,0.025368666
ENSCAFG00000034268,NA,9.297184188,2.251957923,1.119554147,5.30E-05,0.025368666
ENSCAFG00000013228,CNKSR2,15.25415749,3.633887193,1.854935217,6.05E-05,0.027019407
ENSCAFG00000019207,HMOX2,2135.715739,0.320503498,0.130987472,6.13E-05,0.027019407
ENSCAFG00000000192,SEMA6A,691.4630807,-4.428766039,2.874395742,6.35E-05,0.027067028
ENSCAFG00000028834,FAM104A,1378.690089,0.469689961,0.357930036,6.49E-05,0.027067028
ENSCAFG00000015155,TIMP1,17405.3204,2.07474692,1.17522057,7.65E-05,0.031085052
ENSCAFG00000009781,HERC6,665.5765514,-2.368356801,1.327892873,8.08E-05,0.031963152
ENSCAFG00000010306,TRPM1,19.32898455,1.934012448,1.184970987,9.36E-05,0.036126612
ENSCAFG00000015976,RASAL3,243.7000303,-3.435369955,2.082196705,9.65E-05,0.036343371
ENSCAFG00000009306,F2RL2,36.69778473,3.595864854,2.33975809,0.000105759,0.036457701
ENSCAFG00000012082,SEMA4B,1007.822612,0.917216018,0.72080873,0.000100293,0.036457701
ENSCAFG00000018641,LGALS9,1115.19344,-3.083373543,1.862165685,0.00010267,0.036457701
ENSCAFG00000032326,S100A2,404.0351255,2.258348987,1.3945881,0.000106298,0.036457701
ENSCAFG00000012003,LAT2,318.5983107,-3.303310903,2.12832383,0.000114575,0.037958337
ENSCAFG00000017880,DCUN1D3,127.2914015,0.422747845,0.354453424,0.000115592,0.037958337
ENSCAFG00000010599,HYAL1,206.6421942,1.988708431,1.319540596,0.000123587,0.039738314
ENSCAFG00000028574,NXT2,840.3459111,-2.208631172,1.457127395,0.000128601,0.040506636
ENSCAFG00000008382,FAIM2,32.75113778,3.206434078,2.252047592,0.000140962,0.042106576
ENSCAFG00000014444,NA,2551.759177,-0.85967084,0.743711534,0.000140083,0.042106576
ENSCAFG00000017482,ITGA11,80.7834456,3.352058199,2.439664222,0.000141865,0.042106576
ENSCAFG00000009592,NELL2,96.0757444,-3.345569188,2.463489087,0.000144859,0.042183946
ENSCAFG00000020343,IFI44L,233.0856267,-2.754806835,1.962960066,0.00016148,0.046153262
ENSCAFG00000002283,FGD3,143.8346018,-3.162016632,2.519345496,0.000177062,0.046349356
ENSCAFG00000004047,NA,7.743144155,2.752651176,2.089689401,0.000187028,0.046349356
ENSCAFG00000004591,C1QL3,46.50494614,2.866902066,2.21489946,0.00018872,0.046349356
ENSCAFG00000007225,FAM107A,60.53289405,-3.324274653,2.744900869,0.000166675,0.046349356
ENSCAFG00000008575,CUX2,265.7891309,2.609903798,1.984275107,0.000192196,0.046349356
ENSCAFG00000010913,C18H11orf24,1361.898914,0.670443748,0.638745432,0.000169059,0.046349356
ENSCAFG00000012630,CNKSR1,116.0212054,1.727957123,1.35431221,0.000191355,0.046349356
ENSCAFG00000016857,SEMA4A,986.9344669,-3.03105796,2.392313079,0.000185348,0.046349356
ENSCAFG00000019003,CARHSP1,466.9474035,1.292182643,1.067919802,0.000180862,0.046349356
ENSCAFG00000023636,PRSS22,118.525425,3.115482585,2.504976981,0.000183446,0.046349356
ENSCAFG00000019408,ARHGAP4,644.9837216,-2.904594395,2.436957127,0.000215159,0.051088759
ENSCAFG00000017664,SLC14A1,533.1035197,2.874974185,2.425359362,0.000219785,0.051396273
ENSCAFG00000019967,MBTPS1,5644.385641,0.295431863,0.1945748,0.000253416,0.058161174
ENSCAFG00000028762,KLRG1,65.39841962,-2.723162486,2.435393854,0.00025625,0.058161174
ENSCAFG00000034757,CCDC194,13.38054265,1.854905782,1.593945394,0.000262574,0.058732911
ENSCAFG00000035446,NA,17.25396134,1.635858835,1.443442203,0.000269124,0.059338098
ENSCAFG00000005051,SCN5A,32.29176841,1.756156739,1.54859548,0.000277632,0.060351644
ENSCAFG00000024732,RUFY4,43.3864351,2.261475122,2.023072078,0.000294165,0.063057484
ENSCAFG00000032287,CCL22,42.66305975,2.601967399,2.531177843,0.000302833,0.064026298
ENSCAFG00000023057,MICALL2,716.8107162,0.629677577,0.712571965,0.000329226,0.068665862
ENSCAFG00000030348,NA,34.25713226,0.432778352,0.495550971,0.00033977,0.069920065
ENSCAFG00000028607,GMFG,523.9950999,-1.690672462,1.629686428,0.000355555,0.072205802
ENSCAFG00000001623,SLC24A2,43.15822766,2.375139101,2.445933569,0.000365999,0.073361488
ENSCAFG00000004584,TSC22D1,2326.549884,0.528179346,0.632717907,0.000386128,0.073891718
ENSCAFG00000006815,TUSC3,1645.476275,0.348523643,0.384730384,0.000387795,0.073891718
ENSCAFG00000013889,RTP4,143.1619516,-2.324314576,2.428305405,0.00038258,0.073891718
ENSCAFG00000014319,UNC5B,311.2833835,1.056527501,1.127205284,0.000379853,0.073891718
ENSCAFG00000003119,WDPCP,67.76144288,0.395154369,0.467615516,0.000404932,0.076216055
