gene,Hugo_Symbol,baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSCAFG00000011415,MCUB,749.0610577,-1.390655095,0.256977562,1.67E-08,0.000251406
ENSCAFG00000018219,CSF1R,3333.46215,7.800659486,1.781495663,1.66E-07,0.001248435
ENSCAFG00000012923,DSCAML1,46.05389192,-5.659717248,1.237998437,3.94E-07,0.001974681
ENSCAFG00000018348,CCL7,5556.598961,6.613437757,1.581264778,5.93E-07,0.002228171
ENSCAFG00000008901,BPI,3066.695308,7.731426758,2.375039809,1.08E-06,0.002651257
ENSCAFG00000009273,STAB1,413.3600832,6.308236771,1.6676479,1.41E-06,0.002651257
ENSCAFG00000013440,ADAM8,728.0952539,4.619639889,1.108105423,1.40E-06,0.002651257
ENSCAFG00000024609,CNTN2,563.4266225,-6.381759767,1.665737242,1.26E-06,0.002651257
ENSCAFG00000015086,NA,172.4949063,5.066230172,1.265603363,1.66E-06,0.002776782
ENSCAFG00000006835,NR1H4,25.74295556,-2.28969508,0.605677811,2.77E-06,0.00416118
ENSCAFG00000012086,CTSS,1397.363611,5.536716621,1.656237562,3.74E-06,0.005113057
ENSCAFG00000015708,ACTA2,5251.714748,-5.787768728,1.892357051,4.75E-06,0.005950703
ENSCAFG00000001991,NA,22.95455703,2.977309345,1.031623687,1.06E-05,0.012023028
ENSCAFG00000014333,S100P,260.1481408,5.116539768,2.003786752,1.12E-05,0.012023028
ENSCAFG00000002152,IL1R2,2204.939216,5.189483138,2.173786702,1.30E-05,0.013004676
ENSCAFG00000013968,CD163,1093.576358,4.884494893,2.265847806,1.88E-05,0.017697036
ENSCAFG00000011995,THEMIS2,572.355473,3.732541468,1.64911679,2.29E-05,0.020280122
ENSCAFG00000042676,NA,224.6157355,4.361226642,2.256306158,2.94E-05,0.02453465
ENSCAFG00000018251,PDE6A,81.02602103,4.106668454,2.310444176,3.83E-05,0.030320467
ENSCAFG00000013058,DUSP12,1121.321798,0.955080948,0.70203953,5.20E-05,0.03725187
ENSCAFG00000047105,FOXS1,64.26477582,2.89032709,1.651140273,4.97E-05,0.03725187
ENSCAFG00000009912,ERG,104.8437274,-1.526231376,1.116882321,7.69E-05,0.050291263
ENSCAFG00000020082,DNM1,322.9733797,2.444594562,1.633364806,7.47E-05,0.050291263
ENSCAFG00000008919,RASGEF1B,175.6095556,3.294205476,2.40682261,8.27E-05,0.051827812
ENSCAFG00000018992,TMEM61,35.00332864,-2.608407104,1.895113971,9.28E-05,0.055837339
ENSCAFG00000010198,RAB7B,124.2581957,2.157767293,1.611884888,9.82E-05,0.056813499
ENSCAFG00000036621,NA,26.49311161,-1.740368427,1.392777858,0.000109306,0.059907352
ENSCAFG00000045177,NA,6.659751097,-2.123146042,1.664950643,0.000111537,0.059907352
ENSCAFG00000002201,SHC3,246.62577,2.846082491,2.706228712,0.000145818,0.068529989
ENSCAFG00000011920,CASS4,107.6788208,3.028167529,2.95031667,0.000132706,0.068529989
ENSCAFG00000014716,PSME3,3417.783286,0.314195336,0.227712523,0.000139031,0.068529989
ENSCAFG00000031865,SCARF1,286.0886604,2.304157719,1.986573894,0.000142436,0.068529989
ENSCAFG00000013178,OLA1,4131.693949,-0.326715441,0.320043619,0.00015391,0.070140806
ENSCAFG00000000071,NA,756.4093235,0.294607438,0.240752981,0.000179185,0.07152387
ENSCAFG00000014879,LRRC25,589.8860667,2.64402063,3.019531502,0.000180724,0.07152387
ENSCAFG00000015053,SPINDOC,611.5814767,-0.352363971,0.395245385,0.000163266,0.07152387
ENSCAFG00000018759,ZNF280C,492.5262439,-0.347590792,0.40757082,0.000178182,0.07152387
ENSCAFG00000031767,TUBA3D,110.4728367,1.937651393,1.836427486,0.000180305,0.07152387
ENSCAFG00000005704,STING1,248.9520131,2.340399384,2.351798452,0.000194415,0.071694416
ENSCAFG00000009865,KSR2,15.69907828,-2.009811258,1.931118693,0.000186667,0.071694416
ENSCAFG00000013332,ATF2,831.1098854,-0.304226576,0.335202106,0.000195457,0.071694416
ENSCAFG00000018277,NA,4242.354742,1.677926746,1.703194888,0.000210499,0.075373758
ENSCAFG00000006704,NFKBID,938.1824344,1.908296919,2.071594616,0.000248707,0.085006773
ENSCAFG00000011525,ISG20,141.7046686,1.941353623,2.109989324,0.00024813,0.085006773
ENSCAFG00000018972,EFCAB5,109.9556264,-0.580098639,0.776796893,0.000260532,0.08619977
ENSCAFG00000023899,CEACAM20,25.80371457,-1.874091632,2.086231823,0.00026366,0.08619977
ENSCAFG00000001873,TCP11L2,67.29522691,-0.481893397,0.688817363,0.000288719,0.092383855
ENSCAFG00000041978,NA,34.97805481,-1.808065467,2.162585648,0.000308438,0.09663755
ENSCAFG00000025345,RELN,128.7432342,-1.935039012,2.582624451,0.000333579,0.102381486
ENSCAFG00000003487,SLC66A3,1076.232801,-0.421416875,0.673356226,0.000387363,0.109916088
ENSCAFG00000013736,SPATA5L1,490.8661811,0.238589977,0.352896867,0.000371019,0.109916088
ENSCAFG00000014221,ARHGAP20,74.46623789,1.725575649,2.324677537,0.000384612,0.109916088
ENSCAFG00000018169,CCL14,244.0627068,1.803090045,2.669693418,0.000379797,0.109916088
ENSCAFG00000011770,TEX2,1031.311447,-0.214088772,0.256110724,0.000421793,0.116192002
ENSCAFG00000012619,MGST1,461.1546242,1.69156334,2.597655569,0.000424933,0.116192002
ENSCAFG00000004375,NUP210,1661.516816,-1.567426947,2.731621815,0.000439102,0.117922349
ENSCAFG00000000318,PLAGL1,837.992255,-0.282752156,0.507287403,0.000487686,0.12867199
ENSCAFG00000010934,RFTN2,22.09382998,0.424562101,0.740987495,0.000524171,0.133639562
ENSCAFG00000012468,OSM,95.75192624,1.392026431,2.101629127,0.000529121,0.133639562
ENSCAFG00000014463,PTPN6,2199.625327,1.415148792,2.164528296,0.000533172,0.133639562
ENSCAFG00000023592,SLC8A1,630.6587315,1.425063475,2.500702815,0.000555577,0.136972512
