gene,Hugo_Symbol (add = in front),baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSCAFG00000032734,KCNK13,114.5884423,-24.83516215,2.39954144,1.74E-25,2.81E-21
ENSCAFG00000031869,NA,760.0977622,26.31222179,2.966857802,2.73E-19,2.21E-15
ENSCAFG00000011638,SPTA1,149.4875953,-24.97776894,2.967397891,1.55E-17,5.93E-14
ENSCAFG00000018167,CCL3,398.2329711,24.92015332,2.967299087,1.83E-17,5.93E-14
ENSCAFG00000028912,CD300H,250.9880197,24.9234312,2.967337172,1.82E-17,5.93E-14
ENSCAFG00000008862,NAA11,198.4764404,24.60475154,2.967523966,4.61E-17,1.24E-13
ENSCAFG00000048256,NA,53.51892186,-23.60177183,2.968689986,8.07E-16,1.87E-12
ENSCAFG00000003864,CLEC5A,99.92859281,23.47653995,2.968560693,1.14E-15,2.30E-12
ENSCAFG00000005737,SFRP1,76.07509295,23.26775128,2.968892874,2.03E-15,3.64E-12
ENSCAFG00000011803,CCDC172,39.88994236,-23.20778976,2.969330637,2.41E-15,3.89E-12
ENSCAFG00000037413,NA,68.69715196,23.16277876,2.96906789,2.70E-15,3.98E-12
ENSCAFG00000007691,GALNT18,61.39118711,23.00881578,2.969331809,4.12E-15,5.55E-12
ENSCAFG00000000013,SALL3,57.71240733,22.91975018,2.969494987,5.24E-15,6.06E-12
ENSCAFG00000031355,NA,1674.200668,13.9307662,1.835419604,5.10E-15,6.06E-12
ENSCAFG00000016012,KRT27,26.53655817,-22.67505818,2.970513227,1.03E-14,1.11E-11
ENSCAFG00000016556,AQP9,40.62224762,22.44138726,2.970554564,1.90E-14,1.92E-11
ENSCAFG00000018348,CCL7,5241.278222,10.70121847,1.510130354,4.36E-14,4.15E-11
ENSCAFG00000048884,NA,24.58758413,21.75820779,2.972728753,1.14E-13,1.02E-10
ENSCAFG00000019026,SOX3,23.31853005,21.68865628,2.973007439,1.36E-13,1.16E-10
ENSCAFG00000045561,NA,24.92565775,21.65136934,2.973053856,1.49E-13,1.21E-10
ENSCAFG00000044417,NA,22.45127579,21.62974787,2.973244994,1.58E-13,1.22E-10
ENSCAFG00000008567,SUCNR1,16.67325946,21.23145222,2.975149594,4.36E-13,3.21E-10
ENSCAFG00000006557,NA,15.57619629,21.13868321,2.975661319,5.51E-13,3.88E-10
ENSCAFG00000006742,CDX2,13.58596765,20.93533091,2.976863514,9.16E-13,6.18E-10
ENSCAFG00000024781,NA,465.8639246,7.188119829,1.293317905,1.74E-09,1.12E-06
ENSCAFG00000001002,SMPDL3A,2403.903943,10.52966142,1.980569269,3.26E-09,2.03E-06
ENSCAFG00000004165,NDNF,377.3168174,10.97532399,2.193934003,1.89E-08,1.13E-05
ENSCAFG00000001084,CXCL14,131.3334068,6.648456623,1.309983173,3.42E-08,1.98E-05
ENSCAFG00000010192,RNF144B,221.8573887,5.344052704,1.02320592,3.92E-08,2.19E-05
ENSCAFG00000001991,NA,24.17348228,3.020051031,0.559789313,4.09E-08,2.20E-05
ENSCAFG00000008544,MMP15,271.9537838,6.236848992,1.236536878,5.29E-08,2.76E-05
ENSCAFG00000004492,GRIP2,36.97287507,6.300899195,1.264458453,6.76E-08,3.42E-05
ENSCAFG00000023928,CCL8,490.9415268,11.78616065,2.489083852,8.13E-08,3.99E-05
ENSCAFG00000008901,BPI,2899.46234,13.55969697,2.824145426,9.99E-08,4.76E-05
ENSCAFG00000009905,MMP9,8912.592662,9.869594712,2.189585474,1.56E-07,7.23E-05
ENSCAFG00000002964,LRRC4B,85.96031941,8.230275795,1.819236944,1.83E-07,8.14E-05
ENSCAFG00000013822,TDRD5,17.99597419,7.024772587,1.510818599,1.86E-07,8.14E-05
ENSCAFG00000007882,PCSK1,21.96683842,4.913804823,1.009718577,2.46E-07,0.000104871
ENSCAFG00000042676,NA,213.3273816,6.637572392,1.447782402,2.95E-07,0.000122468
ENSCAFG00000020082,DNM1,298.0071853,4.138065636,0.877535093,5.51E-07,0.000222839
ENSCAFG00000029471,CLIC2,46.11192478,-4.341076859,0.9323366,6.35E-07,0.000250453
ENSCAFG00000018272,KLHL13,81.4337395,6.548090506,1.510621111,7.13E-07,0.000274616
ENSCAFG00000009313,PHF21A,799.9946332,-0.955236061,0.312383506,8.57E-07,0.000322657
ENSCAFG00000004160,TNIP3,64.32993124,5.885170028,1.362582032,9.94E-07,0.000365415
ENSCAFG00000005773,CACNB4,143.4689449,4.342820609,0.976871281,1.17E-06,0.000420004
ENSCAFG00000010034,RYR2,59.11906178,7.154240603,1.768379272,1.25E-06,0.000440377
ENSCAFG00000009273,STAB1,395.2733773,7.16666058,1.954180629,2.92E-06,0.00100642
ENSCAFG00000000481,CAPS2,33.99862889,6.31569264,1.757120169,4.23E-06,0.001396975
ENSCAFG00000002573,SSC5D,85.97935845,3.381970871,0.873953364,4.24E-06,0.001396975
ENSCAFG00000004611,GRIN2C,118.5007825,3.789293331,0.980816699,4.32E-06,0.001396975
ENSCAFG00000004043,LAMA4,784.162584,6.973734317,2.060674371,5.16E-06,0.001611226
ENSCAFG00000010298,ADORA1,48.0591672,7.098268852,2.112133383,5.22E-06,0.001611226
ENSCAFG00000011008,CAMKV,111.2657101,7.698818149,2.343127607,5.28E-06,0.001611226
ENSCAFG00000013108,AP3B2,20.20469494,4.220855433,1.1366729,5.43E-06,0.001627275
ENSCAFG00000003487,SLC66A3,1189.789792,-1.697035544,0.533380895,5.69E-06,0.001674361
ENSCAFG00000013154,NA,163.0769226,7.541383968,2.406460062,6.98E-06,0.002018092
ENSCAFG00000014490,IGFBP2,227.0242191,9.866017753,3.410082081,8.49E-06,0.00240902
ENSCAFG00000017687,SCNN1B,106.7625373,4.487383652,1.338678047,9.30E-06,0.002550564
ENSCAFG00000018277,NA,4381.696995,3.160045192,0.940379482,9.28E-06,0.002550564
ENSCAFG00000019795,ALX3,80.32121659,5.43666245,1.756945067,1.15E-05,0.00309812
ENSCAFG00000016576,SEPTIN1,360.0125161,-5.4102064,1.868749238,1.53E-05,0.004049719
ENSCAFG00000017403,NTN1,108.0487142,4.469581982,1.569659011,1.90E-05,0.004955319
ENSCAFG00000029883,SLC25A36,481.7988023,-0.482374825,0.335292904,1.97E-05,0.005062193
ENSCAFG00000000303,AIG1,747.4874174,-0.485021737,0.341212452,2.13E-05,0.00522014
ENSCAFG00000006447,TOPBP1,5014.104421,-0.520956088,0.363434684,2.08E-05,0.00522014
ENSCAFG00000009482,CPQ,107.5157046,6.443525671,2.571891099,2.13E-05,0.00522014
ENSCAFG00000024864,NA,174.5674346,4.202021431,1.583534969,2.54E-05,0.00612331
ENSCAFG00000030102,TPC3,77.56800373,4.542613249,1.756112956,2.67E-05,0.006357243
ENSCAFG00000011534,ACAN,86.33880147,4.71389293,1.86434021,2.82E-05,0.006611187
ENSCAFG00000005694,NAP1L1,12899.56659,-0.267411068,0.105938457,2.90E-05,0.006707084
ENSCAFG00000000522,SNCAIP,37.81947419,5.832050312,2.522210195,3.08E-05,0.007023762
ENSCAFG00000029990,GLIPR1L2,44.58767152,6.917111509,3.337218179,3.60E-05,0.008090328
ENSCAFG00000014717,PIANP,31.95039507,3.671731857,1.531223801,3.69E-05,0.00818005
ENSCAFG00000007580,LYVE1,142.4039905,4.480621729,1.935674624,3.88E-05,0.008474016
ENSCAFG00000007401,NA,8.908370026,4.159030174,1.912486228,4.87E-05,0.010515246
ENSCAFG00000034733,NA,14.06907066,4.551383385,2.14078572,4.95E-05,0.010538372
ENSCAFG00000020354,CARMIL2,1346.140527,-4.275732222,2.058883133,5.50E-05,0.011565027
ENSCAFG00000008056,RYR3,39.92984202,2.649439796,1.330974119,6.17E-05,0.012662571
ENSCAFG00000010077,LSP1,2472.644535,-4.674288575,2.398602509,6.18E-05,0.012662571
ENSCAFG00000019014,SEMA6B,137.6699271,2.454646456,1.279500665,6.63E-05,0.01327635
ENSCAFG00000037735,NA,6683.225367,2.095078541,1.135204449,6.65E-05,0.01327635
ENSCAFG00000017404,SCPEP1,3975.964943,1.042182835,0.730560468,6.93E-05,0.013668802
ENSCAFG00000048254,NA,153.4121913,1.816393228,1.066475505,7.58E-05,0.01476777
ENSCAFG00000005040,KLF12,183.1086386,-1.371079744,0.904317736,8.18E-05,0.015551672
ENSCAFG00000010103,ASCL2,6.780338673,4.498880957,2.550209412,8.24E-05,0.015551672
ENSCAFG00000031968,C5H11orf52,25.67046345,3.15146204,1.708121879,8.27E-05,0.015551672
ENSCAFG00000005807,NUMA1,7396.144354,-0.264148343,0.1520181,9.11E-05,0.016936718
ENSCAFG00000011774,C2CD5,1241.548155,-0.36405217,0.322019851,9.66E-05,0.017769393
ENSCAFG00000017415,ZC3H14,3821.98813,-0.234262075,0.087916294,9.96E-05,0.018099408
ENSCAFG00000012739,SLC29A2,6.422836563,3.994491643,2.397507576,0.000103024,0.018522613
ENSCAFG00000008269,IL17RB,208.5924667,-3.474185996,2.102124367,0.000111584,0.019473372
ENSCAFG00000013440,ADAM8,711.6587177,3.093109722,1.856444253,0.000110592,0.019473372
ENSCAFG00000016764,SLC49A3,217.2921156,6.442566022,4.716878731,0.000111923,0.019473372
ENSCAFG00000000367,ENPP3,65.03881717,-4.121255738,2.624297466,0.00011652,0.020057613
ENSCAFG00000042655,NA,8.178436374,4.057617885,2.61056823,0.000120677,0.020554465
ENSCAFG00000018972,EFCAB5,85.96196553,-0.927020183,0.784681231,0.000130451,0.021987794
