"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"CAIRO_HEPATOBLASTOMA_POOR_SURVIVAL","CAIRO_HEPATOBLASTOMA_POOR_SURVIVAL",14,-0.998837725901206,-1.67247827897545,5.78023072292953e-06,0.0262443394831756,0.0259517841131896,2,"tags=14%, list=0%, signal=14%","C1S/RPL10A"
"WP_REGULATION_OF_SISTER_CHROMATID_SEPARATION_AT_THE_METAPHASEANAPHASE_TRANSITION","WP_REGULATION_OF_SISTER_CHROMATID_SEPARATION_AT_THE_METAPHASEANAPHASE_TRANSITION",12,-0.998523596408905,-1.66919415081638,9.27198003291844e-06,0.0262443394831756,0.0259517841131896,3,"tags=17%, list=0%, signal=17%","ESPL1/APC"
"REACTOME_BETA_CATENIN_PHOSPHORYLATION_CASCADE","REACTOME_BETA_CATENIN_PHOSPHORYLATION_CASCADE",13,-0.998572515448705,-1.67778591803916,4.90447995885832e-05,0.0396632300672814,0.0392210893552009,3,"tags=15%, list=0%, signal=15%","PPP2R5C/APC"
"REACTOME_SIGNALING_BY_CTNNB1_PHOSPHO_SITE_MUTANTS","REACTOME_SIGNALING_BY_CTNNB1_PHOSPHO_SITE_MUTANTS",13,-0.998572515448705,-1.67778591803916,4.90447995885832e-05,0.0396632300672814,0.0392210893552009,3,"tags=15%, list=0%, signal=15%","PPP2R5C/APC"
"KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_AXIN_TO_WNT_SIGNALING_PATHWAY","KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_AXIN_TO_WNT_SIGNALING_PATHWAY",10,-0.998519559532692,-1.66114026641819,4.81327026899685e-05,0.0396632300672814,0.0392210893552009,3,"tags=20%, list=0%, signal=20%","CCND1/APC"
"WP_ALZHEIMERS_DISEASE","WP_ALZHEIMERS_DISEASE",213,-0.979678965075987,-1.3801603678061,4.86024058209872e-05,0.0396632300672814,0.0392210893552009,41,"tags=3%, list=0%, signal=3%","APOE/TUBA4A/CALML5/ITPR2/WNT3A/APC"
"WP_ALZHEIMERS_DISEASE_AND_MIRNA_EFFECTS","WP_ALZHEIMERS_DISEASE_AND_MIRNA_EFFECTS",213,-0.979678965075987,-1.3801603678061,4.86024058209872e-05,0.0396632300672814,0.0392210893552009,41,"tags=3%, list=0%, signal=3%","APOE/TUBA4A/CALML5/ITPR2/WNT3A/APC"
"VERRECCHIA_RESPONSE_TO_TGFB1_C3","VERRECCHIA_RESPONSE_TO_TGFB1_C3",11,-0.998562483387107,-1.66491256870624,8.83009575139165e-05,0.0600659640709928,0.0593963865282385,3,"tags=18%, list=0%, signal=18%","IGF2R/APC"
"KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_APC_TO_WNT_SIGNALING_PATHWAY","KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_APC_TO_WNT_SIGNALING_PATHWAY",11,-0.998461166936964,-1.66474364284124,0.000111051966185482,0.0600659640709928,0.0593963865282385,3,"tags=18%, list=0%, signal=18%","CCND1/APC"
"REACTOME_TNF_SIGNALING","REACTOME_TNF_SIGNALING",42,0.993263895049539,1.61461717852877,0.000102087225042896,0.0600659640709928,0.0593963865282385,1,"tags=2%, list=0%, signal=2%","OTUD7B"
"WP_MICROTUBULE_CYTOSKELETON_REGULATION","WP_MICROTUBULE_CYTOSKELETON_REGULATION",41,-0.993962298353901,-1.58157447057815,0.000116715351489299,0.0600659640709928,0.0593963865282385,48,"tags=7%, list=0%, signal=7%","SPRED1/WNT3A/APC"
"WP_WNT_SIGNALING_WP428","WP_WNT_SIGNALING_WP428",93,-0.985572727984692,-1.49373438640397,0.000168355436682202,0.0794216772548287,0.078536334410171,8,"tags=3%, list=0%, signal=3%","NLK/WNT3A/APC"
"REACTOME_TNFR1_INDUCED_PROAPOPTOTIC_SIGNALING","REACTOME_TNFR1_INDUCED_PROAPOPTOTIC_SIGNALING",20,0.996867567914584,1.7135744183766,0.000359556480067589,0.114941681503294,0.113660384018914,1,"tags=5%, list=0%, signal=5%","OTUD7B"
"FRASOR_RESPONSE_TO_SERM_OR_FULVESTRANT_UP","FRASOR_RESPONSE_TO_SERM_OR_FULVESTRANT_UP",19,0.99502673108944,1.7094259050606,0.000527907387225869,0.114941681503294,0.113660384018914,4,"tags=5%, list=0%, signal=5%","RAB30"
"PID_BETA_CATENIN_DEG_PATHWAY","PID_BETA_CATENIN_DEG_PATHWAY",17,-0.997199149289142,-1.67713837808283,0.000308183730565876,0.114941681503294,0.113660384018914,8,"tags=18%, list=0%, signal=18%","SKP1/WNT3A/APC"
"BIOCARTA_COMP_PATHWAY","BIOCARTA_COMP_PATHWAY",12,-0.996845862552541,-1.6663895465489,0.00027144717049331,0.114941681503294,0.113660384018914,10,"tags=17%, list=0%, signal=17%","C1S/C1QC"
"DING_LUNG_CANCER_MUTATED_FREQUENTLY","DING_LUNG_CANCER_MUTATED_FREQUENTLY",11,-0.997837823676161,-1.663704336792,0.000377560247742205,0.114941681503294,0.113660384018914,3,"tags=18%, list=0%, signal=18%","TP53/APC"
"WP_INFLUENCE_OF_LAMINOPATHIES_ON_WNT_SIGNALING","WP_INFLUENCE_OF_LAMINOPATHIES_ON_WNT_SIGNALING",26,-0.996558831651714,-1.64530644974837,0.000400885302586198,0.114941681503294,0.113660384018914,3,"tags=8%, list=0%, signal=8%","HES5/APC"
"PURWIN_MEWO_SOX10_TARGETS","PURWIN_MEWO_SOX10_TARGETS",68,0.989320801713518,1.60171720243661,0.000285078567694702,0.114941681503294,0.113660384018914,1,"tags=1%, list=0%, signal=1%","OTUD7B"
"KEGG_MEDICUS_REFERENCE_WNT_SIGNALING_PATHWAY","KEGG_MEDICUS_REFERENCE_WNT_SIGNALING_PATHWAY",39,-0.993046080814416,-1.58508700394861,0.000502993961857051,0.114941681503294,0.113660384018914,8,"tags=8%, list=0%, signal=8%","FZD3/WNT3A/APC"
"WP_OVERLAP_BETWEEN_SIGNAL_TRANSDUCTION_PATHWAYS_CONTRIBUTING_TO_LMNA_LAMINOPATHIES","WP_OVERLAP_BETWEEN_SIGNAL_TRANSDUCTION_PATHWAYS_CONTRIBUTING_TO_LMNA_LAMINOPATHIES",42,-0.993699246832112,-1.57803984675455,0.00041993743038256,0.114941681503294,0.113660384018914,3,"tags=5%, list=0%, signal=5%","NAP1L1/APC"
"KEGG_BASAL_CELL_CARCINOMA","KEGG_BASAL_CELL_CARCINOMA",48,-0.992649114298764,-1.55576152287227,0.000513364971379876,0.114941681503294,0.113660384018914,8,"tags=6%, list=0%, signal=6%","FZD3/WNT3A/APC"
"ALCALA_APOPTOSIS","ALCALA_APOPTOSIS",65,-0.991458362767619,-1.52565066637734,0.000419229272827109,0.114941681503294,0.113660384018914,2,"tags=3%, list=0%, signal=3%","ANXA7/RPL10A"
"WP_WNT_SIGNALING_AND_PLURIPOTENCY","WP_WNT_SIGNALING_AND_PLURIPOTENCY",89,-0.987301597478287,-1.50276698925368,0.000432817081598576,0.114941681503294,0.113660384018914,8,"tags=3%, list=0%, signal=3%","NLK/WNT3A/APC"
"WP_BREAST_CANCER_PATHWAY","WP_BREAST_CANCER_PATHWAY",125,-0.982044322240851,-1.44580557285875,0.000493033685384634,0.114941681503294,0.113660384018914,8,"tags=2%, list=0%, signal=2%","SKP1/WNT3A/APC"
"WP_CANCER_PATHWAYS","WP_CANCER_PATHWAYS",415,-0.953285567787084,-1.34674566065124,0.000507210726252876,0.114941681503294,0.113660384018914,62,"tags=1%, list=0%, signal=1%","STAT5A/EGLN3/RXRG/CALML5/WNT3A/APC"
"LIANG_HEMATOPOIESIS_STEM_CELL_NUMBER_SMALL_VS_HUGE_DN","LIANG_HEMATOPOIESIS_STEM_CELL_NUMBER_SMALL_VS_HUGE_DN",23,-0.99608129772968,-1.63902064534396,0.000584093663939514,0.116640812436468,0.115340574110421,3,"tags=9%, list=0%, signal=9%","MAPK8/APC"
"WEIGEL_OXIDATIVE_STRESS_BY_HNE_AND_H2O2","WEIGEL_OXIDATIVE_STRESS_BY_HNE_AND_H2O2",29,-0.995156037467694,-1.60309663112888,0.000597524034739018,0.116640812436468,0.115340574110421,3,"tags=7%, list=0%, signal=7%","CSNK1G2/APC"
"WP_NCRNAS_INVOLVED_IN_WNT_SIGNALING_IN_HEPATOCELLULAR_CARCINOMA","WP_NCRNAS_INVOLVED_IN_WNT_SIGNALING_IN_HEPATOCELLULAR_CARCINOMA",67,-0.989071157448484,-1.52558101733043,0.000587234987420873,0.116640812436468,0.115340574110421,8,"tags=4%, list=0%, signal=4%","NLK/WNT3A/APC"
"WP_WARBURG_EFFECT_MODULATED_BY_DEUBIQUITINATING_ENZYMES_AND_THEIR_SUBSTRATES","WP_WARBURG_EFFECT_MODULATED_BY_DEUBIQUITINATING_ENZYMES_AND_THEIR_SUBSTRATES",21,0.992202250043697,1.70360007721656,0.000900840938436397,0.120818062547427,0.119471258867639,1,"tags=5%, list=0%, signal=5%","OTUD7B"
"LEE_NAIVE_T_LYMPHOCYTE","LEE_NAIVE_T_LYMPHOCYTE",12,0.995521906360593,1.69765946296655,0.000854000079346121,0.120818062547427,0.119471258867639,4,"tags=8%, list=0%, signal=8%","RAB30"
"REACTOME_TNFR1_INDUCED_NF_KAPPA_B_SIGNALING_PATHWAY","REACTOME_TNFR1_INDUCED_NF_KAPPA_B_SIGNALING_PATHWAY",26,0.995500460281171,1.69753688911707,0.000816901890839969,0.120818062547427,0.119471258867639,1,"tags=4%, list=0%, signal=4%","OTUD7B"
"TURASHVILI_BREAST_CARCINOMA_DUCTAL_VS_LOBULAR_UP","TURASHVILI_BREAST_CARCINOMA_DUCTAL_VS_LOBULAR_UP",17,0.994201881637055,1.69694167709215,0.000802862980681097,0.120818062547427,0.119471258867639,6,"tags=6%, list=0%, signal=6%","MTFR2"
"WP_NEPHROGENESIS","WP_NEPHROGENESIS",17,-0.99619811092892,-1.67545478273173,0.000898671206363269,0.120818062547427,0.119471258867639,8,"tags=12%, list=0%, signal=12%","NOTCH2/WNT3A"
"HU_GENOTOXIC_DAMAGE_24HR","HU_GENOTOXIC_DAMAGE_24HR",21,-0.995664214855671,-1.64797949087382,0.000683413947957245,0.120818062547427,0.119471258867639,2,"tags=10%, list=0%, signal=10%","HERPUD1/RPL10A"
"LOPES_METHYLATED_IN_COLON_CANCER_DN","LOPES_METHYLATED_IN_COLON_CANCER_DN",25,-0.996129244422971,-1.63177520323174,0.000697221412387979,0.120818062547427,0.119471258867639,3,"tags=8%, list=0%, signal=8%","TFAP2A/APC"
"WP_GASTRIC_CANCER_NETWORK_1","WP_GASTRIC_CANCER_NETWORK_1",24,-0.996314642502723,-1.62902868163905,0.000740448565814284,0.120818062547427,0.119471258867639,3,"tags=8%, list=0%, signal=8%","MCM4/APC"
"FRASOR_TAMOXIFEN_RESPONSE_UP","FRASOR_TAMOXIFEN_RESPONSE_UP",42,0.990013192618587,1.60933294337892,0.000773229461305588,0.120818062547427,0.119471258867639,4,"tags=2%, list=0%, signal=2%","RAB30"
"REACTOME_GLUCAGON_LIKE_PEPTIDE_1_GLP1_REGULATES_INSULIN_SECRETION","REACTOME_GLUCAGON_LIKE_PEPTIDE_1_GLP1_REGULATES_INSULIN_SECRETION",34,-0.992756115710636,-1.60020529424253,0.000976156774821429,0.120818062547427,0.119471258867639,14,"tags=6%, list=0%, signal=6%","ADCY6/ITPR2"
"GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_BLUE_DN","GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_BLUE_DN",39,0.990451582928393,1.59642538465455,0.000933539302422475,0.120818062547427,0.119471258867639,2,"tags=3%, list=0%, signal=3%","KCNH7"
