"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GOCC_COP9_SIGNALOSOME","GOCC_COP9_SIGNALOSOME",27,-0.936516111430472,-2.15069298952716,0.00134929150266746,0.972355849601347,0.972355849601347,3,"tags=7%, list=0%, signal=7%","COPS7A/EPB41L2"
"GOMF_LAMININ_BINDING","GOMF_LAMININ_BINDING",25,-0.948254142884111,-2.1498663217946,0.00112133860434477,0.972355849601347,0.972355849601347,49,"tags=16%, list=0%, signal=16%","PXDN/BCAM/RPSA/ADGRG6"
"GOCC_ENDONUCLEASE_COMPLEX","GOCC_ENDONUCLEASE_COMPLEX",28,-0.914905896253365,-2.13021834614126,0.00294611201571623,0.972355849601347,0.972355849601347,160,"tags=11%, list=1%, signal=11%","AGO1/TSEN34/CLP1"
"GOMF_SPECTRIN_BINDING","GOMF_SPECTRIN_BINDING",25,-0.927443437014302,-2.10268462897732,0.00735628546304814,0.972355849601347,0.972355849601347,3,"tags=8%, list=0%, signal=8%","PTPRN/EPB41L2"
"GOCC_NUCLEAR_REPLICATION_FORK","GOCC_NUCLEAR_REPLICATION_FORK",31,-0.903768264209823,-2.10173601615939,0.0136058065698024,0.972355849601347,0.972355849601347,265,"tags=10%, list=2%, signal=10%","HELB/SMARCAD1/POLA2"
"HP_APLASIA_HYPOPLASIA_OF_THE_ABDOMINAL_WALL_MUSCULATURE","HP_APLASIA_HYPOPLASIA_OF_THE_ABDOMINAL_WALL_MUSCULATURE",29,-0.901480139116534,-2.09896225341339,0.00815052183466252,0.972355849601347,0.972355849601347,223,"tags=10%, list=2%, signal=10%","RRAS2/FBN1/MANBA"
"GOBP_REGULATION_OF_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY","GOBP_REGULATION_OF_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY",21,-0.946312794604208,-2.0967131440377,0.00210951492863124,0.972355849601347,0.972355849601347,40,"tags=14%, list=0%, signal=14%","SARM1/CD36/SMPDL3B"
"HP_DEMYELINATING_PERIPHERAL_NEUROPATHY","HP_DEMYELINATING_PERIPHERAL_NEUROPATHY",46,-0.892967016130726,-2.07505995569474,0.00149738270192335,0.972355849601347,0.972355849601347,2,"tags=4%, list=0%, signal=4%","SAMHD1/MANBA"
"GOMF_NUCLEOBASE_CONTAINING_COMPOUND_KINASE_ACTIVITY","GOMF_NUCLEOBASE_CONTAINING_COMPOUND_KINASE_ACTIVITY",31,-0.892007139453797,-2.07438522230086,0.0250310062661598,0.972355849601347,0.972355849601347,10,"tags=13%, list=0%, signal=13%","PNKP/NT5C2/MAGI3/CLP1"
"HP_ABNORMAL_MORPHOLOGY_OF_THE_CONJUNCTIVAL_VASCULATURE","HP_ABNORMAL_MORPHOLOGY_OF_THE_CONJUNCTIVAL_VASCULATURE",25,-0.907830970609621,-2.05821956512586,0.0191767472238529,0.972355849601347,0.972355849601347,2,"tags=8%, list=0%, signal=8%","GDF2/MANBA"
"GOBP_MRNA_3_END_PROCESSING","GOBP_MRNA_3_END_PROCESSING",34,-0.884036779612768,-2.04406796157146,0.0197236873391753,0.972355849601347,0.972355849601347,137,"tags=6%, list=1%, signal=6%","LSM10/CLP1"
"HP_SECOND_TRIMESTER_ONSET","HP_SECOND_TRIMESTER_ONSET",41,-0.887478428621127,-2.04205922491506,0.00720743058905153,0.972355849601347,0.972355849601347,55,"tags=10%, list=0%, signal=10%","KIF14/TBXT/ACTA1/ADGRG6"
"HP_REDUCED_CEREBRAL_WHITE_MATTER_VOLUME","HP_REDUCED_CEREBRAL_WHITE_MATTER_VOLUME",27,-0.888914649600205,-2.04137705892002,0.0205601234833985,0.972355849601347,0.972355849601347,184,"tags=7%, list=1%, signal=7%","NDUFA2/CLP1"
"GOBP_RIG_I_SIGNALING_PATHWAY","GOBP_RIG_I_SIGNALING_PATHWAY",21,-0.92042123517946,-2.03934609450075,0.0191767472238529,0.972355849601347,0.972355849601347,18,"tags=10%, list=0%, signal=10%","ANKRD17/RNF135"
"HP_RESPIRATORY_ARREST","HP_RESPIRATORY_ARREST",24,-0.900533114828268,-2.0298570765404,0.0403081790735252,0.972355849601347,0.972355849601347,14,"tags=17%, list=0%, signal=17%","COL13A1/VAMP1/CPT2/ADGRG6"
"HP_ABNORMAL_TEMPER_TANTRUMS","HP_ABNORMAL_TEMPER_TANTRUMS",28,-0.870351358425954,-2.02647992421998,0.0166714717974496,0.972355849601347,0.972355849601347,203,"tags=21%, list=2%, signal=21%","FOXP2/CTCF/KAT5/DPF2/TACO1/TAOK1"
"HP_SPEECH_APRAXIA","HP_SPEECH_APRAXIA",29,-0.86748412284443,-2.01980759228963,0.0210204531276081,0.972355849601347,0.972355849601347,623,"tags=14%, list=5%, signal=13%","GRIN2A/GALK1/SLC25A15/RNF135"
"GOMF_EXTRACELLULAR_MATRIX_BINDING","GOMF_EXTRACELLULAR_MATRIX_BINDING",53,-0.87909704033115,-2.01701912400994,0.00272479003705364,0.972355849601347,0.972355849601347,49,"tags=8%, list=0%, signal=8%","PXDN/BCAM/RPSA/ADGRG6"
"GOBP_REGULATION_OF_PROTEIN_ACETYLATION","GOBP_REGULATION_OF_PROTEIN_ACETYLATION",16,-0.943282379923761,-2.01584748189605,0.00868660923668876,0.972355849601347,0.972355849601347,15,"tags=12%, list=0%, signal=13%","KAT5/TAOK1"
"GOBP_GLYCOPROTEIN_CATABOLIC_PROCESS","GOBP_GLYCOPROTEIN_CATABOLIC_PROCESS",25,-0.888071387700191,-2.01342096113507,0.0273743053131683,0.972355849601347,0.972355849601347,2,"tags=8%, list=0%, signal=8%","FBXO17/MANBA"
"HP_ABNORMAL_ENZYME_ACTIVITY_IN_CULTURED_FIBROBLASTS","HP_ABNORMAL_ENZYME_ACTIVITY_IN_CULTURED_FIBROBLASTS",19,-0.932993907477183,-2.00773615788545,0.0189245177743208,0.972355849601347,0.972355849601347,2,"tags=11%, list=0%, signal=11%","PEX7/MANBA"
"GOBP_NEGATIVE_REGULATION_OF_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY","GOBP_NEGATIVE_REGULATION_OF_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY",14,-0.96117440061337,-2.007622336208,0.00236914035670893,0.972355849601347,0.972355849601347,8,"tags=14%, list=0%, signal=14%","SARM1/SMPDL3B"
"HP_TOXEMIA_OF_PREGNANCY","HP_TOXEMIA_OF_PREGNANCY",20,-0.910790863370312,-2.00307431659337,0.0185912092420921,0.972355849601347,0.972355849601347,14,"tags=10%, list=0%, signal=10%","ATP8B1/ADGRG6"
"GOCC_REPLISOME","GOCC_REPLISOME",17,-0.926290103172962,-2.00097066474244,0.00980555285285853,0.972355849601347,0.972355849601347,9,"tags=12%, list=0%, signal=12%","HELB/POLA2"
"GOBP_HEART_TRABECULA_MORPHOGENESIS","GOBP_HEART_TRABECULA_MORPHOGENESIS",29,-0.858374045001484,-1.99859613272631,0.0230499833607825,0.972355849601347,0.972355849601347,329,"tags=10%, list=3%, signal=10%","TEK/TGFB2/ADGRG6"
