"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"RAF_UP.V1_DN","RAF_UP.V1_DN",154,-0.774112998009536,-1.83222490963353,0.0033482511454772,0.318492290671877,0.31385578476064,377,"tags=6%, list=3%, signal=6%","PDK3/SELENBP1/JAK2/PCGF3/LRIG1/TGFB2/BTG3/UGDH/EPB41L2"
"KRAS.AMP.LUNG_UP.V1_DN","KRAS.AMP.LUNG_UP.V1_DN",97,0.863626367862262,1.7288909491445,0.00338821585821146,0.318492290671877,0.31385578476064,27,"tags=3%, list=0%, signal=3%","TRMT2A/GPRC5C/CACNG1"
"CAHOY_ASTROGLIAL","CAHOY_ASTROGLIAL",84,-0.783165913629501,-1.8182323032423,0.0136125154554685,0.56126059260664,0.553089945681795,465,"tags=8%, list=4%, signal=8%","PKP2/OMD/PCDH8/NOX4/OGN/FBLN5/ADGRG6"
"LTE2_UP.V1_DN","LTE2_UP.V1_DN",140,-0.740026275021651,-1.74172804950685,0.0143816836957579,0.56126059260664,0.553089945681795,26,"tags=5%, list=0%, signal=5%","CNN2/DTNA/POLI/JAK2/SAMHD1/BTG3/EPB41L2"
"ESC_V6.5_UP_LATE.V1_DN","ESC_V6.5_UP_LATE.V1_DN",140,-0.715041265009846,-1.68292325537505,0.0271535843833422,0.56126059260664,0.553089945681795,666,"tags=11%, list=5%, signal=10%","AP4M1/ECH1/ADA/RASIP1/EEF1AKMT1/BIRC6/TRIB3/EPOP/GEMIN2/CTH/PLA2G1B/GLI2/PDSS1/SMPDL3B/MANBA"
"LEF1_UP.V1_DN","LEF1_UP.V1_DN",145,-0.700199177060727,-1.64574589796706,0.0271852140857932,0.56126059260664,0.553089945681795,675,"tags=10%, list=5%, signal=9%","PLSCR4/TMEM53/AGR2/LGR5/TRAF3IP2/IL20RA/NSUN6/KRT20/SELENBP1/CAT/GALNT12/CPOX/EHMT2/MANBA"
"NRL_DN.V1_UP","NRL_DN.V1_UP",106,0.82137792004627,1.63451117615045,0.0162736539483329,0.56126059260664,0.553089945681795,53,"tags=2%, list=0%, signal=2%","PPARA/DIRAS1"
"PTEN_DN.V2_DN","PTEN_DN.V2_DN",94,0.816004461488772,1.62987326348712,0.0267155551128737,0.56126059260664,0.553089945681795,33,"tags=2%, list=0%, signal=2%","GPRC5C/CRIP2"
"CRX_NRL_DN.V1_UP","CRX_NRL_DN.V1_UP",110,0.80099954495994,1.60416842868795,0.0298542868407787,0.56126059260664,0.553089945681795,2,"tags=1%, list=0%, signal=1%","PPARA"
"IL2_UP.V1_UP","IL2_UP.V1_UP",138,0.780261623960352,1.58808940878466,0.0180830228977157,0.56126059260664,0.553089945681795,144,"tags=2%, list=1%, signal=2%","IL5/BTC/KCNG1"
"KRAS.50_UP.V1_DN","KRAS.50_UP.V1_DN",24,0.914397571311134,1.93635223970575,0.0416771904609522,0.686131386861314,0.676142912024587,20,"tags=4%, list=0%, signal=4%","THRB"
"KRAS.50_UP.V1_UP","KRAS.50_UP.V1_UP",36,0.883220329996708,1.85835272084112,0.0523138832997988,0.686131386861314,0.676142912024587,21,"tags=3%, list=0%, signal=3%","MMP11"
"KRAS.300_UP.V1_UP","KRAS.300_UP.V1_UP",104,0.777524220825393,1.55332781902316,0.0547445255474453,0.686131386861314,0.676142912024587,410,"tags=6%, list=3%, signal=6%","MMP11/CSF3/LRCH1/RETN/FNDC8/RRAGD"
