"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_KRAS_SIGNALING_DN","HALLMARK_KRAS_SIGNALING_DN",151,0.84929581063281,1.72025299444029,0.00261201683867624,0.130600841933812,0.129226096229246,189,"tags=5%, list=1%, signal=5%","IL5/GPRC5C/THRB/CACNG1/CLDN8/CD80/KCNQ2/EDN1"
"HALLMARK_TGF_BETA_SIGNALING","HALLMARK_TGF_BETA_SIGNALING",40,0.908890511541352,1.76135242360757,0.0104511565348456,0.26127891337114,0.258528609019865,61,"tags=5%, list=0%, signal=5%","SLC20A1/APC"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",65,0.801584547337273,1.58051417977957,0.069811320754717,0.627572016460905,0.620965995235001,12,"tags=2%, list=0%, signal=2%","HELZ2"
"HALLMARK_DNA_REPAIR","HALLMARK_DNA_REPAIR",110,-0.68232772256213,-1.57953972226163,0.0848623853211009,0.627572016460905,0.620965995235001,49,"tags=4%, list=0%, signal=4%","ADA/BCAM/CLP1/POLA2"
"HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP",155,0.753280938294459,1.53112066544561,0.0427350427350427,0.627572016460905,0.620965995235001,339,"tags=5%, list=3%, signal=5%","BTC/MMP11/EPHB2/EPB41L3/USP12/ALDH1A3/IGFBP3/RETN"
"HALLMARK_BILE_ACID_METABOLISM","HALLMARK_BILE_ACID_METABOLISM",83,0.769447111924084,1.50814044431925,0.0899280575539568,0.627572016460905,0.620965995235001,31,"tags=2%, list=0%, signal=2%","ISOC1/PEX1"
"HALLMARK_COAGULATION","HALLMARK_COAGULATION",111,0.750584091939392,1.50469343993801,0.0828924162257496,0.627572016460905,0.620965995235001,297,"tags=7%, list=2%, signal=7%","MMP11/CRIP2/DCT/HNF4A/MMP14/SIRT2/PLEK/C2"
"HALLMARK_PEROXISOME","HALLMARK_PEROXISOME",85,0.745848475139416,1.47014540610263,0.111111111111111,0.627572016460905,0.620965995235001,30,"tags=2%, list=0%, signal=2%","CACNA1B/ISOC1"
"HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE",158,0.686504871600191,1.39926489155961,0.125850340136054,0.627572016460905,0.620965995235001,255,"tags=6%, list=2%, signal=6%","SLC11A2/CSF3/PTAFR/CXCL8/NAMPT/MMP14/OSMR/EDN1/SGMS2"
"HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_JUNCTION",164,-0.585880457785978,-1.39478773258632,0.150617283950617,0.627572016460905,0.620965995235001,972,"tags=11%, list=7%, signal=10%","CLDN14/ADAM9/SHROOM2/CRAT/RSU1/BAIAP2/VCAM1/NECTIN2/WASL/EGFR/ICAM4/SLC30A3/CNN2/CD276/FBN1/CADM3/ACTA1/EPB41L2"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION",139,0.689289884282982,1.39140379617062,0.129533678756477,0.627572016460905,0.620965995235001,389,"tags=5%, list=3%, signal=5%","CYB5R3/COX8A/GRPEL1/POLR2F/SDHA/DECR1/TOMM70"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",146,0.676807102538112,1.36986245868899,0.144329896907216,0.627572016460905,0.620965995235001,296,"tags=3%, list=2%, signal=3%","HELZ2/ISOC1/NAMPT/ST8SIA4/LYSMD2"
"HALLMARK_HEME_METABOLISM","HALLMARK_HEME_METABOLISM",162,0.654444722574643,1.33403809117986,0.16750418760469,0.644246875402654,0.637465329345784,283,"tags=4%, list=2%, signal=4%","SLC11A2/GCLC/SLC22A4/BMP2K/MAP2K3/UROS/MBOAT2"
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",39,0.733171396549633,1.43183927219233,0.245472837022133,0.721768012263669,0.714170454239841,48,"tags=3%, list=0%, signal=3%","GCLC"
"HALLMARK_SPERMATOGENESIS","HALLMARK_SPERMATOGENESIS",108,0.653074994973594,1.30732293691071,0.226148409893993,0.721768012263669,0.714170454239841,55,"tags=2%, list=0%, signal=2%","PCSK4/HSPA4L"
"HALLMARK_APOPTOSIS","HALLMARK_APOPTOSIS",127,0.631501441672065,1.27335688555442,0.230902777777778,0.721768012263669,0.714170454239841,113,"tags=2%, list=1%, signal=2%","SLC20A1/CD44/APP"
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",171,-0.522202122197614,-1.24158167586319,0.260340632603406,0.721768012263669,0.714170454239841,545,"tags=4%, list=4%, signal=4%","CUL3/HIRA/G3BP1/HIF1A/KPNB1/TGFB1/POLA2"
"HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_ESTROGEN_RESPONSE_LATE",157,-0.513754656379396,-1.2175136971338,0.274271844660194,0.721768012263669,0.714170454239841,581,"tags=7%, list=4%, signal=7%","DHCR7/SORD/WFS1/IDH2/JAK2/CISH/RPS6KA2/LTF/TSPAN13/BTG3/UGDH"
