"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"MEISSNER_BRAIN_HCP_WITH_H3_UNMETHYLATED","MEISSNER_BRAIN_HCP_WITH_H3_UNMETHYLATED",25,-0.96896563059212,-2.08827227359519,1.50887936645907e-05,0.0852064178239436,0.0852064178239436,5,"tags=12%, list=0%, signal=12%","SYCP1/NAA11/DDX3X"
"PETRETTO_CARDIAC_HYPERTROPHY","PETRETTO_CARDIAC_HYPERTROPHY",30,-0.937974318713603,-2.0437975692301,0.000918526882187247,0.897083642360138,0.897083642360138,15,"tags=10%, list=0%, signal=10%","ANXA4/LTBP3/DDX3X"
"GENTILE_UV_RESPONSE_CLUSTER_D4","GENTILE_UV_RESPONSE_CLUSTER_D4",43,-0.906000258941363,-2.02285291703845,0.00282563903366092,0.897083642360138,0.897083642360138,118,"tags=12%, list=1%, signal=12%","RAPGEF2/RAD21/ATP2A2/USP10/DDX3X"
"FALVELLA_SMOKERS_WITH_LUNG_CANCER","FALVELLA_SMOKERS_WITH_LUNG_CANCER",63,-0.893228682303291,-2.02210827223125,0.000811417187862723,0.897083642360138,0.897083642360138,312,"tags=8%, list=2%, signal=8%","RCAN1/TAOK1/FUS/USP10/DDX3X"
"FINETTI_BREAST_CANCERS_KINOME_BLUE","FINETTI_BREAST_CANCERS_KINOME_BLUE",18,-0.958224089176639,-2.01995643536355,0.00473305240889072,0.897083642360138,0.897083642360138,102,"tags=11%, list=1%, signal=11%","RET/TBCK"
"REACTOME_INTERCONVERSION_OF_NUCLEOTIDE_DI_AND_TRIPHOSPHATES","REACTOME_INTERCONVERSION_OF_NUCLEOTIDE_DI_AND_TRIPHOSPHATES",21,-0.947987579201431,-2.01711659160311,0.00426530722309174,0.897083642360138,0.897083642360138,301,"tags=14%, list=2%, signal=14%","CTPS1/GSR/GUK1"
"APRELIKOVA_BRCA1_TARGETS","APRELIKOVA_BRCA1_TARGETS",41,-0.897383095691528,-1.99818504371409,0.0157409216258377,0.897083642360138,0.897083642360138,274,"tags=12%, list=2%, signal=12%","SPTAN1/DLG1/APP/NEFL/DDX3X"
"HEDENFALK_BREAST_CANCER_BRACX_DN","HEDENFALK_BREAST_CANCER_BRACX_DN",17,-0.940014177317763,-1.99760096564401,0.0132041776135178,0.897083642360138,0.897083642360138,9,"tags=18%, list=0%, signal=18%","CASD1/METAP2/FTCD"
"BIOCARTA_PDZS_PATHWAY","BIOCARTA_PDZS_PATHWAY",15,-0.951606304760931,-1.99343200189517,0.00748487080348306,0.897083642360138,0.897083642360138,274,"tags=20%, list=2%, signal=20%","SPTAN1/DLG1/GUK1"
"KORKOLA_TERATOMA_UP","KORKOLA_TERATOMA_UP",12,-0.974745593105736,-1.98317336094159,0.00233695495878688,0.897083642360138,0.897083642360138,6,"tags=17%, list=0%, signal=17%","MGP/WBP11"
"BROWNE_HCMV_INFECTION_2HR_UP","BROWNE_HCMV_INFECTION_2HR_UP",28,0.942247033134767,1.98230851206133,0.00162878678571106,0.897083642360138,0.897083642360138,16,"tags=7%, list=0%, signal=7%","RARRES2/CXCL8"
"WP_DISORDERS_OF_FOLATE_METABOLISM_AND_TRANSPORT","WP_DISORDERS_OF_FOLATE_METABOLISM_AND_TRANSPORT",13,-0.961088108032178,-1.98047505195201,0.00891331370937709,0.897083642360138,0.897083642360138,9,"tags=15%, list=0%, signal=15%","MTHFD1/FTCD"
"BANG_VERTEPORFIN_ENDOMETRIAL_CANCER_CELLS_UP","BANG_VERTEPORFIN_ENDOMETRIAL_CANCER_CELLS_UP",19,-0.92590731811268,-1.97769674937649,0.0158717332979409,0.897083642360138,0.897083642360138,43,"tags=16%, list=0%, signal=16%","EGR1/APP/ANKRD1"
"KAAB_FAILED_HEART_VENTRICLE_DN","KAAB_FAILED_HEART_VENTRICLE_DN",30,-0.906161869311677,-1.97447988593992,0.0109423937132628,0.897083642360138,0.897083642360138,160,"tags=10%, list=1%, signal=10%","SLC31A2/ATP2A2/NQO2"
"TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_GRANULOCYTE_DN","TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_GRANULOCYTE_DN",14,-0.949865218921586,-1.97368357896279,0.0093045392034424,0.897083642360138,0.897083642360138,20,"tags=14%, list=0%, signal=14%","CAMK1/CPA3"
"WP_ONECARBON_METABOLISM","WP_ONECARBON_METABOLISM",24,-0.920697049948501,-1.97349695549016,0.00965698387023946,0.897083642360138,0.897083642360138,9,"tags=8%, list=0%, signal=8%","DNMT1/FTCD"
"AZARE_STAT3_TARGETS","AZARE_STAT3_TARGETS",21,-0.927174376225077,-1.97283050814685,0.015829353769803,0.897083642360138,0.897083642360138,2,"tags=10%, list=0%, signal=10%","ITGB6/DDX3X"
"DAZARD_UV_RESPONSE_CLUSTER_G1","DAZARD_UV_RESPONSE_CLUSTER_G1",34,-0.909473578285634,-1.97244335005825,0.00623119743651602,0.897083642360138,0.897083642360138,4,"tags=9%, list=0%, signal=9%","HTR4/HMGCS2/GUK1"
"SIMBULAN_PARP1_TARGETS_UP","SIMBULAN_PARP1_TARGETS_UP",22,-0.921305328804803,-1.96336041150324,0.0223567507785034,0.897083642360138,0.897083642360138,194,"tags=14%, list=1%, signal=13%","FST/APP/CCNG1"
"KEGG_ONE_CARBON_POOL_BY_FOLATE","KEGG_ONE_CARBON_POOL_BY_FOLATE",12,-0.964120922879978,-1.96155688674613,0.00848955823651516,0.897083642360138,0.897083642360138,9,"tags=17%, list=0%, signal=17%","MTHFD1/FTCD"
"WESTON_VEGFA_TARGETS_12HR","WESTON_VEGFA_TARGETS_12HR",15,-0.936091720887716,-1.96093193560282,0.0175278743961422,0.897083642360138,0.897083642360138,10,"tags=13%, list=0%, signal=13%","MEST/ANKRD1"
"REACTOME_VITAMIN_B5_PANTOTHENATE_METABOLISM","REACTOME_VITAMIN_B5_PANTOTHENATE_METABOLISM",14,0.969875122186465,1.9587807830692,0.00245553888140474,0.897083642360138,0.897083642360138,5,"tags=7%, list=0%, signal=7%","ENPP3"
"BRACHAT_RESPONSE_TO_CISPLATIN","BRACHAT_RESPONSE_TO_CISPLATIN",19,-0.916519832054853,-1.95764549770345,0.0194600430756152,0.897083642360138,0.897083642360138,76,"tags=16%, list=1%, signal=16%","ABLIM1/TXNIP/CCNG1"
"YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_7","YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_7",53,-0.881730283013979,-1.95761334759563,0.0048986591693248,0.897083642360138,0.897083642360138,241,"tags=8%, list=2%, signal=7%","AMOTL2/CHERP/GNB1/DDX3X"
"KEGG_RIBOFLAVIN_METABOLISM","KEGG_RIBOFLAVIN_METABOLISM",14,0.969230625805284,1.95747914423206,0.00282081787976919,0.897083642360138,0.897083642360138,5,"tags=7%, list=0%, signal=7%","ENPP3"
"LANDEMAINE_LUNG_METASTASIS","LANDEMAINE_LUNG_METASTASIS",17,-0.917498446796251,-1.94975334151531,0.024613689674424,0.897083642360138,0.897083642360138,161,"tags=12%, list=1%, signal=12%","PLEKHG4/CHODL"
"RIZ_ERYTHROID_DIFFERENTIATION_6HR","RIZ_ERYTHROID_DIFFERENTIATION_6HR",30,-0.894571111922107,-1.94922422455803,0.0177904642747361,0.897083642360138,0.897083642360138,30,"tags=17%, list=0%, signal=17%","EBF1/MYF5/HOXB4/HLTF/ANKRD1"
"TOMLINS_METASTASIS_UP","TOMLINS_METASTASIS_UP",12,0.979210613649312,1.9488472971201,0.00148425274284144,0.897083642360138,0.897083642360138,3,"tags=8%, list=0%, signal=8%","EVC"
"GOLUB_ALL_VS_AML_DN","GOLUB_ALL_VS_AML_DN",16,0.955440970025641,1.94651663551903,0.00885764186787734,0.897083642360138,0.897083642360138,36,"tags=12%, list=0%, signal=12%","CXCL8/LYN"
"LIN_NPAS4_TARGETS_DN","LIN_NPAS4_TARGETS_DN",53,-0.876539740671643,-1.94608933036909,0.00635781258461485,0.897083642360138,0.897083642360138,135,"tags=6%, list=1%, signal=6%","SEPTIN8/GADD45G/GUK1"
