gene,Hugo_Symbol,baseMean,log2FoldChange,lfcSE,pvalue,padj,,,,
ENSCAFG00000017016,EIF2S3,168.9866462,-6.94145275,1.647323135,3.74E-07,0.00560425,,,,CCL2:TGF-b
ENSCAFG00000002086,SND1,3251.135252,-5.460948287,1.546181103,2.08E-06,0.010414302,,,,
ENSCAFG00000011466,CLDND1,50.57301361,-5.193688566,1.386433069,1.68E-06,0.010414302,,,,
ENSCAFG00000024609,SYNDIG1L,80.4590444,-5.199758889,1.646626242,3.62E-06,0.013583307,,,,
ENSCAFG00000005150,MEIS3,112.2105165,-2.058624704,0.908097575,1.09E-05,0.02736244,,,,
ENSCAFG00000020306,PKN1,137.6136389,-4.385620408,1.830509371,1.09E-05,0.02736244,,,,
ENSCAFG00000005188,AP2S1,436.81144,0.482628898,0.407431402,1.46E-05,0.031261908,,,,
ENSCAFG00000000874,TRABD,6292.791831,-4.740384714,3.415322671,2.39E-05,0.04206511,,,,
ENSCAFG00000004528,FCGRT,335.1053155,0.22223832,0.188980105,3.92E-05,0.04206511,,,,
ENSCAFG00000004874,NA,34.49972111,-1.320697466,0.932652611,3.22E-05,0.04206511,,,,
ENSCAFG00000010225,FCHO2,1026.383365,0.503682739,0.466399291,2.53E-05,0.04206511,,,,
ENSCAFG00000010321,NA,251.3808297,-2.745581391,1.754022534,4.01E-05,0.04206511,,,,
ENSCAFG00000016402,TMEM50A,47.76970087,-4.222281771,2.670692593,2.92E-05,0.04206511,,,,
ENSCAFG00000016481,TCHHL1,13.69260742,-2.59410653,1.713395548,4.35E-05,0.04206511,,,,
ENSCAFG00000017741,TMEM42,8.056424829,-1.982851415,1.261502992,3.42E-05,0.04206511,,,,
ENSCAFG00000029524,GSKIP,23.96368163,0.560546781,0.568749855,4.49E-05,0.04206511,,,,
ENSCAFG00000005717,CCDC122,712.4585564,3.155735484,2.264424875,5.16E-05,0.045530444,,,,
ENSCAFG00000004439,C15H1orf216,643.5009191,-0.448499367,0.54415251,8.11E-05,0.067564583,,,,
ENSCAFG00000005287,ENKUR,3828.349396,-1.098359735,1.152946955,0.000106654,0.072737837,,,,
ENSCAFG00000015783,FOXR1,1549.792518,-0.321544543,0.422165475,0.000100553,0.072737837,,,,
ENSCAFG00000028574,FLRT2,904.3128783,1.816556275,1.664307663,9.64E-05,0.072737837,,,,
ENSCAFG00000049764,NA,20.09727164,-2.529707257,2.43917773,0.000106016,0.072737837,,,,
ENSCAFG00000008270,KCNG3,338.1621501,-1.338212595,1.467856408,0.000141949,0.088741904,,,,
ENSCAFG00000012470,ZP4,26.53019705,-2.397089064,2.680828609,0.000137629,0.088741904,,,,
ENSCAFG00000004277,STK40,28.26014523,-1.819536189,2.37068515,0.000218553,0.125365921,,,,
ENSCAFG00000007086,CARD14,549.0849171,-1.760530709,2.209410912,0.000209585,0.125365921,,,,
ENSCAFG00000007839,DELE1,723.8495058,-0.15638831,0.150689424,0.000250665,0.125365921,,,,
ENSCAFG00000011722,TFG,1800.441044,1.823060013,2.673820813,0.000238913,0.125365921,,,,
ENSCAFG00000014403,CFAP94,59.8060895,-1.356992377,1.789130268,0.00024259,0.125365921,,,,
ENSCAFG00000018214,PPP1R35,317.0564225,-1.508573557,2.008567512,0.000247849,0.125365921,,,,
ENSCAFG00000014629,OR6P1,123.2986499,-0.770291692,1.127514843,0.000259541,0.125618079,,,,
ENSCAFG00000010909,BOLA3,2377.239975,0.151494566,0.124260321,0.000291517,0.136685171,,,,
ENSCAFG00000016918,SRP54,111.6499968,-1.503778637,2.610207173,0.000322087,0.146442285,,,,
ENSCAFG00000017319,TPR,23.54224551,-1.335056133,2.055882982,0.00034419,0.151889043,,,,
ENSCAFG00000001627,FBP1,872.9185049,-0.178442785,0.295197269,0.00036624,0.156370453,,,,
ENSCAFG00000010220,LARP4,14.67972788,-1.330923122,2.164537906,0.000375189,0.156370453,,,,
ENSCAFG00000017095,NA,134.7716504,-0.409394324,0.771410271,0.000438368,0.177763977,,,,
ENSCAFG00000017113,POLA1,68.10411245,-0.574920732,1.039538381,0.000452901,0.178824498,,,,
