gene,Hugo_Symbol,baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSCAFG00000014752,OTUD7B,135.8164556,5.932844742,1.753565524,1.57E-06,0.00599296
ENSCAFG00000013175,KCNH7,239.7394866,5.643514969,1.433574515,8.77E-07,0.004469945
ENSCAFG00000005717,ZNF296,771.9294433,4.008968157,1.467784539,7.27E-06,0.021853945
ENSCAFG00000005766,RAB30,102.669029,3.409010142,2.703623183,NA,NA
ENSCAFG00000011802,PTPN5,99.88004834,3.257364743,2.537206244,NA,NA
ENSCAFG00000005175,NA,249.120387,3.169942882,1.313409053,1.20E-05,0.026094425
ENSCAFG00000000296,MTFR2,366.9416722,3.099946262,1.687702537,2.56E-05,0.034094214
ENSCAFG00000006050,NA,64.8724956,2.540500482,1.822628754,5.30E-05,0.057864508
ENSCAFG00000029090,CCDC88C,46.24113452,2.235057576,2.385901626,0.000122433,0.086328259
ENSCAFG00000007225,DPY30,56.21516385,2.098809815,2.179984243,0.000124254,0.086328259
ENSCAFG00000018730,FUT11,166.3064435,2.031390029,2.108474855,NA,NA
ENSCAFG00000016515,SRMS,493.3677346,1.891559676,1.760125407,0.000101112,0.08134218
ENSCAFG00000019176,NA,69.23003785,1.838497287,2.212950649,0.000172618,0.105538593
ENSCAFG00000013078,IRX2,180.7538856,1.80936044,2.362299725,NA,NA
ENSCAFG00000029180,YIPF2,37.93496662,1.481690588,2.202020114,0.0002698,0.144476045
ENSCAFG00000009462,C26H12orf65,43.45238951,1.33347884,2.292231683,0.000326088,0.158418943
ENSCAFG00000017195,FETUB,97.35664503,1.320153673,1.889928646,NA,NA
ENSCAFG00000023437,NA,211.7795846,1.310723452,1.888907251,0.000281245,0.144476045
ENSCAFG00000012119,DBNDD2,3939.272495,1.266526139,1.793226311,0.000273649,0.144476045
ENSCAFG00000008617,IFTAP,417.7094566,0.913399972,1.492638983,0.000382727,0.17205826
ENSCAFG00000014847,SALL4,138.9735438,0.892983435,1.718375815,NA,NA
ENSCAFG00000048083,NA,86.67778282,0.725615303,1.444219573,NA,NA
ENSCAFG00000011587,VIRMA,1074.097923,0.654280531,1.327770814,0.00063695,0.243394697
ENSCAFG00000004878,BCAP29,272.4575304,0.590544316,1.68012784,0.00101784,0.343906295
ENSCAFG00000028574,SPNS1,683.6026792,0.585376445,1.135109346,0.000536075,0.215628973
ENSCAFG00000024908,PROX2,54.4141766,0.502926938,1.387510771,NA,NA
ENSCAFG00000024646,ALOX15B,121.2645236,0.472487041,1.262965337,NA,NA
ENSCAFG00000020343,ZBTB4,64.52790181,0.461754259,1.153584628,0.001039906,0.343906295
ENSCAFG00000005801,TMEM214,94.30374388,0.408327685,1.266846685,NA,NA
ENSCAFG00000011525,ENDOU,133.2687373,0.398301637,1.183379996,NA,NA
ENSCAFG00000003293,ERP44,308.711079,0.392870403,1.188050963,0.001629207,0.393527032
ENSCAFG00000008527,GZMA,213.0115983,0.389521627,1.266750831,NA,NA
ENSCAFG00000045229,NA,79.34228881,0.387270124,1.232695975,0.001776471,0.393527032
