gene,Hugo_Symbol,baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSCAFG00000024609,KAT8,562.9376498,7.33352295,1.498451561,5.11E-08,0.000191225
ENSCAFG00000012226,FGF17,357.6486688,6.942533883,1.80653911,9.63E-07,0.002057817
ENSCAFG00000019795,EVC,111.297198,6.622457582,1.22864839,9.00E-09,0.000134619
ENSCAFG00000005852,HSPA14,430.0850436,6.251316152,1.512128146,NA,NA
ENSCAFG00000000433,ENPP3,401.3568838,6.166825154,1.188264965,3.25E-08,0.000172705
ENSCAFG00000017687,TPRG1,102.6004725,5.654126973,1.079683971,3.46E-08,0.000172705
ENSCAFG00000020027,KRT9,434.9006516,5.348875752,1.375550632,2.27E-06,0.003398934
ENSCAFG00000010192,CTNNA2,218.367351,5.031361679,1.239561673,1.88E-06,0.00312352
ENSCAFG00000032227,HPRT1,178.6394775,4.982833449,1.547334795,7.01E-06,0.007491737
ENSCAFG00000012193,WFDC10B,171.0235985,4.974298938,2.066075749,1.85E-05,0.017156855
ENSCAFG00000025322,MED12,526.1394411,4.874990425,2.798021507,3.51E-05,0.022818979
ENSCAFG00000001002,RIBC2,423.8874282,4.851182882,2.85863159,NA,NA
ENSCAFG00000015727,ZDHHC18,285.3762735,4.728287932,1.043359802,7.14E-07,0.001780105
ENSCAFG00000016865,SCAP,273.5077721,4.475025258,2.834231938,NA,NA
ENSCAFG00000005691,RARRES2,108.3998741,4.212826664,1.091874728,3.32E-06,0.004507972
ENSCAFG00000003904,CXCL8,47.02696778,3.967140718,1.603928339,2.37E-05,0.018623459
ENSCAFG00000017937,C26H22orf15,30.52144545,3.811670442,1.392992422,1.73E-05,0.017156855
ENSCAFG00000029897,USP32,78.81911274,3.70959858,0.835322037,1.11E-06,0.002069485
ENSCAFG00000009569,DPY19L3,1001.542744,3.437188194,2.600771279,NA,NA
ENSCAFG00000023592,NANOS3,538.0416225,3.18769565,2.904248876,NA,NA
ENSCAFG00000017482,NA,62.51328494,3.151912162,2.599132523,0.000151062,0.061065602
ENSCAFG00000008869,RFLNA,82.7368307,3.120731087,0.833551578,4.18E-06,0.004804781
ENSCAFG00000004639,SETD7,21.29227323,2.851572323,1.211644304,2.89E-05,0.021096363
ENSCAFG00000018272,TMEM101,71.60456841,2.697494623,2.738000827,0.000238364,0.075855645
ENSCAFG00000031250,BTBD6,1908.934923,2.581208513,2.912161355,NA,NA
ENSCAFG00000034192,UBN1,22.06655839,2.551811939,2.342266271,0.000229408,0.075855645
ENSCAFG00000020082,RPL9,260.592202,2.526125,1.871276962,NA,NA
ENSCAFG00000048623,NA,21.11686474,2.42717089,2.334333335,0.000259362,0.080818268
ENSCAFG00000010936,MRPL1,1043.623496,2.42477436,2.216233073,0.000236532,0.075855645
ENSCAFG00000015892,KIAA2012,889.9598557,2.302792752,1.587770658,0.000117486,0.054644997
ENSCAFG00000017166,GABARAPL1,296.3608121,2.289752109,1.968319301,0.000211312,0.073502317
ENSCAFG00000043280,TRAPPC2L,110.3449019,2.16476373,2.117333693,0.000287871,0.08278778
ENSCAFG00000018519,KDM6A,53.47596655,2.145406624,2.269577932,NA,NA
ENSCAFG00000018219,KIAA0232,2981.342717,2.114696297,2.943149055,NA,NA
ENSCAFG00000045952,NA,59.38801768,2.037384974,1.090520761,4.97E-05,0.029732702
ENSCAFG00000009675,GLYAT,102.2574827,1.963771552,2.217507543,0.000400475,0.103274169
ENSCAFG00000023919,CLTB,218.4440013,1.935138124,2.656697033,0.000475226,0.109285998
ENSCAFG00000004856,MPP7,58.18388056,1.868865608,2.373879119,0.000493601,0.109285998
ENSCAFG00000008917,LYN,213.0592265,1.813487009,2.443285461,0.000537251,0.111606457
