gene,Hugo_Symbol,log2FoldChange,lfcSE,pvalue,padj
ENSCAFG00000010134,NDN,-8.312531673,1.738165724,3.41E-08,0.000514639
ENSCAFG00000017108,MAPK3,-0.913096001,0.265360332,1.53E-06,0.011528631
ENSCAFG00000003939,HBP1,-1.320743477,0.711688441,9.02E-06,0.045333369
ENSCAFG00000018348,CCL7,4.269472138,2.46986767,1.34E-05,0.050582852
ENSCAFG00000001615,RPS6,0.701793678,0.471757175,3.92E-05,0.064751551
ENSCAFG00000004102,ZC3HAV1,0.879577063,0.828198273,4.73E-05,0.064751551
ENSCAFG00000008269,IL17RB,-2.738363738,2.388724893,4.37E-05,0.064751551
ENSCAFG00000013175,GAL3ST2,3.196583149,2.95637077,4.09E-05,0.064751551
ENSCAFG00000016421,NA,0.785579597,0.569534493,3.35E-05,0.064751551
ENSCAFG00000023556,OAS1,2.1451296,1.825615786,4.31E-05,0.064751551
ENSCAFG00000048083,NA,-2.776958174,2.034244842,2.97E-05,0.064751551
ENSCAFG00000001559,SCX,-1.608340008,1.551441176,5.57E-05,0.065570725
ENSCAFG00000011850,KLHL24,-0.814554204,0.846263216,6.09E-05,0.065570725
ENSCAFG00000016461,FBXL20,-0.595630663,0.385292337,5.96E-05,0.065570725
ENSCAFG00000008776,NA,0.57398367,0.493142721,8.08E-05,0.077902053
ENSCAFG00000010370,MS4A7,2.20765414,2.711801786,8.79E-05,0.077902053
ENSCAFG00000014923,FGF7,-2.213298984,2.619190136,8.41E-05,0.077902053
ENSCAFG00000010077,LSP1,-2.068628237,2.733217357,0.000101111,0.084381624
ENSCAFG00000018641,LGALS9,1.56353482,1.934496902,0.000106366,0.084381624
ENSCAFG00000010242,SLC4A10,-1.281911515,1.678627496,0.000120299,0.087305082
ENSCAFG00000013837,NA,0.490054975,0.535085435,0.000127427,0.087305082
ENSCAFG00000029911,ZNF768,-0.398679037,0.253890508,0.000122151,0.087305082
ENSCAFG00000008669,TMEM144,1.440486647,2.310308287,0.000176952,0.115965081
ENSCAFG00000000429,CCDC170,0.959513971,1.682115178,0.000243002,0.119013599
ENSCAFG00000002955,BCL11A,-1.010044387,1.807911612,0.000252666,0.119013599
ENSCAFG00000006472,NA,0.365628774,0.548134722,0.000238898,0.119013599
ENSCAFG00000008486,WBP1,-0.364268147,0.333041682,0.000251951,0.119013599
ENSCAFG00000011786,SPRTN,-0.392325743,0.3592318,0.000218666,0.119013599
ENSCAFG00000016252,NA,0.904199852,1.607961776,0.000251365,0.119013599
ENSCAFG00000019046,NA,1.378997377,2.514443291,0.000199845,0.119013599
ENSCAFG00000028486,BLOC1S5,-0.409011265,0.380844438,0.000200196,0.119013599
ENSCAFG00000042676,NA,1.186601256,2.267120741,0.000248328,0.119013599
ENSCAFG00000017866,ISLR,-1.02678087,1.899452314,0.000267416,0.122144324
ENSCAFG00000028574,NXT2,0.637511728,1.206691857,0.000279286,0.123814041
ENSCAFG00000005505,PGM2L1,-0.358701648,0.694341247,0.000307167,0.132283738
ENSCAFG00000031865,SCARF1,0.772331088,1.53039651,0.000325103,0.136118873
ENSCAFG00000006250,SPRY4,-0.797706315,1.609843803,0.000338335,0.137830553
ENSCAFG00000004790,ARMH1,-0.365241495,0.790404049,0.000377705,0.148517398
ENSCAFG00000029969,RGS4,-0.784705814,1.684260203,0.000384275,0.148517398
ENSCAFG00000014664,NA,0.26816571,0.463657677,0.000416201,0.156834768
ENSCAFG00000017048,FLVCR2,0.318742045,0.725679119,0.000435596,0.160140089
ENSCAFG00000001807,DDX58,0.332237919,0.773451549,0.000452741,0.161696112
ENSCAFG00000012724,EPS8,-0.268471708,0.40381654,0.000461284,0.161696112
