"ensembl_gene_id","Hugo_Symbol","1771","17CM98","Abrams","Bliley","CLL1390","CML-10C2","CMT12","CTAC","DH82","Gracie","HMPOS","Jones","MacKinley","Nike","Moresco","OSA8","Parks","STSA-1","Yamane","D-17","CML-6M","DEN-HSA","OS2-4"
"ENSCAFG00000000001","ENPP1",25,186,239,774,14,270,634,732,154,528,467,405,320,1796,602,185,142,365,315,315,200,1113,173
"ENSCAFG00000000002",NA,0,2,4,3,5,4,2,1,1,5,0,4,2,2,3,6,5,2,0,3,0,4,3
"ENSCAFG00000000005","PARD6G",63,110,91,379,112,221,276,701,16,303,318,450,85,187,309,48,248,322,496,34,99,198,428
"ENSCAFG00000000007","ADNP2",686,837,887,903,921,1394,693,897,707,552,771,809,988,808,807,704,669,724,796,860,811,1049,987
"ENSCAFG00000000008","TXNL4A",1490,1004,1666,1202,908,2135,1805,1547,1080,1185,2170,1505,807,943,1658,1849,1083,791,1563,1594,1388,1627,1071
"ENSCAFG00000000009","SLC66A2",749,1886,1085,1475,895,1677,1214,1557,2172,852,1636,1475,777,3433,1487,1176,1136,1683,1902,1073,1176,1886,1433
"ENSCAFG00000000010","CTDP1",2350,2957,2786,2453,2331,3574,3289,3303,2778,1906,3859,2343,2169,1926,1518,2532,2519,1933,3603,1962,1828,3111,1864
"ENSCAFG00000000011","NFATC1",1992,3482,619,856,4106,173,1781,202,5477,2184,2237,993,733,909,740,790,1316,709,2261,13,996,429,542
"ENSCAFG00000000012","ATP9B",938,879,1220,883,1947,1142,746,1112,709,683,1209,876,807,1847,553,1070,1290,1475,1193,820,819,1338,805
"ENSCAFG00000000013","SALL3",1,128,439,0,1,1,1,0,0,0,0,19,410,1,0,220,4,0,0,0,0,0,11
"ENSCAFG00000000014",NA,65,21,54,20,15,42,187,29,32,72,96,29,38,16,73,95,15,35,34,36,18,94,24
"ENSCAFG00000000015","GALR1",0,0,0,0,0,0,0,0,0,0,0,1,0,23,0,0,3,11,0,0,0,0,1
"ENSCAFG00000000016","MBP",21,16,179,210,90,148,49,223,164,155,58,363,198,13,0,56,637,1990,10,1,73,102,864
"ENSCAFG00000000017","ZNF236",270,540,706,590,1178,559,379,342,378,495,775,426,483,282,221,536,401,536,731,380,351,541,576
"ENSCAFG00000000019","ZNF516",1399,466,908,540,176,867,498,690,1728,1378,558,684,787,6187,471,472,443,783,781,323,457,1506,717
"ENSCAFG00000000020","TSHZ1",977,1597,856,2089,2175,4957,638,944,1034,1915,1051,1579,1616,969,838,685,1139,2635,1400,670,704,1040,887
"ENSCAFG00000000021","ZADH2",466,785,357,851,996,1203,556,637,356,1191,550,768,565,325,691,384,558,912,491,314,539,610,305
"ENSCAFG00000000022","ZNF407",520,566,783,840,790,639,498,1073,431,611,829,622,975,553,443,592,717,631,739,533,620,820,610
"ENSCAFG00000000024","CNDP1",2,15,5,7,15,2,16,3,1,3,5,4,4,7,2,0,1,2,0,2,3,4,10
"ENSCAFG00000000025","DIPK1C",4,2,0,0,29,0,0,0,0,0,269,0,0,3,0,4,2,0,0,0,0,0,1
"ENSCAFG00000000026","CYB5A",6620,5429,2142,2514,1178,2176,1593,14190,2282,2849,1794,2858,1731,4913,1260,1104,4463,1777,4035,1294,3101,1759,1604
"ENSCAFG00000000027",NA,117,18,22,48,54,29,67,23,14,37,20,30,32,104,42,31,16,32,25,64,53,34,18
"ENSCAFG00000000028","TIMM21",1375,1280,1630,1349,2387,1367,1149,1515,679,951,2164,1121,1225,1355,753,1507,1108,1423,1141,848,1144,1588,1196
"ENSCAFG00000000029","FBXO15",13,6,15,20,18,14,8,60,22,25,24,8,5,56,6,16,15,17,41,9,5,13,19
"ENSCAFG00000000030",NA,113,45,118,55,75,77,72,84,85,40,63,84,80,144,44,71,78,34,58,79,72,62,125
"ENSCAFG00000000031","NETO1",13,546,895,0,96,3557,1,1916,1,9,784,370,134,8,0,631,344,502,0,610,7,31,293
"ENSCAFG00000000032","CBLN2",16,4,0,0,2,20,0,0,0,0,0,0,1,3,0,25,1,1,0,2,0,0,11
"ENSCAFG00000000033",NA,49,69,97,89,52,54,49,101,68,36,63,99,61,93,42,67,58,55,143,118,67,55,71
"ENSCAFG00000000036","SOCS6",454,510,489,1021,617,444,512,421,344,456,424,406,408,264,211,340,559,698,529,358,297,680,537
"ENSCAFG00000000037","RTTN",479,961,1116,1198,1115,819,532,551,314,755,1242,857,795,543,451,922,629,928,1141,863,675,1221,887
"ENSCAFG00000000038","CD226",0,4,6,3,9,3,0,0,7,3,1,3,2,12,0,1,7,8,4,0,1,2,0
"ENSCAFG00000000039","DOK6",42,344,55,1,22,247,1,11,134,4,342,377,106,24,0,226,205,354,4,30,32,1,7
"ENSCAFG00000000040","CCDC102B",2,2,0,1,3,1,1,12,13,0,1,3,0,1,2,7,1,0,2,2,2,0,3
"ENSCAFG00000000042",NA,14,9,9,11,9,13,11,7,8,12,7,19,12,3,18,14,9,12,13,9,17,12,5
"ENSCAFG00000000043","TMX3",587,483,465,800,1000,805,369,566,402,523,479,739,596,1019,700,661,1117,704,700,302,626,1043,450
"ENSCAFG00000000044",NA,4,9,8,2,3,12,14,4,5,10,20,13,6,2,10,10,7,2,3,8,12,5,3
"ENSCAFG00000000045",NA,3,10,0,8,4,2,5,1,13,2,2,1,10,1,6,8,15,0,10,6,12,2,19
"ENSCAFG00000000047",NA,160,209,265,1653,69,376,277,659,2,68,196,184,239,75,280,170,121,110,388,450,180,1275,105
"ENSCAFG00000000049",NA,15,22,14,25,21,12,31,62,21,35,6,45,28,25,44,31,37,52,15,40,54,45,35
"ENSCAFG00000000054",NA,365,187,204,277,381,208,230,251,205,334,198,266,202,271,333,225,123,193,123,393,438,222,100
"ENSCAFG00000000056","CDH7",0,0,40,0,0,47,1,0,0,1,0,0,1,0,0,14,1,4,0,11,0,0,1
"ENSCAFG00000000058","SERPINB8",9563,816,1998,109,4,473,2130,3084,2801,0,35,1793,1399,3417,22,1571,1514,1692,15,1262,4343,2066,389
"ENSCAFG00000000059","SERPINB2",2184,29,3736,8,0,6,778,1,5599,507,1667,26,35,17248,7,1072,1136,432,457,5,18,0,966
"ENSCAFG00000000060","ITGA7",388,62,806,1,150,173,1507,4177,2019,30,85,554,364,484,12,761,172,2597,25,969,639,1058,218
"ENSCAFG00000000061",NA,635,273,171,332,165,221,169,226,528,410,181,231,186,514,231,329,269,419,165,281,247,127,125
