Cell Line,Dog 1,Dog 2,Dog 3,Average
D17,-0.811718958,0.698164725,-0.1463621,-0.0866
1771,-0.903686905,0.824875344,-0.36457994,-0.1478
17CM98,-0.800886784,0.498017488,0.121405057,-0.0605
Abrams,-0.754120882,0.744439988,0.719057285,0.2365
Bliley,-0.731046344,0.954245014,0.755456491,0.3262
CLL1390,-0.774207669,0.950731409,0.118896127,0.0985
CML-10C2,-0.6745,0.357881127,0.620943584,0.1014
CML-6m,-0.503880758,0.612106552,-0.0660677,0.0141
CMT12,-0.522255491,0.402131981,0.294876564,0.0583
CTAC,-0.610244645,1.815674533,-0.41053744,0.265
Den,-0.411696888,1.360028606,-0.007030759,0.3138
DH82,-0.793293402,1.173412217,0.589928817,0.3233
Gracie,-1.049864692,0.828232529,0.584627428,0.121
HMPOS,-0.710433804,3.192683953,-0.109257947,0.791
Jones,-0.534998685,1.41436026,-0.214079225,0.2218
MacKinley,-0.923482336,1.395234467,-0.464071181,0.0026
Nike,-0.725849077,0.245771136,-0.091516341,-0.1905
Moresco,-0.396406225,0.819289208,0,0.141
OS2.4,-0.632064909,2.268720656,-0.005470765,0.5437
OSA8,-0.748399962,0.260059876,0.518961221,0.0102
Parks,-0.840313253,2.217695159,0.363004126,0.5801
STSA-1,-1.021589219,2.057203424,0.568803427,0.5348
Yamane,-1.083366129,1.5103892,-0.203676593,0.0744
