Cell Line,Dog 1,Dog 2,Dog 3,Average
D17,0.161798199,-0.753835251,-0.50572463,-0.365920561
1771,0.692724853,-0.623133583,-0.866432361,-0.265613697
17CM98,1.502377475,5.427036383,-0.404976681,2.174812392
Abrams,1.664175673,7.484098983,0.039036071,3.062436909
Bliley,1.224674024,-0.800028937,-0.470538033,-0.015297649
CLL1390,-0.17334662,-0.679251694,-0.678710362,-0.510436225
CML-10C2,0.019487961,11.24335081,-0.6745,3.529446257
CML-6m,0.918941591,36.15064972,-0.302544587,12.25568224
CMT12,3.25226409,10.48548564,0.366121054,4.701290261
CTAC,-0.243358926,0.227239255,-0.74102372,-0.25238113
Den,0.226697922,1.648176297,-0.628847646,0.415342191
DH82,0.350001382,9.312599073,-0.118972802,3.181209218
Gracie,-0.140205056,5.553347245,-0.18555667,1.742528506
HMPOS,1.02792982,-0.541392411,-0.779999643,-0.097820745
Jones,-0.53134769,0.195481095,-0.739219279,-0.358361958
MacKinley,0.249915062,-0.409728375,-0.80117175,-0.320328354
Nike,1.432846353,117.753481,0,39.72877578
Moresco,0.298815409,-0.924956394,-0.639493847,-0.421878277
OS2.4,-0.236321607,-0.02045033,-0.824990369,-0.360587435
OSA8,0.476913724,117.753481,-0.416224362,39.27139012
Parks,0.040780364,1.518617442,-0.618381889,0.313671972
STSA-1,-0.407262306,3.488705993,-0.310544275,0.923633137
Yamane,-0.542414928,3.136118245,-0.693326333,0.633458995
