Cell Line,Dog 1,Dog 2,Dog 3,Average
D17,-0.779885446,0.163349846,0.151151111,-0.155128163
1771,-0.8653487,0.01147489,-0.39293658,-0.415603463
17CM98,-0.840454573,-0.190213798,-0.460791022,-0.497153131
Abrams,-0.912140692,-0.113030399,-0.658253985,-0.561141692
Bliley,-0.6745,0.034515764,-0.549787311,-0.396590516
CLL1390,-0.854565321,0.05767682,0.151151111,-0.215245797
CML-10C2,-0.8653487,-0.1792891,-0.184559521,-0.40973244
CML-6m,-0.798289842,0.369082871,0.982377027,0.184390019
CMT12,-0.676318896,0.481047235,2.314365635,0.706364658
CTAC,-0.829299383,0.022980209,0.802218242,-0.001366977
Den,-0.832502104,0.163349846,0.298551512,-0.123533582
DH82,-0.773116103,0.05767682,0.200071526,-0.171789252
Gracie,-0.846759111,0.344481004,1.086123786,0.194615226
HMPOS,-0.811471582,0.080956569,0.956529193,0.07533806
Jones,-0.71405128,0.468506909,1.98834935,0.580934993
MacKinley,-0.722899995,0.710865844,3.593835646,1.193933832
Nike,-0.779885446,0.443500412,-0.721545128,-0.352643387
Moresco,-0.816368632,0.139665813,0.700114184,0.007803788
OS2.4,-0.869915912,0.455991262,0.523016659,0.036364003
OSA8,-0.750846182,0.271302022,0.623961162,0.048139001
Parks,-0.843613339,0.139665813,1.295251155,0.19710121
STSA-1,-0.830902274,-0.276345663,0.273853757,-0.27779806
Yamane,-0.332508174,-0.451331501,1.00826077,0.074807032
