Cell Line,Dog 1,Dog 2,Dog 3,Average
D17,-0.4038,-0.0305,-1.0369,-0.4904
1771,0.0532,-0.93,-1.3931,-0.7566
17CM98,-0.2673,-0.1875,-1.089,-0.5146
Abrams,-0.2089,-0.2575,-0.6451,-0.3705
Bliley,-0.4743,-0.0417,-0.9317,-0.4826
CLL1390,-0.1127,-0.93,-1.0253,-0.6893
CML-10C2,0,-0.7413,-0.9522,-0.5645
CML-6m,2.9861,1.0768,-0.5935,1.1565
CMT12,2.2026,0.1384,-0.3754,0.6552
CTAC,4.1334,0.6745,-0.8549,1.3177
Den,3.7134,0.4135,-0.6541,1.1576
DH82,2.3244,1.065,-0.0397,1.1166
Gracie,1.0579,-0.0333,-0.3816,0.2143
HMPOS,2.6856,0.3651,-0.5721,0.8262
Jones,8.0817,2.0923,0.2778,3.484
MacKinley,5.5719,0.6025,-0.4125,1.9206
Nike,3.6425,2.7914,0.0367,2.1569
Moresco,8.4506,-0.3609,-0.2915,2.5994
OS2.4,5.958,1.5339,-0.4557,2.3454
OSA8,3.8151,1.5218,-0.1315,1.7351
Parks,3.9378,0.6803,-0.2696,1.4495
STSA-1,3.3613,1.0768,0.1231,1.5204
Yamane,2.6089,0.6313,-0.6511,0.863
