,ensembl_gene_id,Hugo_Symbol
1,ENSCAFG00000000001,ENPP1
2,ENSCAFG00000000002,NA
3,ENSCAFG00000000005,PARD6G
4,ENSCAFG00000000007,ADNP2
5,ENSCAFG00000000008,TXNL4A
6,ENSCAFG00000000009,SLC66A2
7,ENSCAFG00000000010,CTDP1
8,ENSCAFG00000000011,NFATC1
9,ENSCAFG00000000012,ATP9B
10,ENSCAFG00000000013,SALL3
11,ENSCAFG00000000014,NA
12,ENSCAFG00000000015,GALR1
13,ENSCAFG00000000016,MBP
14,ENSCAFG00000000017,ZNF236
15,ENSCAFG00000000019,ZNF516
16,ENSCAFG00000000020,TSHZ1
17,ENSCAFG00000000021,ZADH2
18,ENSCAFG00000000022,ZNF407
19,ENSCAFG00000000024,CNDP1
20,ENSCAFG00000000025,DIPK1C
21,ENSCAFG00000000026,CYB5A
22,ENSCAFG00000000027,NA
23,ENSCAFG00000000028,TIMM21
24,ENSCAFG00000000029,FBXO15
25,ENSCAFG00000000030,NA
26,ENSCAFG00000000031,NETO1
27,ENSCAFG00000000032,CBLN2
28,ENSCAFG00000000033,NA
29,ENSCAFG00000000034,NA
30,ENSCAFG00000000036,SOCS6
31,ENSCAFG00000000037,RTTN
32,ENSCAFG00000000038,CD226
33,ENSCAFG00000000039,DOK6
34,ENSCAFG00000000040,CCDC102B
35,ENSCAFG00000000042,NA
36,ENSCAFG00000000043,TMX3
37,ENSCAFG00000000044,NA
38,ENSCAFG00000000045,NA
39,ENSCAFG00000000047,NA
40,ENSCAFG00000000049,NA
41,ENSCAFG00000000051,NA
42,ENSCAFG00000000052,CDH19
43,ENSCAFG00000000054,NA
44,ENSCAFG00000000056,CDH7
45,ENSCAFG00000000058,SERPINB8
46,ENSCAFG00000000059,SERPINB2
47,ENSCAFG00000000060,ITGA7
48,ENSCAFG00000000061,NA
49,ENSCAFG00000000062,NA
50,ENSCAFG00000000063,RDH5
51,ENSCAFG00000000064,CD63
52,ENSCAFG00000000065,GDF11
53,ENSCAFG00000000066,VPS4B
54,ENSCAFG00000000067,KDSR
55,ENSCAFG00000000068,BCL2
56,ENSCAFG00000000069,NA
57,ENSCAFG00000000070,PHLPP1
58,ENSCAFG00000000071,NA
59,ENSCAFG00000000072,NA
60,ENSCAFG00000000073,ZCCHC2
61,ENSCAFG00000000074,MMP19
62,ENSCAFG00000000075,TNFRSF11A
63,ENSCAFG00000000076,PYM1
64,ENSCAFG00000000078,DGKA
65,ENSCAFG00000000079,RELCH
66,ENSCAFG00000000080,PMEL
67,ENSCAFG00000000081,NA
68,ENSCAFG00000000082,CDK2
69,ENSCAFG00000000083,PIGN
70,ENSCAFG00000000086,CDH20
71,ENSCAFG00000000087,RAB5B
72,ENSCAFG00000000088,SUOX
73,ENSCAFG00000000089,NA
74,ENSCAFG00000000090,MC4R
75,ENSCAFG00000000093,CCBE1
76,ENSCAFG00000000094,LMAN1
77,ENSCAFG00000000096,CPLX4
78,ENSCAFG00000000097,ERBB3
79,ENSCAFG00000000098,RAX
80,ENSCAFG00000000099,GRP
81,ENSCAFG00000000100,SEC11C
82,ENSCAFG00000000101,NA
83,ENSCAFG00000000102,PA2G4
84,ENSCAFG00000000103,ZNF532
85,ENSCAFG00000000105,MALT1
86,ENSCAFG00000000107,ALPK2
87,ENSCAFG00000000108,ESYT1
88,ENSCAFG00000000109,SMARCC2
89,ENSCAFG00000000110,MYL6B
90,ENSCAFG00000000111,RNF41
91,ENSCAFG00000000113,ANKRD52
92,ENSCAFG00000000115,CS
93,ENSCAFG00000000116,NEDD4L
94,ENSCAFG00000000118,NA
95,ENSCAFG00000000119,PAN2
96,ENSCAFG00000000120,IL23A
97,ENSCAFG00000000121,STAT2
98,ENSCAFG00000000122,APOF
99,ENSCAFG00000000123,ATP8B1
100,ENSCAFG00000000124,TIMELESS
101,ENSCAFG00000000125,NARS1
102,ENSCAFG00000000126,FECH
103,ENSCAFG00000000127,ONECUT2
104,ENSCAFG00000000128,MIP
105,ENSCAFG00000000129,ST8SIA3
106,ENSCAFG00000000130,SPRYD4
107,ENSCAFG00000000131,GLS2
108,ENSCAFG00000000132,NA
109,ENSCAFG00000000133,WDR7
110,ENSCAFG00000000134,RBMS2
111,ENSCAFG00000000135,BAZ2A
112,ENSCAFG00000000136,ATP5F1B
113,ENSCAFG00000000137,TXNL1
114,ENSCAFG00000000140,TCF4
115,ENSCAFG00000000141,NACA
116,ENSCAFG00000000142,NA
117,ENSCAFG00000000143,HSD17B6
118,ENSCAFG00000000144,CCDC68
119,ENSCAFG00000000145,RAB27B
120,ENSCAFG00000000147,C1H18orf54
121,ENSCAFG00000000148,RDH16
122,ENSCAFG00000000149,STARD6
123,ENSCAFG00000000150,POLI
124,ENSCAFG00000000153,NA
125,ENSCAFG00000000156,MYO1A
126,ENSCAFG00000000157,DCC
127,ENSCAFG00000000158,HSD17B4
128,ENSCAFG00000000159,NEMP1
129,ENSCAFG00000000160,NAB2
130,ENSCAFG00000000162,MEX3C
131,ENSCAFG00000000163,STAT6
132,ENSCAFG00000000164,SMAD4
133,ENSCAFG00000000165,TNFAIP8
134,ENSCAFG00000000166,ELAC1
135,ENSCAFG00000000167,DMXL1
136,ENSCAFG00000000168,ME2
137,ENSCAFG00000000169,MRO
138,ENSCAFG00000000170,MC2R
139,ENSCAFG00000000172,MC5R
140,ENSCAFG00000000173,FAM210A
141,ENSCAFG00000000175,NA
142,ENSCAFG00000000178,LRP1
143,ENSCAFG00000000183,NA
144,ENSCAFG00000000184,MOXD1
145,ENSCAFG00000000185,STX7
146,ENSCAFG00000000189,SLC18B1
147,ENSCAFG00000000190,RPS12
148,ENSCAFG00000000192,SEMA6A
149,ENSCAFG00000000193,NA
150,ENSCAFG00000000194,INHBC
151,ENSCAFG00000000195,SHMT2
152,ENSCAFG00000000196,EYA4
153,ENSCAFG00000000197,COMMD10
154,ENSCAFG00000000198,ARL14EPL
155,ENSCAFG00000000199,LVRN
156,ENSCAFG00000000200,NDUFA4L2
157,ENSCAFG00000000203,AP3S1
158,ENSCAFG00000000204,ATG12
159,ENSCAFG00000000205,TCF21
