Cell line,VEGF,IL-8,KC-like,IL-10,TNF-a,TGF-b,CCL2
D-17 ,58.93%,115.53%,119.82%,76.18%,67.88%,67.58%,98.78%
1771 ,39.89%,68.97%,102.83%,66.50%,80.72%,65.27%,74.93%
17CM98 ,56.29%,108.27%,113.98%,185.92%,163.55%,47.36%,82.43%
Abrams ,67.22%,147.22%,129.04%,242.95%,302.86%,108.40%,71.90%
Bliley ,60.97%,103.76%,95.13%,103.92%,103.06%,82.91%,59.37%
CLL1390 ,48.20%,86.06%,92.80%,57.29%,40.85%,65.75%,80.30%
CML-10C2 ,53.71%,97.94%,95.15%,197.92%,143.02%,123.18%,84.19%
CML-6M ,112.00%,118.23%,101.12%,528.08%,327.13%,182.39%,110.57%
CMT12 ,98.03%,116.02%,102.40%,337.68%,531.45%,113.64%,143.66%
CTAC ,107.88%,94.18%,93.89%,61.73%,47.74%,94.43%,112.67%
DEN-HSA ,106.12%,99.88%,98.43%,96.86%,149.27%,102.43%,104.52%
DH82 ,121.26%,91.02%,101.30%,221.15%,449.71%,113.54%,117.55%
Gracie ,86.81%,95.57%,104.93%,161.97%,205.32%,110.30%,113.94%
HMPOS ,99.86%,86.75%,94.13%,81.38%,110.83%,166.59%,114.36%
Jones ,187.56%,93.68%,98.53%,54.47%,55.20%,206.03%,100.61%
McKinley ,129.03%,92.60%,93.61%,62.50%,84.78%,94.14%,112.46%
Nike ,158.43%,114.38%,102.36%,1489.22%,701.32%,105.73%,112.88%
Moresco ,139.52%,80.34%,82.55%,68.63%,69.28%,100.12%,100.00%
OS2.4 ,144.47%,69.17%,95.00%,53.48%,51.25%,123.29%,95.93%
OSA8 ,136.71%,69.93%,99.00%,1438.08%,716.96%,111.99%,106.39%
Parks ,121.69%,110.07%,104.49%,91.55%,83.35%,80.01%,80.69%
STSA-1 ,133.40%,74.56%,81.40%,123.62%,280.76%,109.86%,79.14%
Vogel ,107.85%,62.14%,84.69%,74.12%,65.83%,94.85%,78.18%
