cytokine,treatment,donor_1,donor_2,donor_3,histo_5,histo_4
vegf,D-17 ,1423.66,1789.47,803.33,Osteosarcoma,Sarcoma
vegf,1771 ,1871.53,908.04,454.29,Hematopoietic,Hematopoietic
vegf,17CM98 ,1557.44,1635.61,752.3,Melanoma,Melanoma
vegf,Abrams ,1614.7,1567.06,1187.27,Osteosarcoma,Sarcoma
vegf,Bliley ,1354.56,1778.47,906.41,Carcinoma,Carcinoma
vegf,CLL1390 ,1708.92,908.04,814.72,Hematopoietic,Hematopoietic
vegf,CML-10C2 ,1819.36,1092.97,886.27,Melanoma,Melanoma
vegf,CML-6M ,4745.41,2874.52,1237.84,Melanoma,Melanoma
vegf,CMT12,3977.72,1955,1451.5,Carcinoma,Carcinoma
vegf,CMT27,3977.72,1665.8,1228.9,Carcinoma,Carcinoma
vegf,CTAC ,5869.71,2480.3,981.65,Carcinoma,Carcinoma
vegf,DEN ,5458.07,2224.58,1178.38,Sarcoma,Sarcoma
vegf,DH82 ,4097,2862.97,1780.46,Hematopoietic,Hematopoietic
vegf,Gracie ,2855.95,1786.72,1445.43,Osteosarcoma,Sarcoma
vegf,HMPOS ,4450.96,2177.13,1258.73,Osteosarcoma,Sarcoma
vegf,Jones ,9738.6,3869.6,2091.61,Melanoma,Melanoma
vegf,MacKinley,7279.26,2409.74,1415.12,Osteosarcoma,Sarcoma
vegf,Nike ,5388.59,4554.69,1855.31,Hematopoietic,Hematopoietic
vegf,Moresco ,10100.05,1465.71,1533.75,Osteosarcoma,Sarcoma
vegf,OS2.4 ,7657.56,3322.4,1372.81,Osteosarcoma,Sarcoma
vegf,OSA8 ,5557.73,3310.53,1690.52,Osteosarcoma,Sarcoma
vegf,Parks ,5677.96,2485.95,1555.16,Melanoma,Melanoma
vegf,STSA-1 ,5113.07,2874.52,1939.97,Sarcoma,Sarcoma
vegf,Vogel ,3895.69,2891.86,1315.63,Osteosarcoma,Sarcoma
vegf,Yamane,4375.8,2437.93,1181.34,Osteosarcoma,Sarcoma
il.8,D-17 ,29710,39006,37741,Osteosarcoma,Sarcoma
il.8,1771 ,30102,18690,11100,Hematopoietic,Hematopoietic
il.8,17CM98 ,29300,27694,42928,Melanoma,Melanoma
il.8,Abrams ,28493,66920,42069,Osteosarcoma,Sarcoma
il.8,Bliley ,27806,28037,39903,Carcinoma,Carcinoma
il.8,CLL1390 ,27770,25968,23964,Hematopoietic,Hematopoietic
il.8,CML-10C2 ,26454,29376,34269,Melanoma,Melanoma
il.8,CML-6M ,28536,29659,52069,Melanoma,Melanoma
il.8,CMT12,26583,32098,49773,Carcinoma,Carcinoma
il.8,CMT27,26831,16357,44233,Carcinoma,Carcinoma
il.8,CTAC ,22542,41370,22747,Carcinoma,Carcinoma
il.8,DEN ,25165,39057,27608,Sarcoma,Sarcoma
il.8,DH82 ,19961,36107,28539,Hematopoietic,Hematopoietic
il.8,Gracie ,22066,20459,47178,Osteosarcoma,Sarcoma
