Name,Length,EffectiveLength,TPM,NumReads
ENSCAFT00000065825,1006,736.476,0,0
ENSCAFT00000054774,1885,1615.476,0,0
ENSCAFT00000047681,2743,2473.476,0,0
ENSCAFT00000071890,2761,2491.476,1.952128,53.361
ENSCAFT00000089246,978,708.477,0,0
ENSCAFT00000051900,750,480.545,0,0
ENSCAFT00000075225,1569,1299.476,0,0
ENSCAFT00000075696,363,101.176,0,0
ENSCAFT00000077853,1417,1147.476,0,0
ENSCAFT00000017441,2175,1905.476,1.397859,29.223
ENSCAFT00000047468,1933,1663.476,5.85465,106.85
ENSCAFT00000071588,2034,1764.476,0.080864,1.565
ENSCAFT00000060166,2356,2086.476,0,0
ENSCAFT00000049402,3597,3327.476,0,0
ENSCAFT00000047157,3591,3321.476,0,0
ENSCAFT00000070162,2157,1887.476,0,0
ENSCAFT00000065494,3186,2916.476,1.868404,59.784
ENSCAFT00000017390,2142,1872.476,2.152285,44.216
ENSCAFT00000073221,2306,2036.476,0.358091,8.001
ENSCAFT00000017459,1737,1467.476,0,0
ENSCAFT00000017557,3056,2786.476,0,0
ENSCAFT00000072262,2953,2683.476,0,0
ENSCAFT00000085811,1303,1033.476,0,0
ENSCAFT00000017564,1855,1585.476,0,0
ENSCAFT00000037166,1753,1483.476,0,0
ENSCAFT00000043461,2278,2008.476,0,0
ENSCAFT00000089697,2705,2435.476,0,0
ENSCAFT00000063428,1703,1433.476,0,0
ENSCAFT00000073514,1785,1515.476,0,0
ENSCAFT00000088953,1351,1081.476,0,0
ENSCAFT00000017576,1598,1328.476,0,0
ENSCAFT00000017551,1236,966.476,653.640834,6930.893
ENSCAFT00000038057,1029,759.476,0,0
ENSCAFT00000062999,888,618.488,0,0
ENSCAFT00000072278,1146,876.476,0,0
ENSCAFT00000044031,2116,1846.476,13.920231,282
ENSCAFT00000076613,738,468.554,0,0
ENSCAFT00000090858,1964,1694.476,0,0
ENSCAFT00000061367,1459,1189.476,0,0
ENSCAFT00000043516,1245,975.476,0,0
ENSCAFT00000072469,1149,879.476,0,0
ENSCAFT00000024283,2368,2098.476,13.638501,314
ENSCAFT00000017611,3149,2879.476,3.861778,122
ENSCAFT00000089276,1885,1615.476,0,0
ENSCAFT00000017616,2094,1824.476,13.938211,279
ENSCAFT00000093477,1736,1466.476,0,0
ENSCAFT00000090123,1414,1144.476,0,0
ENSCAFT00000075445,1029,759.476,0,0
ENSCAFT00000017630,508,239.107,186.786482,490
ENSCAFT00000017645,795,525.522,84.982267,489.98
ENSCAFT00000043142,753,483.543,1.700238,9.02
ENSCAFT00000078143,2036,1766.476,0,0
ENSCAFT00000088211,2249,1979.476,0,0
ENSCAFT00000017683,1682,1412.476,0.06453,1
ENSCAFT00000017754,1830,1560.476,0,0
ENSCAFT00000078429,2001,1731.476,0,0
ENSCAFT00000074828,2376,2106.476,0,0
ENSCAFT00000090243,2250,1980.476,0,0
ENSCAFT00000017756,2904,2634.476,0,0
ENSCAFT00000017767,9369,9099.476,0,0
ENSCAFT00000065195,9237,8967.476,0,0
ENSCAFT00000070746,1085,815.476,0,0
ENSCAFT00000054249,1802,1532.476,0,0
ENSCAFT00000083457,901,631.487,0,0
ENSCAFT00000017781,1051,781.476,0,0
ENSCAFT00000088795,973,703.477,0,0
ENSCAFT00000074212,2158,1888.476,0,0
ENSCAFT00000084468,904,634.486,0,0
ENSCAFT00000053552,1647,1377.476,0,0
ENSCAFT00000017787,399,133.151,0,0
ENSCAFT00000090609,1249,979.476,0,0
ENSCAFT00000042485,121,121,0,0
ENSCAFT00000058292,420,152.923,0,0
ENSCAFT00000048543,1015,745.476,0,0
ENSCAFT00000087310,1015,745.476,0,0
ENSCAFT00000092922,1015,745.476,0,0
ENSCAFT00000045239,1139,869.476,0,0
ENSCAFT00000065383,1086,816.476,0,0
ENSCAFT00000073648,1139,869.476,0,0
ENSCAFT00000085672,1139,869.476,0,0
ENSCAFT00000092682,1139,869.476,0,0
ENSCAFT00000044420,1016,746.476,0,0
ENSCAFT00000053002,640,370.664,0,0
ENSCAFT00000092873,1781,1511.476,0,0
ENSCAFT00000078641,474,205.461,0,0
ENSCAFT00000076070,1303,1033.476,0,0
ENSCAFT00000085415,1123,853.476,0,0
ENSCAFT00000091714,366,103.711,0,0
ENSCAFT00000083152,613,343.718,0,0
ENSCAFT00000082636,424,156.748,0,0
ENSCAFT00000055097,855,585.494,0,0
ENSCAFT00000079575,916,646.486,0,0
ENSCAFT00000078658,559,289.857,0,0
ENSCAFT00000058176,1531,1261.476,0,0
ENSCAFT00000051544,993,723.476,0,0
ENSCAFT00000066899,1845,1575.476,0,0
ENSCAFT00000061821,1042,772.476,0,0
ENSCAFT00000080605,1001,731.476,0,0
ENSCAFT00000090007,1109,839.476,0,0
ENSCAFT00000060069,1426,1156.476,0,0
ENSCAFT00000068311,257,35.884,0,0
ENSCAFT00000017887,4079,3809.476,0,0
ENSCAFT00000076682,4139,3869.476,0,0
ENSCAFT00000060905,2384,2114.476,0,0
ENSCAFT00000091911,552,282.881,0,0
ENSCAFT00000077999,1081,811.476,0,0
ENSCAFT00000062913,393,127.612,0,0
ENSCAFT00000088294,1638,1368.476,0,0
ENSCAFT00000057730,1471,1201.476,0.227587,3
ENSCAFT00000017911,969,699.479,34.401224,264.002
ENSCAFT00000017943,2719,2449.476,0,0
ENSCAFT00000017942,2762,2492.476,0,0
ENSCAFT00000065887,2624,2354.476,0.038712,1
ENSCAFT00000067263,174,10.422,0,0
ENSCAFT00000073801,1074,804.476,0,0
ENSCAFT00000073144,1442,1172.476,0,0
ENSCAFT00000043774,107,107,0,0
ENSCAFT00000041377,154,2.533,0,0
ENSCAFT00000061409,1386,1116.476,0,0
ENSCAFT00000083905,1334,1064.476,3.778774,44.131
ENSCAFT00000049677,1671,1401.476,1.617373,24.869
ENSCAFT00000089540,255,35.159,0,0
ENSCAFT00000088619,1026,756.476,0,0
ENSCAFT00000070494,3300,3030.476,0,0
ENSCAFT00000086425,2908,2638.476,0,0
ENSCAFT00000075962,2925,2655.476,0,0
ENSCAFT00000017999,2702,2432.476,0,0
ENSCAFT00000074384,2654,2384.476,0,0
ENSCAFT00000092850,1889,1619.476,0.112563,2
ENSCAFT00000018003,336,79.738,0,0
ENSCAFT00000018008,756,486.54,0,0
ENSCAFT00000053896,1245,975.476,0,0
ENSCAFT00000083376,207,20.782,0,0
ENSCAFT00000051332,1287,1017.476,0,0
ENSCAFT00000054698,1486,1216.476,0,0
ENSCAFT00000090011,1938,1668.476,0,0
ENSCAFT00000079806,3041,2771.476,0,0
ENSCAFT00000080338,1887,1617.476,0,0
ENSCAFT00000081237,1129,859.476,0,0
ENSCAFT00000084349,2604,2334.476,0.282195,7.228
ENSCAFT00000018069,1998,1728.476,49.908548,946.449
ENSCAFT00000075822,5158,4888.476,40.153278,2153.543
ENSCAFT00000061142,1437,1167.476,0.312286,4
ENSCAFT00000048804,4902,4632.476,0,0
ENSCAFT00000076570,6885,6615.476,0.837771,60.806
ENSCAFT00000018094,6438,6168.476,0.726903,49.194
ENSCAFT00000018100,1237,967.476,0.094211,1
ENSCAFT00000018267,4067,3797.476,8.112648,338
ENSCAFT00000090594,3572,3302.476,0,0
ENSCAFT00000059596,3617,3347.476,0,0
ENSCAFT00000018340,2433,2163.476,7.572064,179.732
ENSCAFT00000067441,2340,2070.476,0,0
ENSCAFT00000081808,2310,2040.476,0.548004,12.268
ENSCAFT00000048569,104,104,0,0
ENSCAFT00000086222,95,95,0,0
ENSCAFT00000018371,1966,1696.476,0,0
ENSCAFT00000081954,2964,2694.476,0,0
ENSCAFT00000067652,684,414.603,0,0
ENSCAFT00000064802,3828,3558.476,0.624633,24.386
ENSCAFT00000075165,748,478.546,0.190466,1
ENSCAFT00000018383,1793,1523.476,18.546719,310
ENSCAFT00000089987,2742,2472.476,0,0
ENSCAFT00000018401,2382,2112.476,2.804546,65
ENSCAFT00000079959,648,378.651,0,0
ENSCAFT00000018403,796,526.521,0,0
ENSCAFT00000069664,676,406.617,0,0
ENSCAFT00000018410,882,612.489,26.563579,178.502
ENSCAFT00000089851,114,114,0,0
ENSCAFT00000066283,1645,1375.476,0,0
ENSCAFT00000018430,1941,1671.476,19.115659,350.549
ENSCAFT00000090132,1202,932.476,4.638218,47.451
ENSCAFT00000078351,1853,1583.476,0,0
ENSCAFT00000092543,1436,1166.476,0,0
ENSCAFT00000071479,1318,1048.476,0,0
ENSCAFT00000092708,1865,1595.476,0.743981,13.023
ENSCAFT00000078167,739,469.553,0,0
ENSCAFT00000079179,3435,3165.476,0,0
ENSCAFT00000076898,117,117,0,0
ENSCAFT00000085831,4800,4530.476,0,0
ENSCAFT00000018460,4776,4506.476,0,0
ENSCAFT00000075490,4794,4524.476,0,0
ENSCAFT00000018478,483,214.347,0,0
ENSCAFT00000018521,1132,862.476,15.392853,145.655
ENSCAFT00000080567,1753,1483.476,0.877303,14.279
ENSCAFT00000018552,993,723.476,0,0
ENSCAFT00000093895,5225,4955.476,0,0
ENSCAFT00000018561,4291,4021.476,0,0
